idx,generated_response,ground_truth,ir_time,generate_time,bert_score,rouge1_score,rougeL_score,question
0,Gonks Go Beat,Gonks Go Beat,0.401832103729248,2.3407914638519287,0.9999999403953552,1.0,1.0,"What is the name of that British science fiction / musical fantasy film loosely based on ""Romeo and Juliet"" staring the North Irish Actor who played Charlie Fairhead?"
1,Patricia Idlette played Katherine Jackson in the 2004 Michael Jackson biopic.,Patricia Idlette,0.2778196334838867,1.7308340072631836,0.5808722376823425,0.3076923076923077,0.3076923076923077,WHo played the matriarch of the Jackson family in the 2004 Michael Jackson biopic?
2,Nestlé.,Nestlé,0.3353543281555176,0.9797735214233398,0.963620901107788,1.0,1.0,"Milo is a chocolate and malt powder that is produced by which Swiss transnational food and drink company headquartered in Vevey, Vaud, Switzerland?"
3,1949,1952,0.3690674304962158,1.0375936031341553,0.7313432693481445,0.0,0.0,Andrew Brackman is represented by a sports agent born in which year ?
4,Charles Robert Jenkins.,Charles Robert Jenkins,0.2928330898284912,1.137923002243042,0.9798703789711,1.0,1.0,What former United States soldier did Hitomi Soga marry?
5,Sechs Kies.,Sechs Kies,0.3439726829528808,1.1154582500457764,0.987622082233429,1.0,1.0,"""Three Words"" is song released on October 7, 2016, and recorded by which South Korean boy group, a six-member South Korean boy band, that started in 1997?"
6,Transdev Blazefield.,Transdev Blazefield,0.4030919075012207,1.2863729000091553,0.9741740226745604,1.0,1.0,"The Harrogate Bus Company is a bus operator based in Harrogate, North Yorkshire, it's a subsidiary of which bus group in England, and owns six bus companies in the Lancashire and Yorkshire regions?"
7,Seal.,Batman Forever,0.3132157325744629,1.1148395538330078,0.2254915833473205,0.0,0.0,"Which 1995 film was the work of this English singer and songwriter, who co-produced ""The Moment"" featured?"
8,1968,1968,0.2900950908660888,0.9199681282043456,1.0,1.0,1.0,"In which year, was this English rock band formed in Hertford that the lead vocalist Ian Gillan of Sabbath is best known for collaborating with?"
9,Cobrapost.,Aniruddha Bahal,0.4269435405731201,1.0104570388793943,0.2002689838409423,0.0,0.0,Who founded the news website where Suhasini Raj conducted Operation Duryodhana?
10,Eurovision Song Contest 1967.,Eurovision Song Contest 1967,0.4668736457824707,1.1434710025787354,0.9738694429397584,1.0,1.0,"Minouche Barelli participated in what contest in Vienna, Austria?"
11,1992,8 July 1992,0.3878407478332519,0.8857452869415283,0.8480852842330933,0.5,0.5,What is the birthdate of the player who won the award for Best Footballer in Asia 2015?
12,1870,1879,0.536860466003418,1.1408514976501465,0.6320148706436157,0.0,0.0,Mollo is a French footballer who plays for a football club founded in what year?
13,United States.,U.S.,0.3597273826599121,1.0674233436584473,0.8812195062637329,0.0,0.0,In which country was the Woman's Club of Evanston founded?
14,Both are artificial waterways.,canals,0.2791595458984375,1.2068121433258057,0.4874733984470367,0.0,0.0,Kern Island Canal and Indiana Harbor and Ship Canal are both what? 
15,Yes.,yes,0.4490833282470703,0.9304091930389404,0.836855947971344,1.0,1.0,Can Fraxinus and Onoclea both be found in North America?
