idx,generated_response,ground_truth,ir_time,generate_time,bert_score,rouge1_score,rougeL_score,question
0,The Popes of the Middle Ages wore red to symbolize the blood of Christ and the Christian martyrs.,to symbolize the blood of Christ and the Christian martyrs,0.3091442584991455,3.6668238639831534,0.7186672687530518,0.7142857142857143,0.7142857142857143,Why did the Popes of the middle ages wear red?
1,1295.,1295,4.601301670074463,1.3528952598571775,0.9551343321800232,1.0,1.0,In what year did cardinals in the Roman Catholic church start wearing red?
2,1968.,1968,0.2447059154510498,1.361440658569336,0.9550771117210388,1.0,1.0,When was the Terry v. Ohio case?
3,"The study of fluid flows in the regime where the mean free path of residual gases is longer than the chamber, pump, spacecraft, or other objects present.",study of fluid flows,0.7783000469207764,2.783240556716919,0.5583725571632385,0.2580645161290322,0.2580645161290322,What is particle gas dynamics?
4,Kyoto.,Kyoto,0.4556057453155517,1.253662347793579,0.9672473669052124,1.0,1.0,Where was the military academy located?
5,By a key switch located inside the elevator on the centralized control panel.,Phase-two mode can only be activated by a key switch located inside the elevator on the centralized control panel,0.5981919765472412,1.890392780303955,0.6161851286888123,0.787878787878788,0.787878787878788,How is the Phase-two mode enabled?
6,"Red, Green, and Blue.","red, green and blue",0.5038189888000488,1.511449098587036,0.949793577194214,1.0,1.0,Which colors are part of the RGB model?
7,"Increased performance in competitions, including professional sport and multiplayer video games.",increased performance,0.3728787899017334,1.833362102508545,0.6351094245910645,0.3076923076923077,0.3076923076923077,"Wearing red is connected to what result in humans, in terms of sport?"
8,1853.,1853,0.2862911224365234,1.3606913089752195,0.9680261015892028,1.0,1.0,When did Washington University secure its charter?
9,Reduce it.,reduce air pressure by around 20%,0.319622278213501,1.0484650135040283,0.3234614729881286,0.25,0.25,A typical vacuum cleaner produces enough suction to do what to air pressure?
10,A red flag signaled a storm or bad water conditions.,defenders of a town or castle would fight to defend it,0.4931111335754394,1.7293965816497805,0.0562395825982093,0.1904761904761905,0.1904761904761905,What did a red flag signal in the Middle Ages?
11,A governor device or a relay logic or computerized device controlled the traction.,a motor mechanic utilizing a system of toothed wheels,0.5436930656433105,1.957502841949463,0.3553588092327118,0.1818181818181818,0.1818181818181818,What controlled the traction?
12,"Approximately 300,000.","300,000",0.2729537487030029,1.1944794654846191,0.7606668472290039,0.8,0.8,How many Super Famicoms were produced in the first run?
13,"Kokkos means ""a tiny grain"" in English.",a tiny grain,0.3314416408538818,1.7204091548919678,0.4213665723800659,0.6,0.6,What does Kokkos mean in english?
14,10 torr to 10−3 torr.,10 torr to 10−3 torr,0.3334417343139648,1.4617033004760742,0.9750394821166992,1.0,1.0,A Pirani gauge is accurate within what ranges?
15,Complicated programs could be developed and debugged in days rather than the weeks required for plugboarding the old ENIAC.,programs could be developed and debugged in days rather than the weeks,0.3129310607910156,2.455815315246582,0.6864473819732666,0.7741935483870968,0.7741935483870968,What were advantages for programming new ENIAC?
16,Violet.,violet,2.159175157546997,1.0305111408233645,0.9618127942085266,1.0,1.0,Which color is opposite of red on the visible spectrum?
17,"The elevator will return to the lobby or nearest floor, open the doors, and shut down.","The doors then close after an adjustable time period and the car remains unusable until reset, usually by cycling the elevator main power switch",0.3384697437286377,2.1098854541778564,0.5206973552703857,0.3,0.15,"Once the passengers have exited, what happens?"
18,"His published works covered topics in mathematics, economics, game theory, statistics, and physics.","60 in pure mathematics, 20 in physics, and 60 in applied mathematics",0.8943407535552979,2.1268765926361084,0.4348819851875305,0.32,0.24,"Of his published works, what topics were they covering?"
19,"Red lake was made by mixing organic dyes, made from insects or plants, with white chalk or alum.","insects or plants, with white chalk or alum",3.707276105880737,1.9994361400604248,0.5072212815284729,0.6153846153846153,0.6153846153846153,What was red lake composed of?
20,The ground state of matter.,the ground state of matter.,0.3631179332733154,1.205305576324463,1.0000001192092896,1.0,1.0,The Vacuum state is considered what?
21,Einstein's field equations.,Einstein,0.2505826950073242,1.4237675666809082,0.6223654747009277,0.4,0.4,Who's equations  helped to imply vanishing of the Ricci tensor?
22,Hot cathode and cold cathode.,hot cathode and cold cathode.,0.4482572078704834,1.572004795074463,1.0000001192092896,1.0,1.0,What are the two types of Ion gauges?
23,Elastic and porous tissues.,tissues are elastic and porous,0.6441380977630615,1.4079995155334473,0.9508355259895324,0.888888888888889,0.6666666666666665,What prevents body rupture at low altitude when human body is bloated by gas bubbles?
24,The electronics of the new ENIAC ran at one-sixth the speed of the old ENIAC.,new ENIAC ran at one-sixth the speed,0.2859995365142822,2.289557218551636,0.8694897890090942,0.6666666666666666,0.6666666666666666,What was the speed difference with new ENIAC?
25,Kermes lake was made from kermes insects.,kermes insects,0.2467494010925293,1.7701075077056885,0.7790442705154419,0.4444444444444445,0.4444444444444445,What was kermes lake made from?
26,Nobles.,nobles,0.3174965381622314,1.302883863449097,0.9659461975097656,1.0,1.0,Who painted their mansions red during the Song and Tang dynasties?
27,They are vacuum-powered to protect against loss of all electrically powered instruments in case of an emergency.,"protection against loss of all (electrically powered) instruments,",0.3426520824432373,1.8830480575561523,0.6089783906936646,0.6153846153846153,0.6153846153846153,Why are the Attitude indicator and heading indicator vacuum-powered?
28,Red and blue light.,red and blue,0.250967264175415,1.4165918827056885,0.7972486615180969,0.8571428571428571,0.8571428571428571,What colors are used to create purple on a computer screen?
29,Cartesian mechanical philosophy.,Cartesian mechanical philosophy,0.3067607879638672,1.3583433628082275,0.9853569865226746,1.0,1.0,What philosophy combined with Descartes to push quantum activity in the 20th century?
30,Vermilion.,vermilion,0.4065124988555908,1.3080899715423584,0.9810329079627992,1.0,1.0,What pigment was used to paint villas in ancient Rome?
31,The Cincinnati Red Stockings became the Atlanta Braves.,the Atlanta Braves,0.2802162170410156,1.3943533897399902,0.7116590738296509,0.5454545454545454,0.5454545454545454,What team did the Cincinnati Red Stockings become?
32,It would change color.,change color,0.3260097503662109,1.404041051864624,0.6351834535598755,0.6666666666666666,0.6666666666666666,What would to the carmine pigment if not used diligently?
33,A white flag with four small and one big red cross.,one big red cross,0.4124667644500732,1.7776522636413574,0.7005842924118042,0.5333333333333333,0.5333333333333333,What is in the middle of the Georgian flag?
34,"The McLeod gauge can measure vacuums as high as 10−6 torr (0.1 mPa), which is the lowest direct measurement of pressure possible with current technology.",can measure vacuums as high as 10−6 torr,0.3576998710632324,3.1391544342041016,0.6975983381271362,0.5,0.5,Why is the McLeod gauge special?
35,The Twilight Zone Tower of Terror.,"The ""stretching room""",0.366361141204834,1.1830852031707764,0.3104241192340851,0.2222222222222222,0.2222222222222222,What is the name of area that is really an elevator?
36,"Elevators built in pairs work by having their cars move synchronously in opposite directions, with one car serving as the counterweight for the other.","their cars always move synchronously in opposite directions,",0.3081367015838623,2.3233485221862797,0.5682224035263062,0.4375,0.4375,How do elevators built in pairs work?
37,A few seconds.,after a few seconds,0.3630557060241699,1.0855586528778076,0.7456517815589905,0.8571428571428571,0.8571428571428571,When will a person or animal lose consciousness  when exposed to a vacuum?
38,"Color was the central element of Matisse's paintings, chosen to evoke emotions.",the central element,0.3276727199554443,2.053353071212769,0.2045863568782806,0.375,0.375,What part in the paintings of Matisse did color play?
39,They experience a simulated free-fall.,People in the remaining elevators may see an indicator light or hear a voice announcement informing them that the elevator will return to the lobby shortly,0.3940250873565674,1.5166876316070557,0.2035468071699142,0.0625,0.0625,What do any passengers experience at this point?
40,Momentum transfer pumps.,Momentum transfer pumps,0.3900933265686035,1.0814509391784668,0.959930956363678,1.0,1.0,What pump has a higher quality vacuum than a positive displacement pump?
41,They ensure the material moves forward.,ensure that the material moves forward,0.3389618396759033,0.9746205806732178,0.6826441884040833,0.8333333333333334,0.8333333333333334,What do the partians do on the conveyor?
42,Henry Pickering,Henry Pickering,0.3863072395324707,1.316791296005249,1.0,1.0,1.0,Who stated that the character of a gas and free molecule were in ether?
43,Inaccuracy of the missile.,relative inaccuracy of the missile,0.281597375869751,1.4649109840393066,0.9029837250709534,0.888888888888889,0.888888888888889,What was the concern with longer range ICBM with Hbomb?
44,"He argued that the problem of measure is essentially group-theoretic in character, and that the change of group, not the change of space, makes a difference in its solvability.",In a series of famous papers,0.369370698928833,3.1530649662017822,0.2113716900348663,0.1666666666666666,0.1111111111111111,In what way did von Neumann make spectacular contributions to measure theory?
45,2004,2004,0.3200104236602783,1.2344043254852295,1.0,1.0,1.0,When did India and Pakistan begin serious peace talks?
46,"To provide expeditious service to passengers arriving at the building, typically in the morning as people arrive for work or at the conclusion of a lunch-time period.",people arrive for work or at the conclusion of a lunch-time period,0.3399858474731445,2.862241506576538,0.695309042930603,0.6341463414634146,0.6341463414634146,What are the reasons for up-peak mode early in the day?
47,"The elevators come to a halt, then one by one return to the lobby floor, open their doors, and shut down.","One by one, each car in the group will return to the lobby floor, open its doors and shut down",0.4481284618377685,2.5416576862335205,0.6380906701087952,0.6829268292682926,0.6341463414634146,What sequence of events happens when the power shuts off in a traction elevator and the elevators all stop?
48,"16,777,216.","16,777,216",0.5004289150238037,1.5291190147399902,0.98925518989563,1.0,1.0,What is the total number of possible sRGB colors?
49,13 kPa (100 Torr),"13 kPa (100 Torr),",0.3853793144226074,1.609673261642456,0.9927351474761964,1.0,1.0,What amount of pressure drop can kill you if it occurs suddenly?
50,A smoke or heat sensor in the building.,a corresponding smoke sensor or heat sensor in the building,0.4060873985290527,1.3505511283874512,0.933588206768036,0.888888888888889,0.888888888888889,What initiates Phase one mode?
