idx,generated_response,ground_truth,load_knowledge_time,generate_time,bert_score,rouge1_score,rougeL_score
0," The relational model improved over time with the development of SQL, which provided a standardized query language, and the introduction of object-oriented programming, which allowed for more complex data relationships and improved data management.",without constant rewriting of links and pointers,0.0519413948059082,5.735013484954834,0.07387353479862213,0.09523809523809522,0.09523809523809522
1, 1840s,1840s,0.10593724250793457,3.235578775405884,1.0000001192092896,1.0,1.0
2, The database's conceptual and external architectural levels.,database related application,0.04583549499511719,3.591088056564331,0.5931810140609741,0.18181818181818182,0.18181818181818182
3, Allophonic and phonemic.,allophonic or phonemic,0.04742860794067383,3.5336782932281494,0.9574704170227051,0.6666666666666666,0.6666666666666666
4, Less than 6% moisture content.,6,0.04727005958557129,3.5262513160705566,0.11225318908691406,0.33333333333333337,0.33333333333333337
5, CODASYL,Database Task Group,0.11524176597595215,3.1593799591064453,0.07779072970151901,0.0,0.0
6, Degrees of aspiration.,degrees of aspiration,0.045127153396606445,3.2454400062561035,0.9481090307235718,1.0,1.0
7, Stops are distinguished by voicing and aspiration.,voicing,0.055963993072509766,3.5767452716827393,0.5070854425430298,0.25,0.25
8, QUEL,QUEL,0.09654736518859863,3.099064350128174,1.0,1.0,1.0
9, A special kind of felt.,felt,0.09775948524475098,3.3869831562042236,0.7356632947921753,0.33333333333333337,0.33333333333333337
10, Acid-free.,acid-free,0.08320403099060059,3.1884164810180664,0.9661557078361511,1.0,1.0
11, Object-relational impedance mismatch.,object-relational impedance mismatch,0.061556100845336914,3.3682432174682617,0.9925756454467773,1.0,1.0
12," dBASE was unique because it did the ""dirty work"" of data manipulation, allowing users to focus on their tasks rather than managing files and space allocation.",data manipulation is done by dBASE,0.05053377151489258,5.18718409538269,0.6420238614082336,0.1875,0.125
13, Edgar F. Codd,Codd,0.05238151550292969,3.315147876739502,0.6127148866653442,0.5,0.5
14, A special kind of felt.,felt,0.15574860572814941,3.383235454559326,0.7356632947921753,0.33333333333333337,0.33333333333333337
15, Laidlines.,Laidlines,0.07524847984313965,3.2417314052581787,0.9563372135162354,1.0,1.0
16, word-finally.,consonant clusters,0.04821133613586426,3.2260894775390625,0.20001697540283203,0.0,0.0
17, sizing,sizing,0.05226492881774902,2.9968831539154053,1.000000238418579,1.0,1.0
18, china clay,china clay,0.10644769668579102,3.0878028869628906,1.0000001192092896,1.0,1.0
19, The paper is cut into sheets for other printing processes or other purposes.,cut into sheets,0.04801368713378906,3.95863676071167,0.6587461233139038,0.375,0.375
20, Aspirated,breathy-voiced,0.05876970291137695,3.155384063720703,0.2583886981010437,0.0,0.0
21, Paperfoam is biodegradable and can be recycled with ordinary paper.,recycled,0.04856514930725098,4.015056133270264,0.5233820676803589,0.18181818181818182,0.18181818181818182
22, 2,2,0.04800081253051758,3.0877387523651123,1.0,1.0,1.0
23, Less than 10%,10%,0.052693843841552734,3.313652515411377,0.8282629251480103,0.5,0.5
24," Programmers can use a wire protocol directly, or more likely through an application programming interface (API).",wire protocol,0.05652880668640137,4.394773721694946,0.7068654298782349,0.2222222222222222,0.2222222222222222
25, There can be any number of different external views.,any number,0.05113482475280762,3.6575942039489746,0.07690197229385376,0.3636363636363636,0.3636363636363636
26, Tuple calculus.,tuple calculus,0.12614011764526367,3.2311601638793945,0.9618598818778992,1.0,1.0
27, Maceration.,maceration,0.09329843521118164,3.1727383136749268,0.9490299224853516,1.0,1.0
