idx,generated_response,ground_truth,ir_time,generate_time,bert_score,rouge1_score,rougeL_score,question
0,"Paper magazine covers a wider range of topics, including fashion, popular culture, nightlife, music, art, and film.",Paper,1.025434494018555,2.871567249298096,0.3990439772605896,0.1111111111111111,0.1111111111111111,"Which magazine covers a wider range of topics, Decibel or Paper?"
1,1958.,1958,0.3036592006683349,0.8355729579925537,0.9648765921592712,1.0,1.0,People of the City is a novel by Cyprian Ekwensi that preempted the importance of a novel first published in what year?
2,Oh Yeah! Cartoons.,Oh Yeah! Cartoons,0.3520770072937011,0.83990478515625,0.9808827042579652,1.0,1.0,Mina and the count animated series appeared on two animation show cases Cartoon networks what a Cartoon. Who was the second Animation showcase which appeared on Nickelodeon cable channel ?
3,Kevin Love.,Kevin Wesley Love,0.4762120246887207,0.7111093997955322,0.8102089166641235,0.8,0.8,"What all-star from the Cavaliers-Warriors rivalry was born September 7, 1988?"
4,1904.,1904,0.2264795303344726,0.7836930751800537,0.97119802236557,1.0,1.0,"Europrop International GmbH (EPI) is a joint venture among four European aircraft engine manufacturers, including Rolls-Royce Holdings plc is a British multinational public limited company incorporated in February 2011, that owns Rolls-Royce, a business established in what year, and today designs, manufactures and distributes power systems for aviation, and other industries?"
5,Isaac Hayes.,soul singer Isaac Hayes,0.5765368938446045,0.5605630874633789,0.7519511580467224,0.6666666666666666,0.6666666666666666,Who is Chef voiced by in the episode Cartman's Mom Is Still a Dirty Slut?
6,IAO by John Zorn.,John Zorn,0.7293753623962402,0.7996821403503418,0.6041516661643982,0.6666666666666666,0.6666666666666666,Who was the album by that was inspired by a man who was an English occultist and his follower?
7,"10,700.","10,700",0.2588832378387451,0.5465342998504639,0.9623159766197203,1.0,1.0,What is the capacity of the arena at which Martin Mikkelsen's team plays?
8,"""Te Amo""",Te Amo,0.2792842388153076,0.7861058712005615,0.9105165004730223,1.0,1.0,"Which song, released in June of 2010, was sampled by a single that Sean Kingston recorded?"
9,The Karakoram Range.,mountain,0.3119032382965088,0.7571117877960205,0.3008832335472107,0.0,0.0,Baintha Brakk and K2 are both names of what?
10,Agalloch disbanded in May 2016.,May 2016,1.3777143955230713,0.9333231449127196,0.2794644236564636,0.5714285714285715,0.5714285714285715,In what month and year was the video game that inspired the Overwatch digital comic series released?
11,classical history.,classical history,0.3109617233276367,0.6582241058349609,0.9469412565231324,1.0,1.0,"What is the specialty of the woman who presented ""The Spartans"" in 2003?"
