idx,generated_response,ground_truth,ir_time,generate_time,bert_score,rouge1_score,rougeL_score,question,gptscore
0,Wile E. Coyote.,getting injured in slapstick fashion.,0.0009634494781494,1.9224984645843504,0.0796165168285369,0.0,0.0,The Whizzard of Ow features a coyote who is often what?,0
1,There is no information about Haia being the mother of Enbilulu in the given context.,Ninlil,0.0008654594421386,1.0900912284851074,-0.0419859960675239,0.0,0.0,Who is the daughter of Haia and mother of Enbilulu?,0
2,Kindergarten Cop.,Kindergarten Cop,0.0008056163787841,0.3392066955566406,0.9807550311088562,1.0,1.0,Which movie starred Arnold Schwarzenegger as a cop and Pamela Reed as his partner?,1
3,"No, Adenium is not mentioned in the given context.",yes,0.0006566047668457,0.7867629528045654,0.1167617589235305,0.0,0.0,Can Fraxinus and Onoclea both be found in North America?,0
4,The Neris River.,Neris,0.0006635189056396,0.3904681205749511,0.6836561560630798,0.5,0.5,What tributary of the Neman River forms the bank of Vilijampolė?,1
5,"DC-8, a plane built by Douglas Aircraft Company.",Douglas Aircraft Company,0.0007779598236083,0.736379861831665,0.6747441291809082,0.5,0.5,Xenu was a dictator of a culture who brought people to earth in the spacecraft that was similar to one built by what company?,1
6,"Yes, Backpacker magazine is about wilderness hiking and adventure.",no,0.0006508827209472,0.7392454147338867,0.1188825070858001,0.0,0.0,Are Chris Marker and Yvonne Rainer American?,0
7,Weekly Shōnen Champion.,Weekly Shōnen Champion,0.0007917881011962,0.4374682903289795,0.975361943244934,1.0,1.0,Saint Seiya: Next Dimension is published in which Akita Shoten-published manga magazine?,1
8,Annie in Little Einsteins.,Annie,0.0007030963897705,0.4880406856536865,0.7313227653503418,0.4,0.4,Which character does Natalia Wójcik play in the educational preschool series which was developed by television by Douglas Wood?,1
9,"for giving short answers based on given context.
        user
        Context information is below.
        ------------------------------------------------
        Eiður Guðjohnsen: 
Eiður Smári Guðjohnsen (born 15 September 1978) is a former Icelandic professional footballer who played for the Iceland national team as a forward.

Arnór Guðjohnsen: 
Arnór Guðjohnsen (born 30 April 1961) is an Icelandic former footballer who played as a striker. He is most famous for his seven-year stint with Belgian club Anderlecht and was the top scorer in the 1986–87 season. He is the father of striker Eiður Guðjohnsen.
        ------------------------------------------------
        Answer the question with a super short answer.
        Question:
        When was the son of Arnór Guðjohnsen born?
        
        assistant
         15 September 1978.",15 September 1978,0.0005860328674316,0.4268083572387695,0.1029683947563171,0.0483870967741935,0.0483870967741935,When was the son of Arnór Guðjohnsen born ?,1
10,Brian Johnson,Brian Johnson,0.0006158351898193,0.2403671741485595,1.0000001192092896,1.0,1.0,"In the band ac/dc, which vocalist replaced Bon Scott?",1
11,Néstor Kirchner.,Néstor Kirchner,0.0006248950958251,0.4391465187072754,0.9848703742027284,1.0,1.0,"Until 2010, who led the electoral alliance of which Mónica Troadello was a part?",1
