idx,generated_response,ground_truth,reset_cache_time,generate_time,bert_score,rouge1_score,rougeL_score,question
0," The relational model improved over time with the development of SQL, which provided a standardized query language, and the introduction of object-oriented programming, which allowed for more complex data relationships and improved data management.",without constant rewriting of links and pointers,0.0004985332489013,3.242957353591919,0.0738735347986221,0.0952380952380952,0.0952380952380952,How was the relational model able to improve over time?
1, 1840s,1840s,0.0005061626434326,0.3712658882141113,1.0000001192092896,1.0,1.0,What decade does the sulfite process date to?
2, The database's conceptual and external architectural levels.,database related application,0.0004966259002685,0.7780272960662842,0.5931810140609741,0.1818181818181818,0.1818181818181818,"In order to merge, what must the database maintain?"
3, Allophonic and phonemic.,allophonic or phonemic,0.0005230903625488,0.6598427295684814,0.9574704170227052,0.6666666666666666,0.6666666666666666,What two forms can aspiration be in?
4, Less than 6% moisture content.,6,0.0005273818969726,0.660038948059082,0.112253189086914,0.3333333333333333,0.3333333333333333,"Starting in the center of Kathmandu, how many kilometers must one travel to reach Tribhuvan International Airport?"
5, CODASYL,Database Task Group,0.0006816387176513,0.2995469570159912,0.077790729701519,0.0,0.0,What group discovered COBOL?
6, Degrees of aspiration.,degrees of aspiration,0.0004963874816894,0.4191830158233642,0.9481090307235718,1.0,1.0,There are no IPA symbols for what?
7, Stops are distinguished by voicing and aspiration.,voicing,0.0004997253417968,0.7449917793273926,0.5070854425430298,0.25,0.25,How are stops distinguished?
8, QUEL,QUEL,0.000495433807373,0.2281312942504882,1.0,1.0,1.0,What computer language was used in INGRES to access data?
9, A special kind of felt.,felt,0.0012049674987792,0.5169723033905029,0.7356632947921753,0.3333333333333333,0.3333333333333333,"Besides a blotter sheet, what can be used to collect water?"
10, Acid-free.,acid-free,0.0004959106445312,0.2999167442321777,0.9661557078361512,1.0,1.0,What level of acid is usually found in the paper used by book publishers?
11, Object-relational impedance mismatch.,object-relational impedance mismatch,0.0004849433898925,0.5148296356201172,0.9925756454467772,1.0,1.0,What term is used for the difficulty in database table and programmed object translation?
12," dBASE was unique because it did the ""dirty work"" of data manipulation automatically, allowing users to focus on their tasks rather than managing files and space allocation.",data manipulation is done by dBASE,0.0004909038543701,2.398188829421997,0.6480515003204346,0.1818181818181818,0.1212121212121212,Why was dBASE unique?
13, Codd,Codd,0.0005366802215576,0.2279520034790039,1.0,1.0,1.0,Who used tuple calculus to show the functionality of databases?
14, A special kind of felt.,felt,0.0004892349243164,0.5166912078857422,0.7356632947921753,0.3333333333333333,0.3333333333333333,"Besides a blotter sheet, what can be used to collect water?"
15, Laidlines.,Laidlines,0.0014815330505371,0.3714101314544678,0.9563372135162354,1.0,1.0,"Which is lines are commonly higher in density, laidlines or chainlines?"
