idx,generated_response,ground_truth,reset_cache_time,generate_time,bert_score,rouge1_score,rougeL_score
0," No, they are not both Washington-based airports. Friday Harbor Airport is located in Washington, while Flagstaff Pulliam Airport is located in Arizona.",no,0.0004878044128417969,3.640622615814209,0.03679763525724411,0.08333333333333333,0.08333333333333333
1, The Beatles.,the Beatles,0.000507354736328125,0.5432796478271484,0.97524493932724,1.0,1.0
2, Lou Gramm,Lou Gramm,0.00047278404235839844,0.4935142993927002,0.9999999403953552,1.0,1.0
3, The House of Habsburg.,the Habsburgs,0.0004911422729492188,0.980809211730957,0.8505738377571106,0.6666666666666666,0.6666666666666666
4, Jewel Kilcher,Jewel Kilcher,0.0005621910095214844,0.4999208450317383,1.0,1.0,1.0
5, The Atlantic Sun Conference.,Atlantic Sun Conference,0.00048160552978515625,0.7338109016418457,0.9769245982170105,0.8571428571428571,0.8571428571428571
6, Mark Twain,Mark Twain,0.0005135536193847656,0.5011265277862549,1.0,1.0,1.0
7, 1972,"October 17, 1972",0.0004668235778808594,0.495746374130249,0.8369784951210022,0.5,0.5
8, World War II,World War II,0.00048160552978515625,0.49374842643737793,1.0,1.0,1.0
9, Margaret Beaufort,Lady Margaret Beaufort,0.0004885196685791016,0.6145913600921631,0.9713524580001831,0.8,0.8
10, Apolo Ohno,Apolo Ohno,0.0014510154724121094,0.6183195114135742,1.0,1.0,1.0
11," Elle Girl was launched in 2001, while Viva was launched in 1973.",Elle Girl,0.0004699230194091797,2.393394708633423,0.5167028903961182,0.2857142857142857,0.2857142857142857
12, Boliviana de Aviación.,Boliviana de Aviación,0.00048065185546875,1.1220004558563232,0.9859575033187866,1.0,1.0
13, China,China,0.0004994869232177734,0.2623777389526367,1.0000001192092896,1.0,1.0
14, Vanessa Hudgens,Vanessa Hudgens,0.00048470497131347656,0.5045413970947266,1.0000001192092896,1.0,1.0
15, Almost Sunrise,4,0.0004749298095703125,0.37439751625061035,0.18848660588264465,0.0,0.0
