idx,generated_response,ground_truth,ir_time,generate_time,bert_score,rouge1_score,rougeL_score,question,gptscore
0,The rooms in the Belgian Suite are linked by narrow corridors.,by narrow corridors,1.798020839691162,2.236201763153076,0.4966042041778564,0.4285714285714285,0.4285714285714285,How are the rooms in the Belgian Suite connected?,1
1,It is also an art gallery.,art gallery,0.4300246238708496,0.4951291084289551,0.8012039661407471,0.5,0.5,"Aside from being the home of the monarchy and a tourist attraction, what else is Buckingham Palace known for?",1
2,The work of Pablo Picasso and Georges Braque.,Braque and Picasso,0.2815513610839844,0.571108341217041,0.8291370272636414,0.5454545454545454,0.1818181818181818,Understanding who's work was the tradition meaning of Cubism formed on?,1
3,Daniel-Henry Kahnweiler.,Juan Gris,0.3354566097259521,0.5311481952667236,0.3167882263660431,0.0,0.0,Who coined the phrase Analytic Cubsim? ,0
4,"The British monarch, currently King Charles III.",Crown Estate,0.3959174156188965,0.3876094818115234,0.2974222004413605,0.0,0.0,Who owns Buckingham Palace and Windsor Castle?,0
5,Goring Great Garden.,Goring Great Garden,0.3188841342926025,0.4220447540283203,0.9819589257240297,1.0,1.0,What was the name of Lord Goring Garden?,1
6,To highlight minority party goals and achievements.,write books or articles that highlight minority party goals and achievements,0.2930035591125488,0.5295641422271729,0.7689049243927002,0.6666666666666665,0.6666666666666665,What are the purpose of minority leader writings?,1
7,The Speaker of the House is typically considered the leader of the majority party in the House.,Speaker,0.4581248760223388,0.8927597999572754,0.3886943757534027,0.1111111111111111,0.1111111111111111,Who is the leader of the majority leader in House?,1
8,Buckingham House.,Buckingham House,0.3860373497009277,0.1690781116485595,0.9801653623580932,1.0,1.0,What was King George II's royal residence beginning in 1762?,1
9,There is no mention of a student of Nash designing the ballroom wing.,Sir James Pennethorne.,0.6070070266723633,0.7778077125549316,0.0556484572589397,0.0,0.0,Who was the student of Nash that designed the ballroom wing?,0
10,Dornier Do 17.,Dornier Do 17 bomber,0.2885463237762451,0.4297230243682861,0.8137964606285095,0.8571428571428571,0.8571428571428571,What type of aircraft was the German Plane?,1
11,Woman Walking.,Woman Walking,0.3587074279785156,0.3524036407470703,0.993730902671814,1.0,1.0,Which  Alexander Archipenko piece was similar to other Cubist scupltures of that time?,1
12,1762.,1762,0.4330739974975586,0.3863792419433594,0.9633775353431702,1.0,1.0,In what year was the Gold State Coach first used?,1
13,The Duke of Buckingham and Normanby.,Duke of Buckingham and Normanby,0.4281163215637207,0.5288946628570557,0.9758442640304564,0.9090909090909092,0.9090909090909092,The house which is the core of Buckingham was first built for who?,1
14,There is no mention of a prominent ex-speaker being nominated for the minority role in 1875.,James Blaine,0.299858808517456,0.9916372299194336,0.0607739463448524,0.0,0.0,What prominent ex-speaker was nominated for minority role in 1875?,0
15,King George V.,George V,0.4293749332427978,0.3858380317687988,0.8678106069564819,0.8,0.8,Which king placed more emphasis on official entertaining and royal duties instead of lavish parties?,1
16,A King's Messenger.,King's Messenger,0.2627637386322021,0.3594117164611816,0.8973678350448608,0.8571428571428571,0.8571428571428571,After the war what did Holmes become?,1
17,"£21,000.","£21,000",0.3121793270111084,0.4212782382965088,0.972305715084076,1.0,1.0,How much did George III pay for Buckingham House? ,1
18,"A minority leader can attempt to set some agenda for the House by employing discharge petitions to bring minority priorities to the floor, and by using parliamentary tactics such as dilatory motions to delay action on the majority party's agenda.","may employ, or threaten to use, discharge petitions to try and bring minority priorities to the floor.",0.3296198844909668,1.8210737705230715,0.6958791017532349,0.4482758620689655,0.3448275862068965,How can a minority leader attempt to set some agenda for house?,1
19,The text does not mention any animals being kept in the Royal Mews.,horses,0.2896535396575928,0.7840783596038818,0.2473600506782531,0.0,0.0,"What enabled some tribes to expand territory, increase trade and capture more game?",0
20,1905-1908.,"1905 and 1908,",0.3217720985412597,0.4926979541778564,0.952204704284668,0.8,0.8,"During which years did the conscious begin to look for a new style in Germany, Italy, Russia, and Holland?",1
21,The Throne Room.,the throne room,0.3234586715698242,0.3885416984558105,0.9784623384475708,1.0,1.0,The Ballroom replaced which other room in terms of importance and use?,1
22,Glass.,glass,0.6498851776123047,0.3136727809906006,0.951978325843811,1.0,1.0,"When resin stays below Tg, its thermal expansion is similar to that of copper and what other material?",1
23,"The Queen's Gallery, near the Royal Mews.",at the Queen's Gallery,0.39375901222229,0.6394352912902832,0.829236626625061,0.6153846153846154,0.6153846153846154,Where can the public view the Royal Collection?,1
24,Queen Victoria.,Queen Victoria,0.5584366321563721,0.3494153022766113,0.9674348831176758,1.0,1.0,Who did Martha Ann Ricks present the famed Liberian coffee tree to?,1
25,The Making of Americans.,The Making of Americans,0.3305737972259521,0.3974840641021728,0.976009964942932,1.0,1.0,What was the title of Gertrude Stein's 1906-1908 book?,1
26,Paul Gauguin and Paul Cézanne.,Paul Gauguin and Paul Cézanne,0.4355373382568359,0.6350381374359131,0.9873037338256836,1.0,1.0,Which two artists did Douglass Cooper say were very important to the forming of Cubism?,1
27,Silk.,silk.,0.836632251739502,0.3138413429260254,1.0,1.0,1.0,What did the mulberry garden produce?,1
28,The freehold of the palace was subject to speculation in the 17th century.,the freehold,0.2905094623565674,0.8563916683197021,0.4555312991142273,0.2666666666666667,0.2666666666666667,What about the palace was subject to speculation in the 17th century?,1
29,52.,52,0.541663408279419,0.3518018722534179,0.9440832734107972,1.0,1.0,How many Puerto Ricans have died in the Iraq War and War in Afghanistan?,1
30,Hardship.,their subjects' hardship,0.324753999710083,0.2872114181518554,0.6437889337539673,0.5,0.5,The royal family was seen as sharing what with their subjects after the bombings?,1
31,King George V.,George V,0.3580682277679443,0.3850631713867187,0.8678106069564819,0.8,0.8,Which king placed more emphasis on official entertaining and royal duties instead of lavish parties?,1
32,The style of the saucer domes in the Belgian Suite is in the style of Soane.,the style of Soane,0.4706263542175293,0.9649374485015868,0.6796320080757141,0.4,0.4,The saucer domes are in whose style?,1
33,"Strong party attachments, patronage-based party organizations, and high levels of party voting in Congress made identifying House leadership difficult.",Internal party disunity,0.2337584495544433,1.1066949367523191,0.4526662230491638,0.0869565217391304,0.0869565217391304,What made identifying House leadership difficult?,0
34,"The palace's chimneys smoked excessively, causing fires to be allowed to die down to avoid the smoke.",the chimneys smoked,0.3116121292114258,0.9969973564147948,0.7081068754196167,0.2857142857142857,0.2857142857142857,What was the problem with the palace's chimneys?,1
35,Gertrude Stein.,Gertrude Stein,0.3939685821533203,0.363523006439209,0.9821693897247314,1.0,1.0,Who's written works used repitition that was similar to Cubist art?,1
36,"A lot, as they are typically energetic and aggressive campaigners for partisan incumbents and challengers.",hardly any major aspect of campaigning that does not engage their attention,0.3134052753448486,0.923802614212036,0.4717993140220642,0.074074074074074,0.074074074074074,How much concern do minority leaders have for campaigning?,1
37,17th century.,18th-century design,0.3727343082427978,0.4231131076812744,0.5935368537902832,0.4,0.4,From what century were men's knee breeches worn at Buckingham designed in?,0
38,Dynamism and expressive plasticity.,dynamism and expressive plasticity,0.307229995727539,0.4979875087738037,0.9869978427886964,1.0,1.0,What feelings should Cubist architecture evoke in viewer?,1
39,There is no information in the provided context about the number of visitors to the palace in the 2014-2015 fiscal year.,"476,000 people",0.3168926239013672,1.2099993228912354,0.2111947834491729,0.0,0.0,How many people visited the palace in the 2014.2015 fiscal year?,0
40,The House of the Black Madonna was built by Josef Gočár.,Vlastislav Hofman,0.2681927680969238,0.7442162036895752,0.1076498627662658,0.0,0.0,Who built the House of the Black Madonna?,0
