idx,generated_response,ground_truth,ir_time,generate_time,bert_score
0,October 2014.,October 2014,0.0009214878082275391,1.9279541969299316,0.9739536046981812
1,"Franklin Square, New York.",Garden City South,0.001050710678100586,0.7411718368530273,0.42104488611221313
2,Q48,New York City Bus: Q48,0.0010085105895996094,0.6029112339019775,0.6079802513122559
3,World War I.,World War I,0.0011093616485595703,0.693204402923584,0.9355374574661255
4,Davy and the Goblin.,Davy and the Goblin,0.0009031295776367188,0.7286038398742676,0.9879332184791565
5,North Atlantic Conference.,NCAA ’s Division III,0.0009014606475830078,0.6496710777282715,0.47150883078575134
6,1232981 ha,1232981 ha,0.0009455680847167969,0.726454496383667,1.0
7,"Chaoyang District, Shantou.",Chaoyang District,0.0009708404541015625,0.8864233493804932,0.8984326124191284
8,"The Lorraine Campaign occurred in World War II from September 1 to December 18, 1944. The Battle of Pusan Perimeter occurred in the Korean War from August 4 to September 18, 1950. Therefore, the Lorraine Campaign occurred first.",Lorraine Campaign,0.0009620189666748047,2.8838751316070557,0.5242785215377808
9,"Aunt Marge in ""Harry Potter and the Prisoner of Azkaban"".",Aunt Marge,0.0009710788726806641,1.1708126068115234,0.7747327089309692
10,"Broken Hill, New South Wales.","Broken Hill, New South Wales",0.0009815692901611328,0.811410665512085,0.9760308861732483
11,1946.,1946,0.0010068416595458984,0.6833145618438721,0.9630112051963806
12,"No, they are not. Xinyang is in Henan province, while Gao'an is in Jiangxi province.",no,0.0009229183197021484,1.5650336742401123,0.12496789544820786
13,"""Good To Me"" in the movie ""Shutter"".","""Good To Me""",0.0010030269622802734,1.0066468715667725,0.7237384915351868
14,Guillermo del Toro.,Guillermo del Toro,0.000982046127319336,0.719458818435669,0.9862099885940552
15,United States.,the United States,0.0009288787841796875,0.6336510181427002,0.8849188685417175
16,Rick Perry.,Rick Perry,0.0009853839874267578,0.6068756580352783,0.9620687365531921
17,South Park.,South Park,0.0009558200836181641,0.6048924922943115,0.9611535668373108
18,Ecuador.,Canada,0.0009381771087646484,0.5672037601470947,0.49992531538009644
19,Cristiano Ronaldo.,Cristiano Ronaldo,0.0009548664093017578,0.6358163356781006,0.9801245927810669
20,A life sentence plus 30 years.,life sentence plus 30 years,0.0009281635284423828,0.8495056629180908,0.95420241355896
21,Edward VI.,Henry VIII,0.000949859619140625,0.5776922702789307,0.4389220178127289
22,Lee Chang-dong.,Lee Chang-dong,0.0008609294891357422,0.5875561237335205,0.9868752360343933
23,Princess Helena of the United Kingdom.,Princess Helena,0.0009009838104248047,0.8028771877288818,0.8901089429855347
24,The 2015 Cannes Film Festival.,68th,0.0009348392486572266,0.8416783809661865,0.05314243584871292
25,The Longitude Act in 1714.,Longitude Act,0.0009717941284179688,0.8403985500335693,0.729962170124054
26,Film director and producer.,director,0.0009474754333496094,0.650291919708252,0.7375873327255249
27,Georgia Tom.,Georgia Tom,0.0010097026824951172,0.6340601444244385,0.9804477095603943
28,Costas Mandylor.,Costas Mandylor,0.0009124279022216797,0.7316570281982422,0.9903508424758911
29,I couldn't find any information about a 2016 musical filmed in Howth.,John Carney,0.0009517669677734375,1.2320141792297363,0.13423976302146912
30,"Framing Hanley released their debut album ""The Moment"" in August 2007, while The Operation M.D. released their debut album ""We Have an Emergency"" in February 2007.",The Operation M.D.,0.0009348392486572266,2.1053314208984375,0.42443546652793884
31,"Yes, they were both from Brazil.",no,0.0009593963623046875,0.8096189498901367,0.13746294379234314
