idx,generated_response,ground_truth,ir_time,generate_time,bert_score,rouge1_score,rougeL_score,question
0,16 districts.,16,0.4465186595916748,2.413913488388061,0.4633152484893799,0.6666666666666666,0.6666666666666666,How many policing districts was Paris divided into?
1,By breathing in fumes or skin absorption.,fumes or skin,0.374377965927124,1.0154352188110352,0.5810143947601318,0.6,0.6,By what means can humans be exposed to bitumen?
2,Yellow and orange.,yellow and orange,0.314227819442749,0.6140210628509521,0.9773666858673096,1.0,1.0,What are Barcelona's most often used change colors?
3,"Because it often operates in secrecy and lacks transparency, making it difficult for civil society to hold it accountable.",this is a secretive area and one not open to civil society involvement,2.354363918304444,1.5955171585083008,0.5222094058990479,0.25,0.1874999999999999,Why is transnational policing so unaccountable?
4,Bitumen.,tar,0.2828338146209717,0.5256621837615967,0.3766398131847381,0.0,0.0,What is a naming term for asphalt?
5,Message (what type of things are communicated),channel (through which medium),0.3416714668273926,0.8145062923431396,0.3655360043048858,0.0,0.0,What is one dimension that communication is typically described along?
6,Bitumen.,bitumen,0.2718150615692138,0.5276100635528564,0.9760992527008056,1.0,1.0,"Instead of tar, what does the La Brea Tars Pits contain?"
7,"Alberta, Canada.",Northern Alberta,0.3196017742156982,0.8245992660522461,0.7942790389060974,0.5,0.5,Where are the Athabasca oil sands located?
8,1912.,1912,0.3346319198608398,0.8182251453399658,0.9596837759017944,1.0,1.0,What year did the end of Imperial China occur?
9,"1,000 troops.","1,000 troops and their supporting vehicles",0.2566335201263428,0.9317858219146729,0.8493969440460205,0.6,0.6,How many troops can be maintained on a Canbera-class LHD?
10,They had higher range and precision.,They had higher range and precision,0.4375061988830566,0.9843959808349608,0.9898761510849,1.0,1.0,Why were carrier-launched aircraft more effective than naval guns?
11,The text does not mention the UK 1942 Design Light Fleet Carrier.,3 years,0.3083419799804687,1.343976974487305,0.0461021102964878,0.0,0.0,What was the expected serice life of the UK 1942 Design Light Fleet Carrier?
12,8-17% (insoluble matter) and 83-92% (soluble in carbon disulphide).,83% to 92%,0.337822675704956,1.8473029136657717,0.3944617807865143,0.2857142857142857,0.2857142857142857,What is the variance in bitumen content rock asphalt?
13,"Barcelona did not win the 2015 FIFA World Cup Final. They won the 2015 FIFA Club World Cup Final, defeating River Plate 3-0.",River Plate,0.377638578414917,1.809974193572998,0.1743881106376648,0.1538461538461538,0.1538461538461538,What team did Barcelona defeat to win the 2015 FIFA World Cup Final?
14,There is no mention of Espanyol offering a counter-petition against autonomy in the provided text.,1918,0.3371508121490478,1.641828536987305,0.0595457926392555,0.0,0.0,In what year did Argentina's University Revolution occur?
15,June 1982.,June 1982,0.2813506126403808,0.8873374462127686,0.980152428150177,1.0,1.0,When was Diego Maradona signed by Barcelona?
16,The Era of Fragmentation.,Era of Fragmentation,0.3436782360076904,0.7018392086029053,0.9702173471450806,0.8571428571428571,0.8571428571428571,What followed the collapse of imperial Tibet?
17,People who supported the abolition of slavery.,people who supported abolition of slavery,0.4046952724456787,0.9581475257873536,0.9694189429283142,0.923076923076923,0.923076923076923,"The ""american colonization society"" consisted mostly of whom"""
18,Christianity was used by some Tibetan monarchs and their courts to counterbalance the influence of the Gelugpa sect in the 17th century.,counterbalance the influence of the Gelugpa sect,0.3409998416900635,1.9774208068847656,0.6037536859512329,0.4827586206896552,0.4827586206896552,How was Christianity used by some Tibetan monarchs?
19,"The constraints of constructing a flight deck affect the role of a carrier because they influence the weight, type, and configuration of the aircraft that may be launched.","they influence the weight, type, and configuration of the aircraft that may be launched",0.3665180206298828,2.067335367202759,0.6074395179748535,0.6666666666666666,0.6666666666666666,Why do the constraints of constructing a flight deck affect the role of a carrier?
20,"100,000.","100,000",0.2802612781524658,0.8963131904602051,0.963464856147766,1.0,1.0,How many things were altered after developer version release?
21,Roofs.,roofs,0.2709455490112304,0.8046131134033203,0.9602362513542176,1.0,1.0,For what was most of the the Bitumont plant's output was used for waterproofing?
22,5%,5%,0.3249988555908203,0.5320508480072021,1.0,1.0,1.0,What percent of the $13.7 billion did the CIA receive?
23,Another person or being.,another person or being,0.3092224597930908,0.6577060222625732,0.9725792407989502,1.0,1.0,What is one target of communication?
24,Police are a public sector service.,public sector,0.2753567695617676,0.976393222808838,0.6423329710960388,0.5,0.5,What kind of service are police?
25,Tibetan or Sanskrit.,Tibetan or Sanskrit,0.3944222927093506,0.7405922412872314,0.9727386832237244,1.0,1.0,In what languages is Tibetan music often chanted in?
26,"Tibet's average elevation is approximately 16,000 feet.","16,000",0.7298204898834229,0.9470508098602296,0.2362392395734787,0.3636363636363636,0.3636363636363636,How much was 1 US Dollar worth in Iranian Rials in early 2012?
27,"The club was in decline, and managers came and went.",decline,0.2812538146972656,1.2064366340637207,0.5200982689857483,0.1818181818181818,0.1818181818181818,"Does physical aggression decline or increase during high-school, college, and early adulthood?"
28,Esperanto.,programming languages,0.3348755836486816,0.6566371917724609,0.2665092051029205,0.0,0.0,What is an example of a language that is not restricted to properties of human language?
29,VTOL (Vertical Takeoff and Landing) capability.,hover,0.3182613849639892,1.1628174781799316,0.2960230708122253,0.0,0.0,What capability do helicopters use to move over the flight deck and land vertically?
30,1774.,1774,0.359703779220581,0.6285140514373779,0.9730980396270752,1.0,1.0,What year was the Hammond-Harwood House built?
31,I don't see any information about a war ending in 1479 in the provided context.,War of the Castilian Succession,0.2967193126678467,1.5318658351898191,0.3953555822372436,0.1904761904761904,0.1904761904761904,What war ended in 1479?
32,Liberia is divided into 15 counties.,fifteen,0.372065782546997,0.7866084575653076,0.2844871282577514,0.0,0.0,How old was Amanda Todd when she took her own life because of bullying?
