idx,generated_response,ground_truth,ir_time,generate_time,bert_score,rouge1_score,rougeL_score,question
0,1935,1935,0.2371587753295898,4.610927581787109,1.0,1.0,1.0,When did Reza Shan request that Iran officially be referred to as Iran and not Persia?
1,"No, the number of entrants has varied over the years, with a record 763 clubs participating in the 2011-12 season.",The number of entrants has increased greatly in recent years,0.396176815032959,4.192851543426514,0.6831884384155273,0.4516129032258064,0.3870967741935483,Has the number of entrants stayed the same? 
2,"José Batlle y Ordóñez, President of Uruguay from 1911 to 1915.",José Batlle y Ordóñez,0.2620618343353271,3.925710439682007,0.684239387512207,0.5882352941176471,0.5882352941176471,Parque Batlle is named in honor of who?
3,Francisco Antonio Maciel.,Francisco Antonio Maciel,0.3156657218933105,2.8504347801208496,0.9896161556243896,1.0,1.0,Who originally donated the land for Hospital Macie?
4,"Yes, Rebecca Lowe became the first woman to host the FA Cup Final in the UK in 2013.",Rebecca Lowe became the first woman to host the FA Cup Final in the UK.,0.4920544624328613,3.72789454460144,0.927700936794281,0.9090909090909092,0.9090909090909092,Has a woman ever broadcast a match? 
5,A major storm occurred in 1923.,A major storm,0.4848306179046631,3.1169474124908447,0.610338032245636,0.6666666666666666,0.6666666666666666,What happened in 1923 that required repairs to many of the city's engineering works?
6,Gordon Brown.,"his Chancellor, Gordon Brown",0.2797853946685791,2.1501576900482178,0.7710922956466675,0.6666666666666666,0.6666666666666666,Who was Blair replaced by?
7,May 1994,May 1994,0.4191839694976806,2.7411344051361084,1.0000001192092896,1.0,1.0,When did Smith die?
8,Plaza Zabala with the equestrian statue of Bruno Mauricio de Zabala.,Plaza de la Constitución,0.2806816101074219,3.612148523330689,0.4208224415779114,0.25,0.25,What is also a major note in Ciudad Vieja?
9,191,191,0.2586748600006103,2.293508529663086,1.0000001192092896,1.0,1.0,How many MP did they get in the election in 1924?
10,The BBC and Sky Sports had FA Cup coverage from 1988-1997.,"From 1988 to 1997, the BBC and Sky Sports had coverage of the FA Cup",0.2458064556121826,3.4226670265197754,0.9557037353515624,0.888888888888889,0.5925925925925926,Who had FA cup coverage from 1988-1997?
