idx,generated_response,ground_truth,load_knowledge_time,generate_time,bert_score,rouge1_score,rougeL_score,question,gptscore
0, Interscope Records,Universal Music Group,0.0467019081115722,7.3509581089019775,0.1606148779392242,0.0,0.0,"Who owned the record company that released the album ""San Franciso Dues""?",0
1, Nancy Davis (later Nancy Reagan),Nancy Davis Reagan,0.0475008487701416,7.669112205505371,0.9425208568572998,0.7499999999999999,0.7499999999999999,What American film actress served as the First Lady of the United States from 1981 to 1989 starred in a 1957 black-and-white World War II submarine film drama from Columbia Pictures?,1
2," Berkshire Hathaway, which is headquartered in Omaha, Nebraska, United States.","Omaha, Nebraska, United States",0.0478663444519043,8.594575643539429,0.560411274433136,0.5714285714285715,0.5714285714285715,In January 2016  Precision Castparts Corp. became a sibsidiary of a multinational conglomerate holding company headquartered where?,1
3," January 26, 1978","January 26, 1978",0.0470461845397949,7.6593177318573,1.0,1.0,1.0,When was the sister of Maggie Keenan-Bolger born? ,1
4, Angela Lansbury.,Dame Angela Brigid Lansbury,0.0466647148132324,7.327033519744873,0.8511828184127808,0.6666666666666666,0.6666666666666666,We Need a Little Christmas was first performed by what British-American-Irish actress whose career has spanned seven decades?,1
5, Rajshri Productions.,Rajshri Productions,0.0468702316284179,7.43692684173584,0.9847331047058104,1.0,1.0,Who produced and distributed the film in which Amrita Rao was most popular for her role in?,1
6," Dunkin' Donuts featured Ryohei Otani in a commercial in 2003, which helped launch his career in Korean entertainment.",a commercial,0.0474824905395507,10.111572265625,0.3951753377914428,0.1999999999999999,0.1999999999999999,"How did Dunkin' Donuts, a global donut company and coffeehouse, help propell Japanese actor and model Ryohei Otani into Korean entertainment in 2003?",1
7, Real Sociedad.,Real Sociedad,0.0473639965057373,7.299184560775757,0.981247067451477,1.0,1.0,Which club was involved in the race for La Liga title for the first time in many years in the 2002-03 season?,1
8, Yes.,yes,0.0466363430023193,7.069647789001465,0.836855947971344,1.0,1.0,Can Fraxinus and Onoclea both be found in North America?,1
9, Liberace,Władziu Valentino Liberace,0.051271915435791,7.097001552581787,0.5490571856498718,0.4,0.4,What is the name of that flamboyant American pianist that Scotty Plummer headlined for in the mid-1970's?,1
10, Smokin' Aces.,Smokin' Aces,0.0471601486206054,7.561020612716675,0.984143853187561,1.0,1.0,"Charles Maury Wallace Sterling, is an American actor, that played Lester Tremor, in which action 2006 American crime film?",1
11, Cliff Young,Cliff Young,0.0529360771179199,7.089250802993774,1.0,1.0,1.0,"After which Australian potato farmer was ""Cliff Young Australian 6-day race"" renamed?",1
12, 24 February 1953,24 February 1953,0.0466909408569335,7.55782675743103,1.0000001192092896,1.0,1.0,When was the Field Marshal in the Wehrmacht of Nazi Germany during World War II died who was first issued Commando Order on 21 July 1942?,1
13, Karachi.,Karachi,0.0482237339019775,7.089735507965088,0.9695783853530884,1.0,1.0,The largest bank by assets in Pakistan formed a Pakistani football club based in which city ?,1
14, 14th.,fourteenth,0.0468502044677734,7.330595970153809,0.7048042416572571,0.0,0.0,"""Tales from the Public Domain"" is which number episode of ""The Simpsons"" thirteenth season, The first segment puts Homer Simpson in the role of Odysseus in the ancient Greek epic poem the ""Odyssey"", Homer Jay Simpson is a fictional character and the main protagonist of the American animated television series ""The Simpsons"" as the patriarch of the eponymous family?",1
15, Alone in Berlin.,Frantz,0.0461511611938476,7.315996885299683,0.2036520391702652,0.0,0.0,"In addition to Cloud Atlas and the 2016 war drama directed by Vincent Perez, what other film did Stefan Arndt produce?",0
