idx,generated_response,ground_truth,ir_time,generate_time,bert_score
0,"No, they are not both public institutions. The National Autonomous University of Mexico is a public research university, while the University of Lahore is a private university.",no,0.4230659008026123,5.209874868392944,0.10714095830917358
1,Pegnitz,Pegnitz,0.36693596839904785,2.260448694229126,1.0
2,Riot Act.,Riot Act,0.2512063980102539,2.3110191822052,0.9723351001739502
3,La Comédie Humaine,"""La Comédie Humaine""",0.28882670402526855,2.7912814617156982,0.9585732817649841
4,Deep-dish pizza.,pizza,0.26951169967651367,2.3294315338134766,0.7321621775627136
5,"Approximately 4,200.","4,200",0.44190311431884766,2.5188326835632324,0.664790153503418
6,"Ptarmigan and Tom Mine was in production longer, from 1941-1942 and then reopened in 1985-1997.",Ptarmigan and Tom Mine,0.2412242889404297,4.014889478683472,0.5789628028869629
7,Celtic music.,Celtic music,0.26415538787841797,2.253206253051758,0.9667502641677856
8,The Castle Hill convict rebellion.,Castle Hill convict rebellion,0.2464745044708252,2.7143282890319824,0.9633693695068359
9,Mary Ingalls,Mary Ingalls,0.36719465255737305,2.4299237728118896,1.0
10,Jainism,Jain Dharma,0.301715612411499,2.524561882019043,0.8242220878601074
11,"St. Elizabeths Hospital was designated a National Historic Landmark in 1990, while Sibley Memorial Hospital became part of Johns Hopkins Medicine in 2010.",St. Elizabeths Hospital,0.3331468105316162,3.967062473297119,0.729339599609375
12,China,People's Republic of China,0.2655491828918457,2.1841464042663574,0.5955054759979248
13,Lutheran,Lutheranism,0.2725865840911865,1.885589599609375,0.8804177045822144
14,Glen Cove.,Glen Cove,0.39121246337890625,2.1031863689422607,0.9786744117736816
15,"November 16, 2011.","November 16, 2011",0.29462385177612305,2.411224365234375,0.9823095202445984
16,"The subsidiaries of the National Dairy Development Board in India, such as Mother Dairy, sell a variety of frozen food products, including frozen vegetables, fruits, and processed foods like fruit juices and jams.",frozen vegetables,0.3680152893066406,4.877459764480591,0.5601704120635986
17,The Mexico–United States border.,The Mexico–United States border,0.2844817638397217,2.4773409366607666,0.9753820896148682
18,1964,1964,0.28421807289123535,2.1418282985687256,1.0000001192092896
19,22 July 1984,22 July 1984,0.2757892608642578,2.342379570007324,0.9999999403953552
20,Black Enterprise,Black Enterprise,0.23546075820922852,2.4351916313171387,1.0
21,Wigandia contains more species.,Wigandia,0.494232177734375,2.528524160385132,0.6703555583953857
22,The Basilica of Guadalupe.,Templo de San Diego,0.37072038650512695,2.6177573204040527,0.2938941717147827
23,Kal Ho Naa Ho.,Kal Ho Naa Ho,0.4477651119232178,2.3323185443878174,0.9868341684341431
24,Andi Mack.,Andi Mack,0.4828362464904785,2.291140079498291,0.980951726436615
25,Bands.,band,0.34879040718078613,2.210325241088867,0.8567293882369995
26,June Foray.,June Foray,0.3390319347381592,2.5931546688079834,0.9810346364974976
27,1847,1891,0.7377767562866211,2.0525381565093994,0.565207839012146
28,Chris Columbus.,Chris Columbus,0.32297539710998535,2.1398587226867676,0.9799719452857971
29,Laccadive Sea.,Laccadive Sea,0.430222749710083,2.4060637950897217,0.9842575788497925
30,1996,1996,0.4843595027923584,1.969912052154541,1.0
31,England.,England,0.237900972366333,2.5206170082092285,0.9507434368133545
