idx,generated_response,ground_truth,ir_time,generate_time,bert_score,rouge1_score,rougeL_score,question,gptscore
0,Northeastern State University.,Northeastern State University,0.0010404586791992,1.8898563385009768,0.9759487509727478,1.0,1.0,What university has the largest Native American enrollment in the US?,1
1,Four times.,four times,0.0009210109710693,0.4500095844268799,0.9555034041404724,1.0,1.0,How much more efficient as standard incandescents was the white LED commercially available in 2003?,1
2,400.,around 400,0.0007877349853515,0.4490389823913574,0.7934405207633972,0.6666666666666666,0.6666666666666666,How many were killed in the bombing of the Thames Estuary?,1
3,Incendiary Fields.,Brandbombenfelder (Incendiary Fields),0.0008487701416015,0.5427932739257812,0.6490362882614136,0.8,0.8,The Feuerleitung (Blaze Control) tactic led to what creation for marking targets?,1
4,"September 7, 1940.",7 September 1940,0.0008292198181152,0.6591470241546631,0.9640204906463624,1.0,0.6666666666666666,What was the beginning date of the aerial raids on Great Britain?,1
5,168 people died in the Oklahoma City Bombing.,168,0.0007746219635009,0.7723910808563232,0.2120770514011383,0.2222222222222222,0.2222222222222222,How many people died in the Oklahoma City Bombing?,1
6,"Tension, noise, cold, and vibration of bombers.","Bombers were noisy, cold, and vibrated badly",0.0006988048553466,0.7890839576721191,0.8083888292312622,0.5714285714285714,0.4285714285714285,What contributed to the exhaustion of crews flying extra sorties?,1
7,Walter Bradford Cannon.,Walter Bradford Cannon,0.0008456707000732,0.4840764999389648,0.9863770008087158,1.0,1.0,Who argued that physiological responses were insufficient to explain emotional experiences?,1
8,"The ""Bible Belt"".","the ""Bible Belt""",0.0007979869842529,0.5588891506195068,0.9758330583572388,1.0,1.0,What is the conservative Evangelical Christian region called?,1
9,"The lowest recorded temperature of −31 °F (−35 °C) was recorded at Nowata on February 10, 2011.","Herbert Morrison's famous ""Britain shall not burn"" appeal for more fireguards in December 1940.",0.0007691383361816,1.4297912120819092,0.0097234565764665,0.0,0.0,What is a second recording that is of note?,0
10,Scherer's components processing model of emotion.,components processing model,0.0007741451263427,0.6760122776031494,0.4189494550228119,0.6,0.6,What model of emotion was developed by Scherer?,1
11,The University of Oklahoma campus.,the south oval of the University of Oklahoma campus,0.0007600784301757,0.5601634979248047,0.8458245992660522,0.7142857142857143,0.7142857142857143,Where was the Medieval Fair of Norman held for its first 2 years?,0
12,Anthropology.,anthropology,0.0006999969482421,0.4458248615264892,0.9676189422607422,1.0,1.0,"In addition to linguistics and genetics, what field of study researches Samoan origins?",1
13,AD 850-1450.,between AD 850 and 1450,0.0006825923919677,0.592078447341919,0.8826918601989746,0.7499999999999999,0.7499999999999999,When did Spiro Mounds flourish?,1
14,"177,000 people used the Tube as a shelter on September 27, 1940.",4%,0.0008380413055419,1.0812427997589111,0.0589316226541996,0.0,0.0,In 1940 what percentage used the Tube for a sleeping shelter?,0
15,Energy.,energy,0.0008816719055175,0.4046597480773926,0.8861300349235535,1.0,1.0,The first law of thermodynamics asserts that what is always conserved and that heat flow is a form of energy transfer?,1
16,Dr. R. V. Jones.,Dr. R. V. Jones,0.0008039474487304,0.6340460777282715,0.9858399629592896,1.0,1.0,Which RAF technical advisor was the conversation passed onto?,1
17,The Pioneer Corps.,Pioneer Corps,0.000802993774414,0.4814271926879883,0.966135025024414,0.8,0.8,The Royal Army Pay Corps and what other group were in charge of salvage and clean-up?,1
18,Airborne radar.,airborne radar,0.0007693767547607,0.4792027473449707,0.9006347060203552,1.0,1.0,What concept eventually became successful?,1
19,"December, 1969.","December, 1969",0.0007083415985107,0.5578832626342773,0.9825912714004515,1.0,1.0,When was the Endangered Species Conservation Act passed?,1
20,The Tulsa Port of Catoosa in Oklahoma is the furthest-inland oceangoing port in the US.,Tulsa,0.0006885528564453,1.2610130310058594,0.4178298413753509,0.1176470588235294,0.1176470588235294,Where is the furthest-inland oceangoing port in the US?,1
21,17 September.,17 September,0.0007684230804443,0.4849231243133545,0.969551682472229,1.0,1.0,What day did Hitler postponed Operation Sea Lion?,1
22,Sand Springs.,Sand Springs,0.0007989406585693,0.4476521015167236,0.9742531180381776,1.0,1.0,Where is 'Discoveryland!'?,1
23,The Tulsa Shock.,Tulsa Shock,0.0008871555328369,0.4865314960479736,0.9471717476844788,0.8,0.8,What had Oklahoma's WNBA team been?,1
24,A landowner increased harvesting and shortened the age of harvested trees to prevent them from becoming suitable habitat for the red-cockaded woodpecker.,increased harvesting and shortened the age at which he harvests his trees to ensure that they do not become old enough to become suitable habitat,0.0008168220520019,1.4301044940948486,0.7045993804931641,0.4999999999999999,0.4999999999999999,How did a land owner impact the protected red-cockaded woodpecker species?,1
25,The Air Ministry planned to use Dowding's failures as a reason to attack his leadership and abilities.,attack him and his abilities,0.0007662773132324,1.0998694896697998,0.2306406795978546,0.3478260869565218,0.2608695652173913,What did the Air Ministry plan to do with his failures?,1
26,"Warehouses, rail lines, and houses were primarily damaged in the attacks.",commercial and domestic areas,0.0008745193481445,0.9015579223632812,0.2027738690376281,0.1333333333333333,0.1333333333333333,What was primarily damaged in the attacks?,1
27,Dutch.,Dutch,0.0008156299591064,0.4049420356750488,0.9625337719917296,1.0,1.0,What nationality was Jan Joosten van Lodensteijn?,1
28,"2,600","more than 2,600",0.0008027553558349,0.4823470115661621,0.8753085136413574,0.6666666666666666,0.6666666666666666,How many performances of Oklahoma! was Ridge Bond in?,1
29,Over one million people.,over one million,0.0008232593536376,0.5202682018280029,0.8005800247192383,0.8571428571428571,0.8571428571428571,How many people attend the Tulsa State Fair each year?,1
30,"The Luftwaffe failed to meet preconditions for a 1940 launch of Operation Sea Lion, the provisionally planned German invasion of Britain.",failed in precision attack,0.0008456707000732,1.4496421813964844,0.1470076143741607,0.08,0.08,What did the Luftwaffe fail?,0
31,Cotton-top tamarins.,cotton-top tamarin,0.0008907318115234,0.5801968574523926,0.934345543384552,1.0,1.0,The Center for Public Integrity found that 151 of what primate were moved from the New England Primate Research Center into exotic pet trade?,1
32,"The North, to wait for the German invasion, then redeploy southward again.",the north,0.0008008480072021,0.988243579864502,0.5424853563308716,0.2857142857142857,0.2857142857142857,Where do some archaeologists speculate Sumerians originally moved from?,0
33,The Bristol Blenheim F.1 struggled to reach the speed of the German bombers.,struggled to reach the speed of the German bombers,0.0008084774017333,0.9737772941589355,0.8104957938194275,0.782608695652174,0.782608695652174,How did the Bristol Blenheim F.1 compare to German aircraft speed?,1
34,Dr. Earl Baysinger.,Dr. Earl Baysinger,0.0009267330169677,0.6181769371032715,0.986616849899292,1.0,1.0,Who was the core staffer to the legislation that worked for the EPA and continued to work in the Office of Endangered Species?,1
35,Spitfire Funds were used to build fighters.,to build fighters,0.0008327960968017,0.6976487636566162,0.6384916305541992,0.6,0.6,What were Spitfire Funds used for?,1
36,The Royal Navy.,Royal,0.0008573532104492,0.5057871341705322,0.5828114748001099,0.5,0.5,Which Navy was assumed not to be able to operate under German air superiority?,1
37,The heavy fighting in the Battle of Britain.,the Battle of Britain,0.0008940696716308,0.6788499355316162,0.8887152671813965,0.6666666666666666,0.6666666666666666,What used most of Fighter Command's resources?,1
38,Interstate 44 in Oklahoma City.,Interstate 44,0.0007936954498291,0.595703125,0.8033188581466675,0.5714285714285715,0.5714285714285715,What is the busiest highway in Oklahoma?,1
39,Jonathan Turner.,Jonathan Turner,0.0007879734039306,0.4441299438476562,0.9782313108444214,1.0,1.0,Who developed a comprehensive theory related to human emotional arousal?,1
40,Six species were delisted due to discoveries of new populations.,six,0.0007534027099609,0.7858591079711914,0.2478369027376175,0.1818181818181818,0.1818181818181818,How many periods of geology are within the Paleozoic era?,0
41,"The Forest Service, and either the FWS or the NMFS review exemption considerations before the Endangered Species Committee.","the Forest Service, and either the FWS or the NMFS",0.0007815361022949,1.1920640468597412,0.6559396386146545,0.7142857142857143,0.7142857142857143,Who reviews exemption considerations before the Endangered Species committee?,1
42,London.,London,0.0008089542388916,0.4216578006744385,0.9624133110046388,1.0,1.0,In what city did the US and Russia conduct nuclear talks in 1955?,1
43,"Land purchases, grant making, restoration, and establishment of reserves.","land purchases, grant making, restoration, and establishment of reserves",0.0008094310760498,0.8278822898864746,0.9814618229866028,1.0,1.0,What are some non-regulation actions that critical habitats encourage?,1
44,Vietnamese.,Vietnamese,0.0008518695831298,0.4087889194488525,0.9601115584373474,1.0,1.0,What is Oklahoma's fifth most popular language?,1
45,"Spiro, Oklahoma was named for the Spiro Mounds, a Mississippian culture archaeological site.",Spiro Mounds,0.0008270740509033,1.1552436351776123,0.7107153534889221,0.2666666666666667,0.2666666666666667,"What was Spiro, Oklahoma named for?",1
46,Night missions and their disadvantages.,night missions and their disadvantages,0.0009291172027587,0.5728561878204346,0.9747285842895508,1.0,1.0,What did the Air Force believe they could avoid if they carried out effective day missions?,1
47,"18,291 short tons.","18,291 short tons",0.000786542892456,0.5943193435668945,0.9825223088264464,1.0,1.0,The Luftwaffe dropped how many short tons of bombs?,1
48,He woke up to find his entire crew asleep.,woke up to discover the entire crew asleep.,0.0008456707000732,0.7084975242614746,0.8643158674240112,0.7058823529411765,0.7058823529411765,What happened to Peter Stahl when he fell asleep flying?,1
49,Bombing land-based aircraft industries.,bombing land-based aircraft industries,0.0009169578552246,0.595012903213501,0.9878687262535096,1.0,1.0,What was considered more important than the interdiction of sea communications?,1
50,The listed butterflies.,butterflies,0.0008234977722167,0.5050468444824219,0.8601890206336975,0.5,0.5,What type of animal was being protected in the area that received the first HCP?,1
51,1900.,1900,0.0008187294006347,0.4844188690185547,0.9619110226631165,1.0,1.0,When did the Boxers begin to kill missionaries and Chinese Christians?,1
52,"Pinyon pines, red cedar (junipers), and ponderosa pines.","pinyon pines, red cedar (junipers), and ponderosa pines",0.000852346420288,1.004455804824829,0.9903354644775392,1.0,1.0,What types of trees grow near rivers in western Oklahoma?,1
53,Göring falsified or misinterpreted information to present an overly optimistic view of the Luftwaffe's air strength.,misrepresent what information,0.0008096694946289,1.1938152313232422,0.4761247932910919,0.0952380952380952,0.0952380952380952,What did Goring do because of his fear of Hitler?,0
54,Oklahoma ranks 5th in production of wheat.,5th,0.0008540153503417,0.7078771591186523,0.3206982314586639,0.25,0.25,In what arrondissement is the Sorbonne library in Paris located?,0
55,They were poorly equipped and lacking in numbers.,poorly equipped and lacking in numbers,0.0008304119110107,0.6775586605072021,0.800829291343689,0.8571428571428571,0.8571428571428571,What was wrong with the anti aircraft units?,1
56,Oklahoma ranks 27th-most agriculturally productive state in the nation.,27th,0.0008456707000732,0.8546261787414551,0.143200933933258,0.1818181818181818,0.1818181818181818,How does Oklahoma rank among US states for agriculture?,1
57,The diencephalon.,the diencephalon,0.0008318424224853,0.5511651039123535,0.9846814870834352,1.0,1.0,What is the thalamus a part of?,1
58,"57 ships were destroyed, sunk or damaged on May 8, 1941.",57 ships,0.0008273124694824,1.0104749202728271,0.5194736123085022,0.3076923076923077,0.3076923076923077,"How many ships were destroyed on May 8, 1941?",1
