idx,generated_response,ground_truth,ir_time,generate_time,bert_score,rouge1_score,rougeL_score,question,gptscore
0,Robin van Persie.,Robin van Persie,0.2931728363037109,2.2829177379608154,0.9897507429122924,1.0,1.0,"Famous football players watched Soufiane Touzani's videos, including Cristiano Ronaldo, Thierry Henry and who else?",1
1,"Jennifer Beals starred in the cancelled series ""Proof"" and David Harbour starred in the Netflix series ""Stranger Things"".",Matthew Modine,0.4072730541229248,1.5652883052825928,0.2117885053157806,0.0,0.0,"Who starred in the Netflix series ""Stranger Things"" and the cancelled series ""Proof""?",0
2,None.,Walt Disney Productions,0.2500336170196533,0.615764856338501,0.1535827666521072,0.0,0.0,Claude Bertrand played a part in the 1970 animated romantic musical comedy produced by what company?,0
3,Jonathan Rea.,Jonathan Rea,0.3428089618682861,0.6875407695770264,0.9833773970603944,1.0,1.0,Who was the winner of the 2016 Superbike World Championship?,1
4,Marvel Comics.,Marvel Comics,0.3195490837097168,0.6601467132568359,0.9408357739448548,1.0,1.0," The Walt Disney Company acquired what comic company that has fictional supervillain, that is a foe of the Avengers and the X-Men?",1
5,Adele.,Adele,0.3551774024963379,0.71201491355896,0.971667468547821,1.0,1.0,Which graduate of BRIT School for Performing Arts and Technology had music videos directed and produced by Rogue Films?,1
6,Owen Jones.,Owen Jones,0.2563409805297851,0.7942593097686768,0.9752286076545716,1.0,1.0,WHich One Rogue Reporter star was born on August 8th 1984?,1
7,2009.,2009,0.2439169883728027,0.5659778118133545,0.9539592266082764,1.0,1.0,"Blackjack Switch is a casino gambling game invented by Geoff Hall, and patented in what year, natural blackjacks are paid 1:1 instead of the standard 3:2, and a dealer hard 22 pushes all player hands except a natural, a croupier or dealer is someone appointed at a gambling table to assist in the conduct of the game, especially in the distribution of bets and payouts?",1
8,Shinya Aoki.,Kazushi Sakuraba,0.3094329833984375,0.7465949058532715,0.3155048191547394,0.0,0.0,What Japanese mixed martial artist worked for the Dream organization in many of their promoted MMA shows?,0
9,Sylvester Stallone.,Sylvester Stallone,0.635545015335083,0.8341875076293945,0.9812987446784972,1.0,1.0,"Who starred in John G. Avildsen's sports drama that came six years after ""Cry Uncle!""? ",1
10,1962.,1962,0.3024070262908935,0.8110575675964355,0.9593217968940736,1.0,1.0,The founder of the techno record label Metroplex was born in what year?,1
11,New York.,New York,0.2567052841186523,0.7038877010345459,0.964856505393982,1.0,1.0,"101 Park Avenue and 55 Water Street, are located in which state?",1
12,Boardwalk Empire.,Terence Winter,0.445230484008789,0.7589168548583984,0.2389135509729385,0.0,0.0,Kenneth Choi plays Chester Ming in a 2003 film written by who?,0
13,"Ares was a science fiction wargame magazine, while Right On! was an American teen magazine.",magazine,0.4707601070404053,1.5390393733978271,0.4481543004512787,0.125,0.125,"Moves and Heavy Metal, are which type of publication?",0
14,Yes.,yes,0.5050535202026367,0.3817946910858154,0.836855947971344,1.0,1.0,Can Fraxinus and Onoclea both be found in North America?,1
