idx,generated_response,ground_truth,load_knowledge_time,generate_time,bert_score,rouge1_score,rougeL_score,question,gptscore
0, Contessina de' Bardi,Contessina de' Bardi,89.00413227081299,95.59026455879211,1.0000001192092896,1.0,1.0,"What is the name of the Italian noblewoman from the House of Bardi, who was played by the English actress Annabel Scholey in an 8 part television series with Dustin Hoffman and Richard Madden?",1
1, James Gunn.,James Gunn,88.77454113960266,93.60002160072328,0.970685601234436,1.0,1.0,"Tania Saulnier is a Canadian actress, perhaps best known for her role in a 2006 American science fiction-comedy horror film that was the directoral debut of who?",1
2," Wichita, Kansas","Overland Park, Kansas",89.26480674743652,94.11209797859192,0.7601763010025024,0.4,0.4,In what city is the school where the Kansas City Spartans play their home games located?,0
3, The answer is not specified in the provided text.,Carlos Antonio Pini OBE,89.17557144165039,96.79022645950316,0.0201114043593406,0.0,0.0,Who was a teacher at an independent music and dramatic arts school founded in 1880 in London?,0
4, 1941-1956,Prime Minister of the United Kingdom from 1955 to 1957,88.50600814819336,94.63051438331604,0.3595710098743438,0.0,0.0,What years did ponsonby baronet serve a conservative politician before they became a prime minister,0
5, The Plains Indians.,Plains Indians,88.90061473846436,94.15300965309144,0.9468576908111572,0.8,0.8,"This group of natives in North America were indigenous to the Interior Plains, historically nomadic, and relied on bison hunting.",1
6, P.O.D.,P.O.D.,88.85796308517456,94.17493891716003,1.0000001192092896,1.0,1.0,"Which band would be classified as Christian nu metal, P.O.D. or Swervedriver?",1
7, Central Africa.,Africa,89.19320034980774,94.02391242980956,0.8440004587173462,0.6666666666666666,0.6666666666666666,Which Country are both Carthamus and Artabotrys found in?,1
8," 1,200 sites","1,200",88.50704598426819,94.1888144016266,0.5340840816497803,0.8,0.8, West Edmonton Mall is  the tenth largest in the world along with a mall that includes how many shops?,1
9, Jack Moran,Roger Ebert,88.78902792930603,93.17736792564392,0.3849081397056579,0.0,0.0,A character named Lance Rocke appeared in a 1970 film co-written by Russ Meyer and what other person?,0
10, Wichita State University,Wichita State University,89.12677502632141,93.96090245246889,1.0000001192092896,1.0,1.0,"Which university is located in Kansas, the Holy Cross of Davao College or Wichita State University?",1
11, No.,no,89.38277173042297,93.79477763175964,0.8128341436386108,1.0,1.0,Are Chris Marker and Yvonne Rainer American?,1
12, Han Hee-won,Michelle Sung Wie,88.50496315956116,94.22358059883118,0.3308419585227966,0.0,0.0,Mike Cowan was the caddie for which LPGA player in 2003?,0
