idx,generated_response,ground_truth,ir_time,generate_time,bert_score,rouge1_score,rougeL_score,question,gptscore
0,Nada Surf is an American band.,Nada Surf,0.0011794567108154,2.1782495975494385,0.7908766269683838,0.5,0.5,"Which band is still touring, My Chemical Romance or Nada Surf?",0
1,Naval Submarine Base New London.,Home of the Submarine Force,0.0010566711425781,0.5759587287902832,0.6767405867576599,0.2,0.2,"The USS ""Illinois"" was commissioned at the United States Navy's primary East Coast submarine base, also known as what?",1
2,Susan Luciani.,Susan Luciani,0.0009357929229736,0.5353868007659912,0.9864898324012756,1.0,1.0,"Who was the director of the British short film starring the actress who played Patsy Stone in the BBC sitcom ""Absolutely Fabulous""?",1
3,Borussia Dortmund.,Borussia Dortmund,0.0008730888366699,0.4522061347961426,0.9725689888000488,1.0,1.0,What club does the player who is on the Japanese version of Pro Evolution Soccer 2012 play for? ,1
4,The Austrian Hockey League (EBEL).,Austrian Hockey League,0.0008823871612548,0.6383023262023926,0.8774799704551697,0.7499999999999999,0.7499999999999999,What is the highest ice hockey league in Austria in which Orli Znojmo participate in?,1
5,The Factory.,The Factory,0.0009102821350097,0.4605426788330078,0.9660917520523072,1.0,1.0,What was the name of the punk house which served as the home base for Lou Reed's band?,0
6,Opera.,opera,0.0008876323699951,0.4029650688171386,0.96591717004776,1.0,1.0,What type of dramatic work does From the House of the Dead and Il re pastore have in common?,1
7,Albus Dumbledore and the Order of the Phoenix.,Death Eaters,0.0008654594421386,0.7217514514923096,0.4105793833732605,0.0,0.0,"The fictional character in J. K. Rowling's ""Harry Potter"" series Severus Snape becomes a double-agent on behalf of this secret organisation to fight Voldemort and his followers known as what?",0
8,Please Take Care of My Refrigerator and Real Men.,Please Take Care of My Refrigerator,0.0009427070617675,0.7440261840820312,0.7966762185096741,0.8,0.8,Mihal Ashminov is currently in the cast of which South Korean cooking program?,0
9,Howard University Hospital.,Howard University Hospital,0.0009567737579345,0.4875354766845703,0.9850272536277772,1.0,1.0,"Which hospital was established to cater to African Americans, Howard University Hospital or George Washington University Hospital?",1
10,Rick Perry.,Rick Perry,0.0008685588836669,0.4359860420227051,0.962068736553192,1.0,1.0,"""Strong"" was a political advertisement issued by which Texas Governor's presidential campaign in December 2011 for the 2012 Republican Party presidential primaries, which American author and politician who is the 14th and current United States Secretary of Energy, serving in the Cabinet of Donald Trump?",1
11,1905.,1905,0.0009679794311523,0.4987285137176513,0.9726191759109496,1.0,1.0,What year was person born who Tyler Dennett wrote about and won the 1934 Pulitzer Prize for?,1
12,"John Wesley was a fellow of Lincoln College, Oxford.",Oxford,0.0008890628814697,0.7452986240386963,0.4477594494819641,0.1999999999999999,0.1999999999999999,"From 1983 to 1993, Billy Brewer was the head football coach at a univeristy located in what city?",0
13,Bobby Jones and Clifford Roberts.,Bobby Jones and Clifford Roberts,0.0009617805480957,0.5306048393249512,0.9858779311180116,1.0,1.0, The 1983 Masters Tournament was held at a golf club founded by what two men?,1
14,Four.,four-engine,0.0009260177612304,0.407987117767334,0.5175113677978516,0.6666666666666666,0.6666666666666666,How many engines does the aircraft operated by the 30th Airlift Squadron have?,1
15,"Richard Armitage, a former US Deputy Secretary of State, was involved in the Plame affair as the primary source of the leak to Robert Novak.",members of the George W. Bush administration,0.0009453296661376,1.5448551177978516,0.2810954749584198,0.125,0.125,Who besides Robert Novak was involved in the Plame affair?,0
16,Paris-Sorbonne University.,"Université Paris-Sorbonne, Paris IV",0.0009253025054931,0.5248208045959473,0.897948682308197,0.5,0.5,What is the french name of the university that Diana Starkova attended?,1
17,Film directors.,film director,0.0009407997131347,0.40960693359375,0.8726288080215454,1.0,1.0,What is the occupation of Wang Quan'an and Donald Sawyer?,1
18,1985,1985,0.000903844833374,0.4470160007476806,1.0,1.0,1.0,"The Afghan Cheetahs were captained by a right-handed batsman and off break bowler, who was born in what year?",1
19,Volkswagen Group.,Volkswagen,0.0008678436279296,0.3723132610321045,0.7632509469985962,0.6666666666666666,0.6666666666666666,What automotive manufacturer owns Audi and the Ducati that won the 2001 British Superbike Championship?,1
20,2005-2012.,2005 to 2010,0.0008754730224609,0.6000721454620361,0.8101828694343567,0.4,0.4,How long was the production run of the car that the Volkswagen Passat NMS replaced?,0
21,"No, Marijne van der Vlugt is a musician and former model, but Leigh Nash is a singer and songwriter.",yes,0.0009031295776367,1.2902169227600098,0.1833349615335464,0.0,0.0,Can Fraxinus and Onoclea both be found in North America?,0
22,Doncaster North.,Doncaster North,0.0009231567382812,0.5085556507110596,0.9760490655899048,1.0,1.0,"Which region did this son of Marion Kozak and British politician who was Leader of the Labour Party and Leader of the Opposition in the 2010s, represent as Member of Parliament in 2005?",1
23,Patti Russo.,"Patricia ""Patti"" Russo",0.0008735656738281,0.50677490234375,0.9003986120223999,0.8,0.8,What is the name of Michael Lee Aday's former female lead vocalist?,1
24,Pixar Animation Studios.,Walt Disney Pictures,0.0008740425109863,0.4910011291503906,0.391979843378067,0.0,0.0,Who released the 2015 animated short film which is a inspiration Frozen Ever After in Epcot at the Walt Disney World Resort?,0
25,Fred C. Koch.,Fred Chase Koch,0.0009713172912597,0.5206708908081055,0.8755676746368408,0.6666666666666666,0.6666666666666666,"Frederick Robinson Koch ( born August 26, 1933) is an American collector and philanthropist, the eldest of the four sons born to which American industrialist chemical engineer and entrepreneur who founded the oil refinery firm that later became Koch Industries?",1
26,"Up is a 2009 American animated film, while Munto is a 2003 Japanese original video animation (OVA) series.",co-directed by Bob Peterson,0.0008611679077148,1.4032161235809326,0.2076435387134552,0.0,0.0,What is the difference beween Up and Munto?,0
27,1961.,1961,0.0009100437164306,0.5008363723754883,0.9716432094573976,1.0,1.0,Racing with the Moon starred an American actress born in what year?,1
28,Quantrill's Raiders.,Quantrill's Raiders,0.0009818077087402,0.6150758266448975,0.9840648174285888,1.0,1.0,"Who defeated James G. Blunt at the civil bar battle that was fought near the present-day town of Baxter Springs, Kansas?",1
29,"60,000.","over 60,000",0.0009498596191406,0.5156924724578857,0.892284631729126,0.8,0.8,"What is the seating capacity of the football station that is third in size after Wembley and the stadium in Greater Manchester, England?",1
30,Austrian Hockey League.,Austrian Hockey League,0.0009348392486572,0.5008306503295898,0.965906262397766,1.0,1.0,What is the highest ice hockey league in Austria in which Orli Znojmo participate in?,1
31,1821,1821,0.0008740425109863,0.4175803661346435,1.0,1.0,1.0,Cliff Hague is Emeritus Professor of Planning and Spatial Development at a university established in what year?,1
