idx,generated_response,ground_truth,reset_cache_time,generate_time,bert_score,rouge1_score,rougeL_score,question,gptscore
0, The U2 360° Tour,"""No Line on the Horizon""",0.0004947185516357,1.8332338333129885,0.2141930758953094,0.2222222222222222,0.2222222222222222,"What album launched the tour in which U2 first played ""Electrical Storm"" live?",0
1," ""Debut""",One Little Indian and Elektra Records,0.0005245208740234,1.1096513271331787,0.2005130648612976,0.0,0.0,"What records released the album that has ""Big Time Sensuality"" as fourth single?",0
2, Feng Shaofeng,Huayi Brothers,0.0005035400390625,1.1233487129211426,0.3594794273376465,0.0,0.0,Who are the managers for the Chinese actor who appears in The Three-Body Problem alongside Zhang Jingchu?,0
3, United States Army War College,Parameters,0.0004966259002685,1.3505170345306396,0.0346271879971027,0.0,0.0,What academic journal is published by U.S. Army educational institution which grants its graduates a master's degree in Strategic Studies?,0
4, Samuel Gbaydee Doe,Samuel Gbaydee Doe,0.0004839897155761,1.343736171722412,1.0000001192092896,1.0,1.0,"which conflict, peace, and development professional from Liberia found West Africa Network for Peacebuilding ",1
5, Eddie Vedder,Eddie Vedder,0.0004951953887939,0.9061758518218994,1.0,1.0,1.0,"Between David Vincent and Eddie Vedder, who had a more diverse musical career?",1
6, Texas Education Agency,Texas Education Agency,0.0004858970642089,0.9072353839874268,1.0,1.0,1.0,Lizzette Reynolds came to attention over the firing of the director of science of what agency?,1
7, Penn State Nittany Lions football team competes in the Big Ten Conference.,Big Ten,0.0004892349243164,3.743479251861572,0.5178815126419067,0.2857142857142857,0.2857142857142857,Angela Tincher pitched a no-hitter against the team that is now a member of what athletic conference?,1
8, Carrie Underwood,Carrie Underwood,0.00048828125,0.9055583477020264,1.0000001192092896,1.0,1.0,"What ""Some Hearts"" singer collaborated with Keith Urban on Ripcord?",1
9," Frantz Yvelin is a French businessman and pilot, and Aigle Azur is a French airline founded by his father.",airline,0.0004880428314208,6.147962331771851,0.3903899192810058,0.1,0.1,who were Frantz Yvelin and Aigle Azur,1
10, The Winklevoss twins,The Winklevoss twins,0.0004851818084716,1.5595407485961914,1.000000238418579,1.0,1.0,"After suing Mark Zuckerberg, who started a digital currency exchange?",1
11," ""You Are Old, Father William""",The Mock Turtle,0.0004849433898925,2.0002195835113525,0.0806434750556945,0.0,0.0,Which fictional character devised by Lewis Carroll did  Alice recited ,0
12, The King of Fighters,The King of Fighters,0.0004897117614746,1.13545823097229,1.000000238418579,1.0,1.0,"Kyo Kusanagi, whose name and abilities are relatable to the Yamaya no Orochi legend, is a fictional character in what fighting game series?",1
13, Tijuana Cartel,Cartel Tijuana Nueva Generación,0.0004987716674804,1.350619554519653,0.8299962878227234,0.5714285714285715,0.2857142857142857,Benjamín Arellano Félix is a former leader of this Mexican criminal organization that became known as what in 2016?,0
14, The Alsace region of France.,Alsace region,0.0004949569702148,1.783151149749756,0.9275031089782716,0.5714285714285715,0.5714285714285715,In what region was a golden pale lager made by a brewery founded by Geronimus Hatt first brewed?,1
15, Funny Games,Funny Games,0.0004928112030029,0.7330152988433838,1.0,1.0,1.0,The remake in English of which psychological thriller was made by the French Company CelluloidDreams?,1
16, David Gordon Green.,David Gordon Green,0.0004851818084716,1.1257572174072266,0.9873598217964172,1.0,1.0,"Which filmmaker directed both dramas and comedies, David Gordon Green or Raoul Peck?",1
17," June 25, 1961",25 June 1961,0.0004901885986328,1.8262107372283936,0.9815747141838074,1.0,0.6666666666666666,"Extras, is a British sitcom about extras working in television, film, and theatre, the series was co-produced by the BBC and HBO and was created, written, and directed by Ricky Dene Gervais, an English comedian, actor, writer, producer, director, singer, and musician, born on which date?",1
18, Annie Get Your Gun and Our Town.,Our Town,0.0004889965057373,2.0121920108795166,0.5120378732681274,0.4444444444444445,0.4444444444444445,Which Thornton Wilder play did Jerome Alden's wife dance in on the original Broadway production?,1
19, Marc Cherry,Marc Cherry,0.0004971027374267,0.6891889572143555,1.0,1.0,1.0,Who created the series that stars Madison De La Garza as the character Juanita Solis?,1
20, Elizabeth: The Golden Age,Elizabeth: The Golden Age,0.0004787445068359,1.3551976680755615,1.0,1.0,1.0,The Film Captain Corelli's Mandolin was directed by John Madden and featured costumes by Alexandra Byrne who won an Academy Award for her work in which film?,1
21, Louis Armstrong,Tony Martin,0.0004982948303222,0.687535285949707,0.2729212939739227,0.0,0.0,"Who is one actor from Winner Takes Al and was born December 25,1913",0
22, Conservative Party,Conservative Party,0.0004892349243164,0.6963586807250977,1.0,1.0,1.0,Ann Winterton and her husband Sir Nicholas Winterton were both MPs for which British party?,1
23, Sea Cliff School District,North Shore School District,0.000483751296997,1.124237298965454,0.6901476383209229,0.5,0.5,What school district oversees the schools of the village where Stephen Harding House is located?,0
24, Pennsylvania.,Pennsylvania,0.0004827976226806,0.6875126361846924,0.9627590775489808,1.0,1.0,"Main Line Method is a band from Downingtown, Pennsylvania, the name comes from the Philadelphia area ""Main Line"", known simply as the Main Line, is an informally delineated historical and social region of suburban Philadelphia, in which state?",1
