idx,generated_response,ground_truth,ir_time,generate_time,bert_score,rouge1_score,rougeL_score,question
0,Stanislav Petrov.,Stanislav Yevgrafovich Petrov,0.0007808208465576,1.719930648803711,0.847954511642456,0.8,0.8,"Who was revealed as ""the man who single-handedly saved the world from nuclear war"" in memoirs by Yury Votintsev?"
1,The University of Georgia.,Sonny Seiler,0.0008556842803955,0.3351354598999023,0.1805022656917572,0.0,0.0,Who owns the lineage of dogs in which Damn Good Dog is a documentary about?
2,"None, the text does not mention Alex Black appearing in a commercial for a major retail store.",Wal-Mart,0.0007169246673583,0.877112865447998,0.2597608566284179,0.0,0.0,Alex Black has appeared on the 2007 film Ocean's Thirteen as well as a commercial for what major retail store?
3,The World Without US.,The World Without US,0.0007414817810058,0.3335516452789306,0.9791380763053894,1.0,1.0,"Which documentary, The World Without US or Year at Danger, explores what might happen if the United States were to leave the international arena?"
4,"November 24, 1963.","November 24, 1963",0.0008609294891357,0.4539432525634765,0.988202691078186,1.0,1.0,"Ruby is a feature film, released in the United States on March 27, 1992, about Jack Ruby, was a Dallas, Texas nightclub owner who fatally shot Lee Harvey Oswald on which date, while Oswald was in police custody after being charged with assassinating U.S. President John F. Kennedy two days earlier?"
5,Kenya is inhabited primarily by Bantu populations.,Africa,0.0007319450378417,0.488368272781372,0.4761245548725128,0.0,0.0,Which Country are both Carthamus and Artabotrys found in?
6,"""It's My Life"".",It's My Life,0.0008547306060791,0.3422660827636719,0.7177237272262573,1.0,1.0,"""Have a Nice Day"" is a song by American rock band Bon Jovi, it received a positive reception from critics, some of whom praised the song's arrangement and message; both favorable and unfavorable comparisons were made to which band's previous hit, the  first single from the album ""Crush""?"
7,2017,2016,0.0006978511810302,0.2565510272979736,0.7361426949501038,0.0,0.0,In what year was the choreographer with whom Laz Brotherston has collaborated knighted?
8,"The 86th Flying Training Squadron operates the T-1 Jayhawk, which was built by Raytheon.",The 85th Flying Training Squadron,0.0005998611450195,0.993865966796875,0.6163322925567627,0.4,0.4,Which squadron part of the 47th flying training wing operates a single-engine turbopop aircraft built by Raytheon?
9,Glenn Beck.,Rick Santelli,0.000659704208374,0.2415049076080322,0.3149399757385254,0.0,0.0,The 9/12 Tea Party was a political rally sparked after a 2009 call from which reporter?
10,German and Hungarian.,German,0.0006258487701416,0.2927348613739013,0.6864405870437622,0.5,0.5,Der Schwanendreher was a concerto by the composer of what nationality?
11,Rocky.,Rocky,0.000648021697998,0.2168655395507812,0.96224045753479,1.0,1.0,What film starring and written by Sylvester Stallone does Elliott Marks have credits for?
12,1893,1919,0.0006234645843505,0.255197525024414,0.4965429306030273,0.0,0.0,Claude-Auguste Lamy discovered the element thallium independently from this English chemist who died in what year?
13,Grindcore.,Grindcore,0.0005741119384765,0.2940380573272705,0.964868187904358,1.0,1.0,What genre is the band who released the cover album Leaders Not Followers Part 2?
