idx,generated_response,ground_truth,ir_time,generate_time,bert_score,rouge1_score,rougeL_score,question,gptscore
0,A company that makes beer is typically known as a brewery or a brewing company.,a brewing company,0.4767301082611084,3.5975916385650635,0.7641788125038147,0.3333333333333333,0.3333333333333333,What is company that makes beer typically known as? ,1
1,"According to Arthurian legend, Glastonbury was associated with Avalon, and monks at Glastonbury Abbey claimed to have discovered the bones of King Arthur and his queen.",Avalon became associated with Glastonbury Tor when monks at Glastonbury Abbey claimed to have discovered the bones of King Arthur and his queen,0.6075060367584229,3.1399474143981934,0.9131358861923218,0.8163265306122449,0.7346938775510203,What does Artharian legend claim about Glastonbury,1
2,Sugars.,sugars,0.505563497543335,1.3330087661743164,0.9714799523353576,1.0,1.0,"In brewing, what do starches become during the mashing process?",1
3,Solsternus from 1207.,Solsternus,0.7108707427978516,1.6434452533721924,0.8248016834259033,0.5,0.5,The Cathedral of Spoleto is signed by who?,1
4,1848.,1848,0.5714733600616455,0.9367351531982422,0.9567419290542604,1.0,1.0,What year were the Cambridge Rules first drawn up?,1
5,0.13 seconds.,0.13 seconds,0.3188331127166748,1.3172056674957275,0.9743090867996216,1.0,1.0,How long does it take a typical 100-watt bulb to achieve 90% of its brightness?,1
6,Tile.,tile,1.3733024597167969,1.2697935104370115,0.933769941329956,1.0,1.0,What would later become the main Islamic form of wall decoration?,1
7,RIBA Enterprises.,RIBA Enterprises,0.2593073844909668,0.9801511764526368,0.9868645071983336,1.0,1.0,What is the name of the Royal Institute's business operation?,1
8,Two ways: Radiant luminous efficacy (LER) and Source luminous efficacy (LES).,two ways,0.266716718673706,1.979506015777588,0.2054003775119781,0.3076923076923077,0.3076923076923077,How many different ways can a species be added to the endangered list?,0
9,Helios.,Helios,0.3881525993347168,1.3057632446289062,0.978829562664032,1.0,1.0,What figure is dominant in the mosaic at Sepphoris?,1
10,Multan.,Multan,0.2826719284057617,1.3136529922485352,0.9794173836708068,1.0,1.0,Where is Zakria's shrine?,1
11,There is no mention of the Chief Secretary in the provided context.,usually a BPS-22 Civil Servant,0.3976407051086426,1.538233995437622,0.2202820181846618,0.0,0.0,What rank is the Chief Secretary?,0
