idx,generated_response,ground_truth,ir_time,generate_time,bert_score
0,William H. Gass.,William Howard Gass,0.0010004043579101562,1.7659428119659424,0.8288415670394897
1,"Yes, both Michael Frayn and Grantland Rice are from the United States.",no,0.0010886192321777344,0.9254896640777588,0.11566558480262756
2,Three Days of the Condor.,Three Days of the Condor,0.0009293556213378906,0.5348899364471436,0.9862450957298279
3,1978,1999,0.0009000301361083984,0.4298679828643799,0.4624025821685791
4,Lootera.,Lootera,0.0009891986846923828,0.4514467716217041,0.9765647649765015
5,Pinellas County.,Pinellas,0.0010008811950683594,0.43927669525146484,0.6558158993721008
6,Frederick Sanger (Chemistry) and John Bardeen (Physics) have won the Nobel Prize in the same category twice.,"who twice won the Nobel Prize in Chemistry, one of only two people to have done so in the same category (the other is John Bardeen in physics)",0.0009064674377441406,1.203944444656372,0.8758081793785095
7,The Mail.,The Sunday Mail,0.0010039806365966797,0.45355677604675293,0.6987792253494263
8,Timon.,Timon,0.0009658336639404297,0.42815375328063965,0.9693350195884705
9,Princess Leia.,Princess Leia,0.0010197162628173828,0.4547879695892334,0.9817354083061218
