idx,generated_response,ground_truth,ir_time,generate_time,bert_score,rouge1_score,rougeL_score,question
0,"Yes, both Anne Sexton and Derek Walcott have received awards for their writing.",yes,0.2769894599914551,4.711095809936523,0.1645203530788421,0.1428571428571428,0.1428571428571428,Can Fraxinus and Onoclea both be found in North America?
1,Cannon Mountain Ski Area.,Cannon Mountain Ski Area,0.3098928928375244,2.438071012496948,0.9788591861724854,1.0,1.0,What state-owned resort used by US Olympic skier Bode Miller is under management of the New Hampshire Division of Parks and Recreation?
2,"No, Rainer Maria Rilke was a poet, and Marguerite Yourcenar was a novelist and essayist.",yes,0.3093745708465576,3.997358798980713,0.1108162105083465,0.0,0.0,Can Fraxinus and Onoclea both be found in North America?
3,A Midsummer Night's Dream.,A Midsummer Night's Dream,0.4505603313446045,2.445026397705078,0.9773761630058287,1.0,1.0,Peter Coleman-Wright played Demetrius in which opera whose music was by Benjamin Britten?  
4,1869,1869,0.3132452964782715,2.104419946670532,1.0,1.0,1.0,The Medgar Evers House is owned by a college founded in what year?
5,Sissy Spacek,Sissy Spacek,0.2827675342559814,2.755169630050659,1.000000238418579,1.0,1.0,Which actress starred in both Blast from the Past and Coal Miner's Daughter?
6,"Geoffrey Rush played the part of the Marquis de Sade in the film ""Quills"".",Geoffrey Rush,0.3253419399261474,3.224082469940185,0.6524418592453003,0.25,0.25,Who played the part of the Marquis de Sade in the film for which Martin Childs was nominated for an award at the 74th Academy Awards?
7,Doyle Wolfgang von Frankenstein,Doyle Wolfgang von Frankenstein,0.2456851005554199,2.6689014434814453,1.0,1.0,1.0,which  American guitaris was Famous Monsters last to feature 
8,The Battle of Leyte Gulf.,World War II,0.2738888263702392,2.5599944591522217,0.3963005542755127,0.0,0.0,"Battle of Tarawa and Operation Overlord, occurred during which event?"
9,1761,1761,0.381882905960083,1.9133176803588867,1.0000001192092896,1.0,1.0,In what year were the parents of Prince Octavius of Great Britain married?  
10,Tamil and Punjabi.,Tamil and Punjabi,0.3327655792236328,2.630063772201538,0.9790561199188232,1.0,1.0,Hate Story 3 is a 2015 Indian erotic thriller film starring an actress and model who has also appeared in what other language films?
11,Thrash metal band and pop group.,band,0.3278286457061767,2.751309871673584,0.6181877851486206,0.2857142857142857,0.2857142857142857,What kind of group does Social Distortion 2001 Tour and Mike Ness have in common?
12,"Viola Grosvenor, Duchess of Westminster.",Viola Grosvenor,0.7344911098480225,2.5001087188720703,0.8146159648895264,0.5714285714285715,0.5714285714285715,Who was the wife of the richest man in Britian in the 1970s?
13,Vedanta Resources PLC.,Anil Agarwal,0.2430894374847412,2.1770095825195312,0.2097069025039672,0.0,0.0,Who principally owns the parent company of Hindustan Zinc Limited  ?
14,Making a Murderer,"""Making a Murderer""",0.6173539161682129,2.645432233810425,0.8990252017974854,1.0,1.0,"The composer of ""A Love That Will Never Grow Old"" most recently composed the theme music for what Netflix series?"
15,Both are board games.,board game,0.4060821533203125,2.5388875007629395,0.7366085052490234,0.6666666666666666,0.6666666666666666,Monopoly Junior and Tâb are both what?
16,"Bunchosia has more species, with approximately 75 species, compared to Pritchardia which has between 24-40 species.",Bunchosia,0.2573318481445312,3.935458660125733,0.5642403960227966,0.1111111111111111,0.1111111111111111,"Which contains more species, Corynocarpus and Bunchosia?"
17,Yes.,yes,0.2681002616882324,2.4336111545562744,0.836855947971344,1.0,1.0,Can Fraxinus and Onoclea both be found in North America?
18,"No, Murderball is an American documentary, while The Saved is a Dutch documentary.",no,0.2659633159637451,3.513480424880981,0.1415692865848541,0.1428571428571428,0.1428571428571428,Are Chris Marker and Yvonne Rainer American?
19,Lamiaceae,Lythraceae,0.2723019123077392,2.3899991512298584,0.4765460789203644,0.0,0.0,Ras Rumman is known for the cultivation of shrubs in what family?
20,Roma,Roma,0.4409945011138916,2.4288148880004883,1.0,1.0,1.0,"What is the middle name of the British actress & comedian who was a cast member of both ""The Comic Strip"" and ""The Vicar of Dibley""?"
21,Marfa lights.,Marfa lights,0.2367255687713623,2.5085599422454834,0.9859126210212708,1.0,1.0,"What is the name of the ghost lights found east of the county seat of Presidio County, Texas?"
