idx,generated_response,ground_truth,reset_cache_time,generate_time,bert_score,rouge1_score,rougeL_score,question,gptscore
0, Raoul Walsh and John Lasseter are both film directors.,film director,0.0005383491516113,6.042115449905396,0.5667428970336914,0.3636363636363636,0.3636363636363636,What is the occupation of Wang Quan'an and Donald Sawyer?,0
1, Katharine Ross,Katharine Ross,0.0005581378936767,1.7486023902893066,1.0,1.0,1.0,What is the name of the actress who was born in both TheGraduate and The Stepford Wives?,1
2, Eatonville,Orange,0.0005066394805908,1.324305534362793,0.1496994644403457,0.0,0.0,The Treaty of Raalte was signed by the sovereign Price of where?,0
3, American,American,0.0005109310150146,0.9030647277832032,1.0,1.0,1.0,Kerry Remsen is the daughter of an actor with what ethnicity?,1
4, Chelsea,Chelsea Football Club,0.0005042552947998,0.9815168380737304,0.8595088720321655,0.5,0.5,"The 1997 FA Cup Final was the 116th final, it was contested by Middlesbrough, and which football club based in Fulham ?",1
5, Totopoly,Totopoly,0.0005114078521728,1.3295974731445312,1.0,1.0,1.0,"Of Totopoly and Inkan aarre, which board game was created earlier?  ",1
6, True Colors Tour,The True Colors Tour,0.0004951953887939,1.762190818786621,0.9831905364990234,0.8571428571428571,0.8571428571428571,"What concert tour visited Asia, Europe, and North America from 6 August 2015 to 11 January 2016 features collaborations with singers Jon Bellion, Troye Sivan, and rapper Logic?",1
7, Jared Hess,Patrick Lussier,0.0005140304565429,1.3230440616607666,0.3092392385005951,0.0,0.0,Who directed the movie where Jensen Ross Ackles plays Jason Todd?,0
8, The Good Wife,The Good Wife,0.0005116462707519,1.755421161651611,1.0000001192092896,1.0,1.0,"What is the name of the American legal and political drama television series, which aired between 2009 and 2016 featuring Steven Boyer the stage and television actor and comedian?",1
9," Daytona Beach, Florida","Daytona Beach, Florida",0.000507116317749,2.165997266769409,1.0000001192092896,1.0,1.0,"What site, popular among spring breakers, were also places were Jeopardy! Collect Championship contestant searches was held?",1
10," The Con Mine started production in 1938, while the Giant Mine started in 1944.",The Con Mine,0.0005090236663818,8.887081146240234,0.4400087296962738,0.3529411764705882,0.3529411764705882,"Which mine started production sooner, the Con Mine, or the Giant Mine?",1
11, 1993,1988,0.0005099773406982,1.751319169998169,0.6606292128562927,0.0,0.0,"Alfrederick ""Al"" Joyner, is an American former athlete and now coach,he was also the husband of Olympic gold medalist, and record holder Florence Griffith Joyner, also known as Flo-Jo, was an American track and field athlete, she's considered the fastest woman of all time, based on the fact that the world records she set, in what year?",0
12, United States,U.S.,0.0005106925964355,1.3227548599243164,0.8774093389511108,0.0,0.0,In which country was the Woman's Club of Evanston founded?,1
13," ""All in the Family""",All in the Family,0.0005202293395996,3.0178301334381104,0.8236916661262512,1.0,1.0," Victory Tischler-Blue was cast in ""This Is Spinal Tap"" by a director who came to national prominence with the role of Michael Stivic on what?",1
14, Thums Up,Thums Up,0.0005056858062744,1.753770112991333,1.0,1.0,1.0,"Which cola drink is the leader in India, Thums Up or Ricqlès?",1
15, Yes,yes,0.0005316734313964,0.914360761642456,1.0000001192092896,1.0,1.0,Can Fraxinus and Onoclea both be found in North America?,1
16, Kanjut Sar,Kanjut Sar,0.0005013942718505,2.17807936668396,1.0,1.0,1.0,"Which mountain is taller, Tongshanjiabu or Kanjut Sar?",1
17, Leeds United,Leeds United Football Club,0.0005104541778564,1.333836793899536,0.8937866687774658,0.6666666666666666,0.6666666666666666,"For what team, formed in 1919, does Tyler Denton play?",1
18, Lance E. Nichols,David Fincher,0.0005316734313964,2.1804869174957275,0.3633456826210022,0.0,0.0,Who directed the 2008 film where Lance E. Nichols played Larry Williams?,0
19, Albert Ray,Melvin Frank,0.0005207061767578,1.3342485427856443,0.4804577231407165,0.0,0.0,"Who made more movies after 1939, Albert Ray or Melvin Frank?",0
20, The Archers,The Archers,0.0004982948303222,1.7585971355438232,0.9999998807907104,1.0,1.0,On which British BBC Radio 4 soap opera do Felicity Finch and the 12th Earl of Portland star?,1
21, 3,twice,0.0005297660827636,1.3354406356811523,0.4543114304542541,0.0,0.0,"How many times has the star of the BBC play ""Secrets"" won the Laurence Olivier award?",0
22, Illinois.,Illinois,0.0005037784576416,1.4237582683563232,0.9449329376220704,1.0,1.0," Karen S. Evans served as the ""de facto"" chief information officer for the United States until the office was created by an American politician who served in the U.S. Senate representing what state?",1
23, The Grand Ole Opry,The Grand Ole Opry,0.0005061626434326,2.598581552505493,1.0,1.0,1.0,Jimmy C. Newman was a long time star of?,1
24, Chennai,Hyderabad,0.0005257129669189,0.911937952041626,0.6103842854499817,0.0,0.0,Where is the carrier who inaugurated flights from Chennai to Mysore based?,0
25, Arizona State University,Arizona State University,0.0005033016204833,1.7613601684570312,0.9999999403953552,1.0,1.0,Where is the author of The Mind of God a professor?,1
26, 1154,1133,0.0005078315734863,1.7564551830291748,0.6522101163864136,0.0,0.0,In what year was the father of Blanche of Castile born?,0
27, Libya,Libya,0.0005087852478027,0.9094462394714355,1.0,1.0,1.0,"What country did the rogue network masterminded by the Pakistani nuclear physicist and a metallurgical engineer, who founded the uranium enrichment program for Pakistan's atomic bomb project, supply with nuclear components?",1
28, China,China,0.0004999637603759,0.9098496437072754,1.0000001192092896,1.0,1.0,"What country does Yushu City, Qinghai and Zunhua have in common?",1
29," Merck & Co., Inc.",pharmaceutical companies,0.0005052089691162,3.4548416137695312,0.472593754529953,0.0,0.0,"Lewis Hastings Sarett was a research scientist at one of the largest what, in the world?",1
30, 1947,1947,0.0005233287811279,1.7557408809661863,1.0,1.0,1.0,In what year was the Nogometno Društvo Črnuče's manager in 1994 born?,1
31, Rensselaer County,Troy,0.0005214214324951,3.03242826461792,0.1329796314239502,0.0,0.0,"Which of the cities at the two miles radius of Oakland/Troy Airport has the population of 80,980 at the 2010 census? ",0
32, Amanda Bynes,Amanda Laura Bynes,0.0005097389221191,1.7712035179138184,0.9320780038833618,0.8,0.8,"Big Fat Liar is a 2002 American teen comedy film, directed by Shawn Levy, starring which American actress and fashion designer, born on April 3, 1986?",1
33, Abbas Shafiee,Abbas Shafiee,0.0005035400390625,2.6102423667907715,1.0000001192092896,1.0,1.0,"Who was the president of faculty of pharmacy at Tehran University,Abbas Shafiee or Muhammad ibn Zakariya al-Razi?",1
