idx,generated_response,ground_truth,load_knowledge_time,generate_time,bert_score,rouge1_score,rougeL_score,question
0, 1961,1961,0.3273932933807373,28.254158973693848,0.9999998807907104,1.0,1.0,Racing with the Moon starred an American actress born in what year?
1, Taubman Centers,Taubman Centers,0.3749778270721435,28.39675807952881,1.0,1.0,1.0,"What company is the owner of regional malls in the United States, headquartered in Bloomfield Hills, Michigan and developed Westfarms?"
2, The University of Oklahoma.,University of Oklahoma,0.3961460590362549,28.643478393554688,0.9738551378250122,0.8571428571428571,0.8571428571428571,Where was the coach of the 1996 Dallas Cowboys team a college coach?
3, Philippe I. Reines,Philippe Reines,0.4034276008605957,28.598482370376587,0.9796333909034728,0.8,0.8,Which Senior Advisor to Hillary Clinton was a co-founder of Beacon Global Strategies?
4, Tansy,Amorpha,0.4007189273834228,27.99735379219055,0.2223360389471054,0.0,0.0,"What is is a genus of plants in the pea family, Fabaceae, Tansy or Amorpha ?"
5, United States,United States,0.4000437259674072,27.93544912338257,1.0000001192092896,1.0,1.0,Where is the owner of Next big sound provides analytics for online music available?
6, The Cove,The Cove,0.3970613479614258,27.97607374191284,1.0,1.0,1.0,Which of the documentaries The Birth of Saké and The Cove call for political action?
7, Fallen,Fallen,0.3948397636413574,27.493757724761963,1.0,1.0,1.0,"Which album, recorded between August and December 2002 in several locations, including Conway Recording Studios in Hollywood, California, features a track with uncredited guest vocals from Paul McCoy?"
8, 2003,the early 1990s,0.3980004787445068,27.986593008041385,0.5051297545433044,0.0,0.0,When did the highly experimental musical style on the album Quixotic originate?
9, The Robie House.,Frederick C. Robie House,0.394550085067749,28.75612592697144,0.7055401802062988,0.5714285714285715,0.5714285714285715,"The Wright 3 is a 2006 children's mystery novel written by Blue Balliett, it chronicles how Calder, Petra, and Tommy strive to save which U.S. National Historic Landmark on the campus of the University of Chicago in the South Side neighborhood of Hyde Park in Chicago, Illinois, at 5757 S. Woodlawn Avenue?"
10, Composers.,composer,0.3964166641235351,28.27339792251587,0.7743871212005615,1.0,1.0,What were Vincent McEveety and Peer Raben known for?
11, Basketball,basketball,0.4005308151245117,27.682960510253903,1.0,1.0,1.0,"Dime Magazine and Time, are which specific type of periodical?"
12, Anne Sofie von Otter,Anne Sofie von Otter,0.4010071754455566,28.71465277671814,1.0,1.0,1.0,"I Let The Music Speak, is a compilation album by which Swedish mezzo-soprano?"
13, Film.,film,0.4034786224365234,27.97131657600403,0.8702664375305176,1.0,1.0,"Food, Inc. and Triumph of the Will, are which form of entertainment?"
14, Iraq,Iraq,0.4109189510345459,27.6789333820343,0.9999999403953552,1.0,1.0,Aban Elias was kidnapped near his home in the capital of what country?
15, Black Knight Sports & Entertainment,Black Knight Sports & Entertainment,0.385385513305664,28.64488983154297,1.0,1.0,1.0,"What is the name of the consortium that owns the professional ice hockey team, The Vegas Golden Knights, and is led by the lead investor William P. Foley?"
16," Manchester, UK","Balloon Street, Manchester.",0.3792166709899902,28.18519186973572,0.718327522277832,0.4,0.4,Where is the headquarters of the bank which has Liam Coleman as it's CEO ? 
17, A play within a play,“play within a play”,0.4022562503814697,28.58117365837097,0.905705749988556,0.888888888888889,0.888888888888889,"In the screenplay Sweethearts, Victor Herbert's play was was used. What type of performance was this?"
18, Christian Bale,Christian Charles Philip Bale,0.4067320823669433,27.870291709899902,0.839428186416626,0.6666666666666666,0.6666666666666666,What English actor starred in the musical film Newsies but is known for doing blockbusters and lesser known independent projects?
19, The Portland Exposition Building.,The Expo,0.3899848461151123,28.828945875167847,0.5103980302810669,0.3333333333333333,0.3333333333333333,What is the second oldest arena in continuous operation in the US also known as?
20, Universal Genève,Universal Genève,0.3989918231964111,28.221560955047607,1.0000001192092896,1.0,1.0,"What company that was originally founded in 1894 under the name Universal Watch, currently oversees Stelux International, Ltd of Hong Kong?"
21, Akron,Utah State,0.4005031585693359,27.60653781890869,0.4812725186347961,0.0,0.0,Where did the linebacker who upset Terry Beeson's tackle record play college football?
22, 1999,1999,0.3473999500274658,28.228346586227417,1.0,1.0,1.0,"When was the publishing company founded that produces tabletop role-playing game designed by Robin Laws and published by Pelgrane Press , that is co owned by Simon J Rogers and Cathriona Tobin ?"
23, Chiang Kai-shek,Chiang Kai-shek,0.3976795673370361,28.61835289001465,1.0000001192092896,1.0,1.0,The prominent businessman and politician in the early-20th-century Republic of China T. V. Soong had which brother-in-law who was born in 1887 and served as the leader of the Republic of China?
24, 28,28,0.3944549560546875,27.94862389564514,1.0,1.0,1.0,How many stage musicals were written by the songwriting partnership who wrote Dearest Enemy?
25, Mustafa Kemal Atatürk,Mustafa Kemal Atatürk,0.4147670269012451,27.983207941055294,1.0000001192092896,1.0,1.0,"Who was the Turkish army officer born on May 19, 1881 that stayed at the Tokatlıyan Hotels?"
26, Spring Breakers,Spring Breakers,0.4053018093109131,28.18819499015808,1.0000001192092896,1.0,1.0,"Selena Marie Gomez is an American singer and actress, she starred in which 2012, American crime film written and directed by Harmony Korine?"
27, 1986,1986,0.391275405883789,28.043984174728397,1.0000001192092896,1.0,1.0,"Alan Douglas Ruck, is an American actor, he played Cameron Frye, Bueller's hypochondriac best friend in John Hughes' ""Ferris Bueller's Day Off"", released in which year?"
28, Ivory Coast,Yamoussoukro,0.3858847618103027,27.918946504592896,0.13815638422966,0.0,0.0,What is the capital city of the country where Toumoukoro is located ?
29," February 26, 1926","February 26, 1926",0.4381463527679443,28.965252161026,1.0000001192092896,1.0,1.0,What is the birthday of Greg Gagne's father?
30, Hawaii,on the floor,0.398329496383667,27.73865032196045,0.3013679981231689,0.0,0.0, A Hawaiian party named after the taro leaf was tradiotionally eaten where? 
