idx,generated_response,ground_truth,reset_cache_time,generate_time,bert_score,rouge1_score,rougeL_score,question
0, England.,England,0.0005052089691162,0.487027645111084,0.9507434368133544,1.0,1.0,"What country Clock Tower, St Albans and Eleanor cross have in common?"
1, Andrew Hozier-Byrne,Andrew Hozier-Byrne,0.0005195140838623,1.1249475479125977,1.0,1.0,1.0,"Who released his debut EP, featuring the hit single ""Take Me to Church"", A Rocket to the Moon or Andrew Hozier-Byrne?"
2, 1937,1937,0.0005052089691162,0.5790841579437256,1.0,1.0,1.0,Tom Powers appeared as Brutus in an adaptation of a William Shakespeare play that was first produced in what year?
3, Armchair General,Armchair General,0.0004982948303222,0.5691704750061035,1.0,1.0,1.0,"Which magazine, Nintendo Power or Armchair General, was produced by Weider History Group?"
4, Yes.,a five-piece Alt-Country band,0.000497817993164,0.442054271697998,0.0969305485486984,0.0,0.0,Are the Dead Winter Carpenters and Infamous Stringdusters both bands?
5, Jason Robards,Jason Robards,0.0004925727844238,0.5757582187652588,1.0,1.0,1.0,Jocelyn Moorhouse directed the 1997 drama film starring which actor?
6, Mary Todd Lincoln,Abraham Lincoln,0.000500202178955,0.5696170330047607,0.6247784495353699,0.4,0.4,The brother of T.A.D Fessenden was secretary of the treasury under wich president?
7, Honshu,Kyushu,0.0005075931549072,0.5692570209503174,0.3242543339729309,0.0,0.0,Enola Gay was one of the bombers that targeted the largest city on what Japanese island?
8, Chelsea,Manchester United,0.000504732131958,0.2963316440582275,0.709722101688385,0.0,0.0,The player in which Ryan Green broke the record for youngest player spent his entire professional career with what team?
9, I do not have information on the day and month Nadezhda Agaltsova received the Lenin Prize.,April 22,0.0005083084106445,3.3125557899475098,0.3947475552558899,0.0,0.0,On what day and month of the year did Nadezhda Alekseyevna Agaltsova receive the Lenin Prize?
10, English singer and musician.,English singer,0.0005033016204833,0.8443179130554199,0.8780279159545898,0.6666666666666666,0.6666666666666666,"Roger Daltrey and David Gilmour, have what occupation, nationality in common?"
11," 4,587,558","4,587,558",0.0004916191101074,0.9799807071685792,1.0,1.0,1.0,The city where Turkish Statistical Institute has its headquarters in has a population of what in the urban center?
12, Newark Liberty International Airport,Newark Liberty International Airport,0.0005462169647216,0.7064294815063477,1.000000238418579,1.0,1.0,New Jersey's Route 65 begins near what airport owned by the cities of Elizabeth and Newark?
13, Musician.,singer,0.000511884689331,0.5679349899291992,0.6593619585037231,0.0,0.0,Which other occupation is the American actress who stars as a Jewish-American girl who befriends a German prisoner of war in a made-for-television war drama?
14, Laramie,"Laramie, Wyoming",0.0005066394805908,0.5675303936004639,0.7533135414123535,0.6666666666666666,0.6666666666666666,KUWR is owned by the college located in what city?
15, Symbolism.,Symbolism,0.0005083084106445,0.5694208145141602,0.9119164943695068,1.0,1.0,Which  nineteenth-century art movement  was Francis Vielé-Griffin a poet of 
