idx,generated_response,ground_truth,ir_time,generate_time,bert_score,rouge1_score,rougeL_score
0,Charlie.,Charlie,0.35587453842163086,2.0888142585754395,0.9550973773002625,1.0,1.0
1,Literature,Literature,0.3084406852722168,0.2634470462799072,1.0000001192092896,1.0,1.0
2,Netherlands.,Netherlands,0.2824704647064209,0.29789304733276367,0.9500890374183655,1.0,1.0
3,Gioachino Rossini wrote 39 operas.,39,0.25733447074890137,0.6670751571655273,0.19361472129821777,0.33333333333333337,0.33333333333333337
4,Mauser.,German,0.4798471927642822,0.3604550361633301,0.19541098177433014,0.0,0.0
5,MIT Sloan School of Management.,"Cambridge, Massachusetts",0.30179429054260254,0.4755368232727051,0.4037342369556427,0.0,0.0
6,1907,1907,0.27237510681152344,0.3470425605773926,1.0000001192092896,1.0,1.0
7,Fatsia has more species.,Fatsia,0.30618882179260254,0.39220404624938965,0.7185660600662231,0.4,0.4
8,Goalkeeper.,Goalkeeper,0.40721988677978516,0.3610508441925049,0.9592459201812744,1.0,1.0
9,United States.,United States,0.43147730827331543,0.3603198528289795,0.9286460876464844,1.0,1.0
10,George Schnell.,George Schnell,0.23760128021240234,0.40083813667297363,0.9850906133651733,1.0,1.0
11,Rosalind.,Rosalind,0.36528897285461426,0.39897799491882324,0.9784196019172668,1.0,1.0
12,Mothercare.,Mothercare,0.3684532642364502,0.36284899711608887,0.967211127281189,1.0,1.0
13,"None, the question does not mention any actress from the film ""No Small Affair"" being nominated for an Academy Award.",Olive Neal,0.30191707611083984,1.203376293182373,0.22560304403305054,0.0,0.0
14,American.,American,1.1211442947387695,0.3237793445587158,0.9135115146636963,1.0,1.0
15,"Georgy Voronoy was born first (April 28, 1868)",Georgy Feodosevich Voronoy,0.3220353126525879,0.8973064422607422,0.6212456226348877,0.36363636363636365,0.36363636363636365
16,Guinness World Records,Guinness Book of World Records,0.3071868419647217,0.29091811180114746,0.930853009223938,0.7499999999999999,0.7499999999999999
17,The Legend of Korra.,"""The Legend of Korra""",0.4836864471435547,0.4774024486541748,0.9431094527244568,1.0,1.0
18,A. R. Rahman.,A. R. Rahman,0.42467713356018066,0.47893643379211426,0.9925702214241028,1.0,1.0
19,Paul McCartney.,Paul McCartney,0.29799413681030273,0.24632930755615234,0.9762459397315979,1.0,1.0
20,New York City.,New York,0.2402966022491455,0.36669206619262695,0.9219122529029846,0.8,0.8
21,The University of Iowa.,University of Iowa,0.3585529327392578,0.43753933906555176,0.9659820199012756,0.8571428571428571,0.8571428571428571
22,Masayoshi Son.,Hiroshi Mikitani,0.4980034828186035,0.30296897888183594,0.4658470153808594,0.0,0.0
23,David Attwood's birthday (28 August) falls closer to the beginning of the calendar year than Frank Borzage's birthday (23 April).,Frank Borzage,0.31222081184387207,1.333284854888916,0.4633907079696655,0.16666666666666669,0.16666666666666669
24,David Walsh.,David Walsh,0.33779191970825195,0.35741281509399414,0.9787070751190186,1.0,1.0
25,The year of birth of Kim Larsen is not mentioned in the given context.,1945,0.32761120796203613,0.8514642715454102,0.24627573788166046,0.0,0.0
26,The Cosmopolitan of Las Vegas.,Cosmopolitan of Las Vegas,0.248704195022583,0.41732144355773926,0.9510511159896851,0.888888888888889,0.888888888888889
27,Cannes Film Festival.,Cannes Film Festival,0.3812592029571533,0.39929986000061035,0.9758018851280212,1.0,1.0
28,Michael Fassbender.,Michael Fassbender,0.3430514335632324,0.4756488800048828,0.9846913814544678,1.0,1.0
29,Palm Beach International Airport is farther south.,Palm Beach International Airport,0.4297807216644287,0.4449732303619385,0.8713400363922119,0.7272727272727273,0.7272727272727273
30,"A Rocket to the Moon was formed in 2006, while Superheaven was formed in 2008, so A Rocket to the Moon was formed first.",A Rocket to the Moon,1.8531157970428467,1.508544683456421,0.5635684132575989,0.3448275862068966,0.3448275862068966
31,Dick Dale.,Dick Dale,0.3339359760284424,0.2982041835784912,0.966056227684021,1.0,1.0
