idx,generated_response,ground_truth,ir_time,generate_time,bert_score
0,John Williams.,John Towner Williams,0.33280467987060547,1.7592451572418213,0.8207597732543945
1,"No, they have different professions. Arthur Rosson was a film director, while Wayne Wang is a film director.",yes,0.34906649589538574,1.0883128643035889,0.08774486184120178
2,Mike Malinin.,Mike Malinin,0.2673053741455078,0.4103071689605713,0.9809719920158386
3,7 years.,7,0.23003935813903809,0.41391873359680176,0.5369194149971008
4,The text does not specify a particular song written by Johnny Cash.,Billy Hayes,0.3220405578613281,0.7585475444793701,0.22701790928840637
5,enemy bombers and reconnaissance aircraft.,enemy aircraft,0.3001728057861328,0.4161088466644287,0.788807213306427
6,There is no information about a Babylonian chemist being a character on Super Science Friends.,Tapputi,0.25938892364501953,0.94805908203125,0.06745689362287521
7,Sleeman Breweries Ltd.,Sleeman Breweries Ltd.,0.2387371063232422,0.4888019561767578,1.0
8,The executive producer of the Home soundtrack is Rihanna.,Barbadian singer Rihanna,0.3088512420654297,0.6396493911743164,0.4875698685646057
9,Gay Talese was involved with journalism.,Gay Talese,0.25767016410827637,0.41019368171691895,0.7759792804718018
10,Beetham Tower.,Beetham Tower,0.9198837280273438,0.4583148956298828,0.9883371591567993
11,Jude Law.,Jude Law,0.7098069190979004,0.37232494354248047,0.982118546962738
12,"October 19, 1992.","October 19, 1992",0.30162739753723145,0.5079312324523926,0.9877992868423462
13,German Hound.,German Hound,0.8527040481567383,0.41553235054016113,0.9750889539718628
14,boxer.,boxer,0.32872438430786133,0.2644355297088623,0.9653770327568054
15,"No, the text does not mention Caltha.",yes,0.3287200927734375,0.6776604652404785,0.11919252574443817
