idx,generated_response,ground_truth,reset_cache_time,generate_time,bert_score,rouge1_score,rougeL_score
0, Glastonbury Festival 2015,Glastonbury Festival 2015,0.0005269050598144531,2.2008657455444336,1.0,1.0,1.0
1, Jon Brion,Jon Brion,0.0005285739898681641,0.7647318840026855,1.0000001192092896,1.0,1.0
2," Yes, English is the de facto official language of Texas, but Spanish is widely spoken and used in many areas, particularly in the southern and western parts of the state.",", the continual influx of Spanish-speaking immigrants increased the import of Spanish in Texas.",0.0004897117614746094,6.521929502487183,0.6056646108627319,0.3181818181818182,0.22727272727272724
3, Lossless audio and high-definition music videos.,lossless audio and high definition music videos,0.0005173683166503906,1.8830113410949707,0.9743702411651611,1.0,1.0
4, Paul McCartney,Paul McCartney,0.0004968643188476562,0.5856397151947021,1.0000001192092896,1.0,1.0
5, Jimmy Kimmel,Jimmy Kimmel,0.0004963874816894531,0.7712643146514893,1.0,1.0,1.0
6, Capitol Records,Capitol Records,0.0004897117614746094,0.5847718715667725,1.0000001192092896,1.0,1.0
7, Graduation,Graduation,0.0004918575286865234,0.5853316783905029,1.0,1.0,1.0
8, Homophobia in hip hop.,homophobia in hip hop,0.0004885196685791016,1.3279402256011963,0.9861371517181396,1.0,1.0
9, A Multipoint Control Unit (MCU).,Multipoint Control Unit (MCU),0.0004990100860595703,1.8848512172698975,0.9303098917007446,0.888888888888889,0.888888888888889
10, We Are the Champions,We Are the Champions,0.00049591064453125,0.9570925235748291,1.0,1.0,1.0
11, Leo,Virgo,0.0004913806915283203,0.39939093589782715,0.5412037372589111,0.0,0.0
12, English.,English,0.000492095947265625,0.5900499820709229,0.9305142164230347,1.0,1.0
13, Mixed-to-negative reviews.,mixed-to-negative reviews,0.0005152225494384766,1.1519663333892822,0.9516434669494629,1.0,1.0
14, U2,U2,0.00048828125,0.5895650386810303,1.0,1.0,1.0
15, Iran,Iran,0.0004916191101074219,0.4054419994354248,1.0,1.0,1.0
16, John Anthony,Norman Sheffield,0.0004849433898925781,0.5897653102874756,0.357624888420105,0.0,0.0
17," No, New Mexico has had a majority of English-speaking settlers, with Spanish-speaking people being outnumbered by English-speaking settlers.",The area of the former Gadsden Purchase contained a majority of Spanish-speakers until the 1940s,0.0004901885986328125,4.8985207080841064,0.48007693886756897,0.2162162162162162,0.2162162162162162
18, Album of the Year at the 54th Grammy Awards.,Album of the Year,0.0004832744598388672,2.4666588306427,0.6706651449203491,0.6153846153846153,0.6153846153846153
19," Three of Kanye West's albums rank on Rolling Stone's 2012 ""500 Greatest Albums of All Time"" list.",3,0.0005271434783935547,4.740682363510132,0.17679837346076965,0.0,0.0
20, Plain Old Telephone System,Plain Old Telephone System,0.0004909038543701172,0.9678895473480225,1.0000001192092896,1.0,1.0
21, 1977,1977,0.0005030632019042969,0.7830595970153809,1.0,1.0,1.0
22, Elton John,Elton John and the Béjart Ballet,0.0004909038543701172,0.7830629348754883,0.6551835536956787,0.4444444444444445,0.4444444444444445
23," ""This Can't Be Life""","""This Can't Be Life""",0.0004956722259521484,1.5386149883270264,1.0000001192092896,1.0,1.0
24," ""Decentralized multipoint""",decentralized multipoint,0.00048732757568359375,1.5356364250183105,0.960098385810852,1.0,1.0
25," Videoconferencing can help a person by enabling them to participate in meetings remotely, saving time and money.",money savings,0.0004994869232177734,4.367917537689209,0.13897006213665009,0.21052631578947367,0.10526315789473684
26, BBC Radio 1,BBC Radio 1,0.0005052089691162109,0.9785141944885254,1.0,1.0,1.0
27, 20 million,20 million,0.0004930496215820312,0.787137508392334,1.0,1.0,1.0
28, Yeezus,Yeezus,0.0004951953887939453,0.975895881652832,1.0000001192092896,1.0,1.0
29," Jay-Z, Alicia Keys, Ludacris, Janet Jackson, and Grav.",Jay-Z and Alicia Keys,0.0004832744598388672,3.437346935272217,0.8208426833152771,0.7142857142857143,0.5714285714285714
30, Taylor Swift,Taylor Swift,0.0004937648773193359,0.5981791019439697,1.0,1.0,1.0
31, Montserrat Caballé,"Montserrat Caballé, Barcelona",0.0004930496215820312,1.164109468460083,0.8527308106422424,0.8,0.8
32, 2010,September 2010,0.00048732757568359375,0.7880403995513916,0.827847957611084,0.6666666666666666,0.6666666666666666
33, 2009,2009,0.00048661231994628906,0.7860596179962158,0.9999998211860657,1.0,1.0
34, The Good Water Store and Café,Good Water Store and Café,0.0004949569702148438,1.3557696342468262,0.9758503437042236,0.9090909090909091,0.9090909090909091
35, David Bowie,David Bowie,0.00048351287841796875,0.5966830253601074,1.0,1.0,1.0
36, 180,over 180,0.0004851818084716797,0.5987808704376221,0.8952977657318115,0.6666666666666666,0.6666666666666666
37, 1992,1995,0.00048232078552246094,0.7867357730865479,0.7355881929397583,0.0,0.0
38," Over 120,000 fans packed the park for Queen's final live performance with Freddie Mercury in 1986.","120,000",0.0004904270172119141,4.575422763824463,0.24767515063285828,0.19999999999999998,0.19999999999999998
39," ""Radio Ga Ga""",Radio Ga Ga,0.0004951953887939453,1.16463041305542,0.9221859574317932,1.0,1.0
40, Approximately 1.1 million.,"United States, which was already home to over 10,000 Salvadorans, making Salvadorans Americans the fourth-largest Hispanic and Latino American group",0.0004913806915283203,1.5436174869537354,0.22379174828529358,0.0,0.0
41, John Deacon,John Deacon,0.0004932880401611328,0.7857036590576172,1.0,1.0,1.0
42, Aretha Franklin,Aretha Franklin,0.0004887580871582031,0.7868752479553223,1.0000001192092896,1.0,1.0
43," 50 Cent's album ""Curtis""",50 Cent,0.0004980564117431641,2.1098620891571045,0.6661707162857056,0.5714285714285715,0.5714285714285715
44, 1836,"A large influx of Americans soon followed, originally with the approval of Mexico's president. In 1836",0.0004911422729492188,0.7852592468261719,0.5141712427139282,0.1111111111111111,0.1111111111111111
45, 2002,2002,0.00048542022705078125,0.7873721122741699,1.0,1.0,1.0
46, 1990s,1990s,0.0004904270172119141,0.9761738777160645,1.0,1.0,1.0
47," October 1, 2011","October 1, 2011",0.00048804283142089844,1.5439918041229248,1.0,1.0,1.0
