idx,generated_response,ground_truth,ir_time,generate_time,bert_score,rouge1_score,rougeL_score,question,gptscore
0,"What's New, Scooby-Doo?","What's New, Scooby-Doo?",0.0009577274322509,3.5113558769226074,1.0,1.0,1.0,"The third and final single by rock band, A, was used in the episode ""Farmed and Dangerous"" from which American animated sitcom mystery comedy series?",1
1,Auschwitz concentration camp.,Auschwitz,0.0009243488311767,0.2793014049530029,0.8882373571395874,0.5,0.5,Where did this real life mad doctor whose crimes were the inspiration for the film The Human Centipede work at during World War II?,1
2,Tokyo.,Tokyo,0.0008089542388916,0.2043523788452148,0.957403302192688,1.0,1.0,"Fukuzawa Yukichi, was a Japanese author, writer, teacher, translator, entrepreneur and journalist who founded Keio University, a Japanese private university located in Minato, in which city? ",1
3,Waikiki.,Waikīkī Beach,0.0007779598236083,0.2772774696350097,0.772841215133667,0.0,0.0,"Exotica, the first album by Martin Denny was recorded in a studio located in an area most famous for what?",1
4,Please Take Care of My Refrigerator.,Please Take Care of My Refrigerator,0.0007874965667724,0.4228763580322265,0.9852120876312256,1.0,1.0,Mihal Ashminov is currently in the cast of which South Korean cooking program?,1
5,1962.,1962,0.0008161067962646,0.2778370380401611,0.9593217968940736,1.0,1.0,The founder of the techno record label Metroplex was born in what year?,1
6,"Keasbey, New Jersey.",Keasbey,0.000744342803955,0.4236857891082763,0.7329524159431458,0.5,0.5,Pathmark was started when a member broke away from a retailer's cooperative based in what city?,1
7,Cellist.,cellist,0.0007338523864746,0.2396886348724365,0.9743863940238952,1.0,1.0,"Mstislav Rostropovich, Daniil Shafran and Sviatoslav Knushevitsky were leading examples of what kind of musician among 20th century Russians?",1
8,Jai alai.,Basque pelota,0.0007944107055664,0.3141787052154541,0.4309203624725342,0.0,0.0,Moisés Solana Was a Race car driver from Mexico who also played this sport that is a variation of what? To fund his racing career?,1
9,"No, they belong to different families: Brassicaceae (Orychophragmus) and Ebenaceae (Chrysobalanus).",no,0.0006976127624511,1.1735060214996338,0.1067319884896278,0.1666666666666666,0.1666666666666666,Are Chris Marker and Yvonne Rainer American?,0
10,The BMW X1.,BMW X1,0.0007796287536621,0.3121869564056396,0.9351106286048888,0.8,0.8,Which compact luxury crossover SUV is the new BMW X2 modeled after?,1
11,"The population of the town in which resides the main campus of Brunswick (Brittonkill) Central School District was not provided in the given context. However, the population of the school district was 20,463.","11,941",0.0008084774017333,1.7011573314666748,0.0868624821305275,0.0,0.0,"At the 2010 census, what was the population of the town in which resides the main campus of Brunswick (Brittonkill) Central School District?",0
12,Boreal forest.,boreal forest,0.0007476806640625,0.2782244682312011,0.9868847131729126,1.0,1.0,"The Kazan River flows through tundra and taiga, which is also known as what? ",1
13,The Peramangk people.,Peramangk,0.0007398128509521,0.3827018737792969,0.7892246246337891,0.5,0.5,"What indigenous Australian people warned settlers that the Hoffnungsthal, South Australia was prone to flooding?",1
14,Hipparchus.,Hipparchus,0.0007498264312744,0.2785496711730957,0.982247233390808,1.0,1.0,"An imprecise but systematic determination of the magnitude of objects was introduced by which Greek astronomer, geographer, and mathematician?",1
15,Gertrude Stein.,Gertrude Stein,0.0007498264312744,0.3129594326019287,0.9821693897247314,1.0,1.0,"Who was born first, Gertrude Stein or Ezra Pound?",1
