idx,generated_response,ground_truth,reset_cache_time,generate_time,bert_score,rouge1_score,rougeL_score,question
0, Firle Place.,Brook Lodge,0.0005061626434326,1.2168598175048828,0.4454443454742431,0.0,0.0,The movie beat the devil is loosely based upon a novel of the same name by a British journalist who lived in which town ?
1, American Revolutionary War,American Revolution,0.0005216598510742,0.9135069847106934,0.8459419012069702,0.4,0.4,"The second Hancock was one of the first 13 frigates of the Continental Navy, and was named for John Hancock, an American merchant, statesman, and prominent Patriot of which event?"
2, I Spit on Your Grave (2010 film),I Spit on Your Grave,0.0004940032958984,2.4510862827301025,0.7635088562965393,0.8333333333333333,0.8333333333333333,Which Steven R. Monroe directed film does Sara Butler play 'Jennifer Hills'?
3, Michael Caine,Michael Caine,0.0004982948303222,0.9152812957763672,1.0,1.0,1.0,Who is the co-star of the current co-president of the Actors Studio in the movie Youth?
4, Pierre Beaumarchais,Molière,0.0004961490631103,1.351619005203247,0.2114033699035644,0.0,0.0,"Show Me Where the Good Times Are is a musical comedy with book by Leonora Thuna, and was inspired by Jean-Baptiste Poquelin, was a French playwright and actor who is considered to be one of the greatest masters of comedy in Western literature, and known by which stage name?"
5, Ghost Ship,Ghost Ship,0.0004980564117431,0.700660228729248,1.0,1.0,1.0,"Desmond Harrington, is an American actor, and is known for movies such as which 2002 American-Australian horror film directed by Steve Beck?"
6, Poa,Poa,0.0004947185516357,0.6960291862487793,1.0,1.0,1.0,Which of these names is a genus of plant that consists of grass species:  Poa or Gymnocladus?
7," ""Rumours""",Glee,0.0004923343658447,1.3480372428894043,0.1098973453044891,0.0,0.0,Which show featured a song off of Fleetwood Mac's eleventh studio album?
8, Memorial Stadium,University of Minnesota,0.0004935264587402,0.6902246475219727,0.3246620595455169,0.0,0.0,"Which college has a campus in Falcon Heights, Williams College or University of Minnesota?"
9, March,March,0.0004894733428955,0.472144603729248,1.0,1.0,1.0,Russ Haas and Charlie Haas are pro wrestlers born on the same day in what month?
10," ""Live Like You Were Dying""",Live Like You Were Dying,0.0004873275756835,2.0151424407958984,0.8643968105316162,1.0,1.0,The song Tim Nichols won a Grammy Award for Best Country Song in 2004 was on which Tim McGraw album?
11, Gallery,Gallery,0.0005004405975341,0.4720361232757568,1.0,1.0,1.0,The horror short story The Raft by Stephen King was also included in what popular skin magazine?
12, David Eddings,David Eddings,0.0004858970642089,1.1758291721343994,0.9999999403953552,1.0,1.0,"What American fantasy writer's wife uthored several best-selling epic fantasy novel series, including ""The Belgariad"" , ""The Malloreon"" , ""The Elenium"" , ""The Tamuli"" , and ""The Dreamers"", David Eddings, or  John Crowley?"
13, L. Ron Hubbard,L. Ron Hubbard,0.0004987716674804,1.1345255374908447,1.0,1.0,1.0,"Who was born first, L. Ron Hubbard or Brad Anderson?"
14, Rebecca Mader,Rebecca Mader,0.0005006790161132,0.9178359508514404,1.0,1.0,1.0,"Who plays the Wicked Witch of the West on ABC's ""Once Upon a time"" inspired by the novel by L. Frank Baum?"
15, Don Rojas,Don Rojas,0.0004987716674804,0.9122250080108644,1.0000001192092896,1.0,1.0,"What journalist and political commentator served as press secretary for Prime Minister Maurice Bishop, the Grenadian politician?"
16, Eve Ensler,Eve Ensler,0.0005156993865966,0.9115688800811768,1.0000001192092896,1.0,1.0,Who was the writer of an episodic play from which Yoni Ki Baat was inspired?
17, Fish,Barney Miller,0.0005044937133789,0.478609561920166,0.3024588227272033,0.0,0.0,"Ron Carey, and Max Gail who played a character nicknamed Wojo, both appeared in which TV police drama?"
18, Doyle Brunson,Doyle Brunson,0.0004868507385253,0.9167430400848388,1.0,1.0,1.0,"What professional poker player with 50 plus years of experience, won the 1979 Mixed Doubles - No Limit Hold'em?"
19, Lee Bo-young,Lee Bo-young,0.0004904270172119,1.1346960067749023,1.0000001192092896,1.0,1.0,"God's Gift: 14 Days starred which South Korean actress who starred in 2017's ""Whisper""?"
20, Jocko Thompson,Bob Gibson,0.0004897117614746,1.133730411529541,0.4185159206390381,0.0,0.0,Which retired American baseball pitcher who played 17 seasons in Major League Baseball got his start with the Omaha Rockets?
21, St. Luke's,St. Luke’s,0.0004932880401611,1.127945899963379,0.9946250915527344,1.0,1.0,Alex Mahon will succeed the executive who founded what creative agency?
22, The Declaration of Independence.,the Declaration of Independence,0.000504732131958,1.3524928092956543,0.969760000705719,1.0,1.0,What did Edwin Brockholst Livingston's brother Philip sign?
23, Stan Lee,Stan Lee,0.0004918575286865,0.714033842086792,1.0000001192092896,1.0,1.0,Who created the main character in which the Raiders appear?
24, St. Pauli,"Bremen, Germany",0.0005090236663818,1.1469454765319824,0.3163313567638397,0.0,0.0,Katarina Van Derham was the longest-serving spokesman for the beers brewed in what city?
25, Springfield.,Springfield,0.0004982948303222,0.706402063369751,0.9723360538482666,1.0,1.0,"The William G. and Retha Stone Baker Observatory is an astronomical observatory owned and operated by Missouri State University, (MSU or MO State), formerly Southwest Missouri State University, is a public university located in which city, in Missouri, United States?"
26," West Windsor Township, New Jersey, and Houston, Texas.","West Windsor Township, New Jersey, and Houston, Texas",0.00048828125,2.9281392097473145,0.9811421036720276,1.0,1.0,What cities are the headquarters for the company that owns Avra Valley Solar Generating Station?
27, musicians,"singer, songwriter",0.0004942417144775,0.4774196147918701,0.4703247547149658,0.0,0.0,Tom Hingley and Michael Jackson are both what?
28, My Love from the Star,"""My Love from the Star""",0.0004963874816894,1.3702707290649414,0.8910014033317566,1.0,1.0,Which South Korean television series will be remade into a Philippine movie starring Jennylyn Mercado?
29, Michèle Flournoy,Michèle Flournoy,0.0004956722259521,1.3812243938446045,1.0,1.0,1.0,Which cofounder of the Center for a New American Security served as a principal advisor to U.S. Secretaries of Defense Robert Gates and Leon Panetta?
30, sponsorship reasons,sponsorship reasons,0.0005097389221191,0.7090528011322021,1.0,1.0,1.0,Sunderland Association Football Club is an English professional football club that plays in a championship referred to as the Sky Bet Championship for what reasons?
31," None, the drama is based on a Russian setting.","Granby, Colorado",0.000500202178955,2.7160584926605225,0.0006162049248814,0.0,0.0,"From an Andrey Zvyagintsev drama, which American city did the actual events upon which the drama is based take place?"
