idx,generated_response,ground_truth,ir_time,generate_time,bert_score,rouge1_score,rougeL_score
0,The Vietnam War.,Vietnam War,0.0014452934265136719,2.394153118133545,0.9359838962554932,0.8,0.8
1,"Akebono, who is from Hawaii.","Waimānalo, Hawaii",0.0014069080352783203,1.5785844326019287,0.5119739770889282,0.25,0.25
2,Camp Nou.,Camp Nou,0.0012187957763671875,1.2656493186950684,0.9862927198410034,1.0,1.0
3,Condé Nast.,Condé Nast,0.0013756752014160156,1.3428151607513428,0.9807910323143005,1.0,1.0
4,Lost McLeod Mine.,Lost McLeod Mine,0.0013217926025390625,1.3009636402130127,0.9748371839523315,1.0,1.0
5,Mario Draghi.,the Financial Stability Board,0.0012011528015136719,1.2672691345214844,0.052429452538490295,0.0,0.0
6,Texas Instruments.,Texas Instruments,0.0013549327850341797,1.2616527080535889,0.9664025902748108,1.0,1.0
7,Jude Law.,Jude Law,0.0012829303741455078,1.2478830814361572,0.982118546962738,1.0,1.0
8,Nas.,Jayceon Terrell Taylor,0.0013377666473388672,1.1840150356292725,0.1668243110179901,0.0,0.0
9,Muammar Gaddafi.,Muammar Gaddafi,0.0013251304626464844,1.3653526306152344,0.9671099781990051,1.0,1.0
10,Cypripedium.,Cypripedium,0.001270294189453125,1.2051773071289062,0.971598744392395,1.0,1.0
11,Gina Rodriguez.,Gina Alexis Rodriguez,0.0013554096221923828,1.226067304611206,0.9226783514022827,0.8,0.8
12,"Peter O'Meara played the role of Norman Dike in the HBO series ""Band of Brothers"".",Band of Brothers,0.0013010501861572266,2.0116779804229736,0.5557307004928589,0.3157894736842105,0.3157894736842105
13,"No, Cookie magazine is not still being published today, but Damernas Värld is still being published.",no,0.0013155937194824219,2.353337526321411,0.17527365684509277,0.1111111111111111,0.1111111111111111
14,"Poster Children was formed in 1987, while The Almost was formed in 2005.",Poster Children,0.0012950897216796875,2.1124298572540283,0.631224513053894,0.2666666666666667,0.2666666666666667
15,The Chieftains.,The Chieftains,0.0012450218200683594,1.4332976341247559,0.984946072101593,1.0,1.0
16,1978.,1978,0.0013797283172607422,1.214205265045166,0.9614052772521973,1.0,1.0
17,"October 6, 2008.",6 October 2008,0.001302957534790039,1.5094599723815918,0.9536889791488647,1.0,0.6666666666666666
18,Stillwater County.,Stillwater County,0.0011889934539794922,1.2895283699035645,0.9839291572570801,1.0,1.0
19,Khemri,Khemri,0.0011835098266601562,1.2287230491638184,1.0,1.0,1.0
20,1989.,1989,0.0011987686157226562,1.2785229682922363,0.9681541323661804,1.0,1.0
21,"No, they do not share the same nationality. Coleman Francis is American and Tom Barman is Belgian.",no,0.0012831687927246094,2.1166117191314697,0.06745675951242447,0.1111111111111111,0.1111111111111111
22,Dennis Farina.,Dennis Farina,0.001310586929321289,1.2142341136932373,0.9832895398139954,1.0,1.0
23,"Yes. Romulea is in the Iridaceae family, while Baikiaea is in the Fabaceae family.",yes,0.001285552978515625,2.3617072105407715,0.09821991622447968,0.13333333333333333,0.13333333333333333
24,Cristian Castro.,Cristian Castro,0.0012445449829101562,1.3148906230926514,0.9843507409095764,1.0,1.0
25,Yes.,yes,0.001308441162109375,1.2519755363464355,0.836855947971344,1.0,1.0
26,TCU Horned Frogs football team.,Texas Christian University,0.001295328140258789,1.542672872543335,0.3361584544181824,0.0,0.0
27,"Whippets are a medium-size breed, while Jack Russell Terriers are small.",Whippets,0.0013093948364257812,1.883124828338623,0.5637446641921997,0.15384615384615385,0.15384615384615385
28,North Terrace and King William Road.,North Terrace and King William Road,0.001168966293334961,1.4451520442962646,0.9891370534896851,1.0,1.0
29,"""Chocolate""",Chocolate,0.0013310909271240234,1.28037691116333,0.866205096244812,1.0,1.0
30,Brooklyn.,Brooklyn,0.001184701919555664,1.1167688369750977,0.9740222692489624,1.0,1.0
31,The Kenworth T600.,Kenworth T600,0.0012142658233642578,1.3927903175354004,0.9339835047721863,0.8,0.8
