idx,generated_response,ground_truth,ir_time,generate_time,bert_score,rouge1_score,rougeL_score,question
0,Oakland International Airport.,Oakland International Airport,0.0010764598846435,1.7562921047210691,0.9700455069541932,1.0,1.0,"Which airport has passenger service to Canada and Japan, Oakland International Airport, or Boise Airport?"
1,Naruto,Naruto,0.001065969467163,0.5620481967926025,1.0000001192092896,1.0,1.0,What series is written by Masashi Kishimoto and featured the final appearance of Kōji Totani?
2,Wendy Carlos.,Wendy Carlos,0.0010046958923339,0.6109356880187988,0.983511447906494,1.0,1.0,What electronic musician released the album The Well-Tempered Synthesizer in 1969?
3,James Cameron.,James Cameron,0.0010058879852294,0.5575060844421387,0.9663069248199464,1.0,1.0,"Richard ""Dick"" Miller, is an American character actor, who has appeared in over 100 films, Miller's main roles have been in films such as The Terminator, a 1984 American science-fiction action film directed by who?"
4,Women.,women,0.0010328292846679,0.5683825016021729,0.9446245431900024,1.0,1.0,Glamour and Conditions are magazines focused to people of which sex?
5,England.,English,0.0010099411010742,0.5983185768127441,0.5092488527297974,0.0,0.0,What language is spoken at both Lipscomb University and University of Debrecen?
6,2005,2005,0.001039981842041,0.6574878692626953,1.0,1.0,1.0,"In which year was this former Detroit City Council member, with whom Sheila Cockrel had a fractious relationship with, first elected to the council?"
7,Ken Hughes is British.,"Kenneth Graham ""Ken"" Hughes",0.0009808540344238,0.6816465854644775,0.790640652179718,0.5,0.5,"Who is older, Ken Hughes or the Farrelly brothers?"
8,28th November.,28th,0.0009629726409912,0.6826937198638916,0.8093103170394897,0.6666666666666666,0.6666666666666666,What day was South Korean professional footballer Son Heung-min awarded the Best Footballer in Asia 2014?
9,Black Inches.,Black Inches,0.0010287761688232,0.639683723449707,0.9656921625137328,1.0,1.0,What is the name of the US based gay pornographic magazinefeaturing African-American man which wasdistributed internationally with another gay Pornographic monthly magazine?
10,Fiona Shaw.,Fiona Shaw,0.0010435581207275,0.6068544387817383,0.9807527661323548,1.0,1.0,"Who was the actor in the British crime drama, Mind Games, and in the ""Harry Potter"" films."
11,Under Pressure: Cooking Sous Vide.,The French Laundry,0.0010426044464111,0.8091063499450684,0.1689736098051071,0.0,0.0,"What is the name of the 2008 cookbook, based on a Yountville, California restaurant, written by Thomas Keller and Michael Ruhlman?"
12,"Marina and the Diamonds is Welsh, but Moist is a Canadian band.",Welsh,0.0009939670562744,1.0290558338165283,0.4476842284202575,0.1538461538461538,0.1538461538461538,The Last Nightingale contained cover art done by an artist of what nationality?
13,Max Planck.,Max Born,0.0009384155273437,0.6421294212341309,0.5004734992980957,0.5,0.5,Stadtfriedhof is a cemetery that is the resting place of which Nobel-winning physicist?
14,Flynn Rider.,Tangled,0.0009582042694091,0.5999679565429688,0.3087515234947204,0.0,0.0,Which Walt Disney Animation Studios' animated feature film has this fictional character whose sidekick is Pascal?
15,"Batangas State University was founded in 1903, while Virginia Commonwealth University was founded in 1838.",Virginia Commonwealth University,0.0009639263153076,1.3954954147338867,0.6540173292160034,0.3333333333333333,0.3333333333333333,"Which univerisity was founded 1838, Virginia Commonwealth University or Stevens Institute of Technology?"
