idx,generated_response,ground_truth,ir_time,generate_time,bert_score,rouge1_score,rougeL_score
0,1961,1961,0.3424978256225586,3.1469948291778564,0.9999998807907104,1.0,1.0
1,Taubman Centers.,Taubman Centers,0.2741985321044922,1.1881296634674072,0.9893574714660645,1.0,1.0
2,The University of Oklahoma.,University of Oklahoma,0.2578573226928711,1.1783990859985352,0.9738551378250122,0.8571428571428571,0.8571428571428571
3,Philippe Reines.,Philippe Reines,0.3026416301727295,1.0327186584472656,0.9847524166107178,1.0,1.0
4,"Amorpha is a genus of plants in the pea family, Fabaceae.",Amorpha,0.37905454635620117,1.737027645111084,0.6995050311088562,0.16666666666666669,0.16666666666666669
5,The United States.,United States,0.36728930473327637,1.1094169616699219,0.8440276384353638,0.8,0.8
6,"The Cove calls for action to halt mass dolphin kills, change Japanese fishing practices, and inform the public about the risks of mercury poisoning from dolphin meat.",The Cove,0.48279714584350586,2.433458089828491,0.4035860598087311,0.13793103448275862,0.13793103448275862
7,Fallen.,Fallen,0.3174886703491211,1.077455759048462,0.9421401023864746,1.0,1.0
8,The 1990s.,the early 1990s,0.6496539115905762,1.3630530834197998,0.9077756404876709,0.8,0.8
9,The Robie House.,Frederick C. Robie House,0.39661622047424316,1.2344470024108887,0.7055401802062988,0.5714285714285715,0.5714285714285715
10,Composers.,composer,0.3150746822357178,1.0091302394866943,0.7743871212005615,1.0,1.0
11,Basketball.,basketball,0.35195040702819824,1.0473251342773438,0.9341326951980591,1.0,1.0
12,Anne Sofie von Otter.,Anne Sofie von Otter,0.5739841461181641,1.480006456375122,0.9850918054580688,1.0,1.0
13,Film.,film,0.41019487380981445,1.0808145999908447,0.8702664375305176,1.0,1.0
14,Iraq.,Iraq,0.38364529609680176,0.9796006679534912,0.9209299087524414,1.0,1.0
15,Black Knight Sports & Entertainment.,Black Knight Sports & Entertainment,0.4311091899871826,1.2597646713256836,0.9719215035438538,1.0,1.0
16,"The Co-operative Bank, with Liam Coleman as its CEO, is headquartered in Balloon Street, Manchester.","Balloon Street, Manchester.",0.24336600303649902,2.008725166320801,0.5456548929214478,0.3157894736842105,0.3157894736842105
17,A contemporary Broadway production of the 1913 Victor Herbert operetta.,“play within a play”,0.23738861083984375,1.4428744316101074,0.22337067127227783,0.14285714285714288,0.14285714285714288
18,Christian Bale.,Christian Charles Philip Bale,0.26868438720703125,1.1618921756744385,0.8082094788551331,0.6666666666666666,0.6666666666666666
19,The Portland Exposition Building.,The Expo,0.23863935470581055,1.1368861198425293,0.5103980302810669,0.3333333333333333,0.3333333333333333
20,Universal Genève SA.,Universal Genève,0.33566975593566895,1.2729604244232178,0.8027095198631287,0.8571428571428571,0.8571428571428571
21,Bobby Wagner played college football at Utah State.,Utah State,0.30884408950805664,1.4778592586517334,0.565366804599762,0.4,0.4
22,1999.,1999,0.3119077682495117,1.2261998653411865,0.9476619362831116,1.0,1.0
23,Chiang Kai-shek.,Chiang Kai-shek,0.5299813747406006,1.2024259567260742,0.9879068732261658,1.0,1.0
24,"28 artists participated in the music video for ""Live"".",28,0.4656791687011719,1.576551914215088,0.30919474363327026,0.19999999999999998,0.19999999999999998
25,Mustafa Kemal Atatürk.,Mustafa Kemal Atatürk,0.37978506088256836,0.9713015556335449,0.9845974445343018,1.0,1.0
26,Spring Breakers.,Spring Breakers,0.3096802234649658,1.2157471179962158,0.9719144701957703,1.0,1.0
27,1986,1986,0.47462964057922363,1.1342554092407227,1.0000001192092896,1.0,1.0
28,Ivory Coast.,Yamoussoukro,1.1368346214294434,1.2118008136749268,0.09013047069311142,0.0,0.0
29,"February 26, 1926.","February 26, 1926",0.3718130588531494,1.295041561126709,0.9906119108200073,1.0,1.0
30,On the floor over lauhala (leaves of the hala tree were weaved together) mats.,on the floor,0.4563014507293701,2.0301599502563477,0.48129451274871826,0.35294117647058826,0.35294117647058826
31,Viburnum.,Viburnum,0.3798189163208008,1.1575722694396973,0.9787329435348511,1.0,1.0
