idx,generated_response,ground_truth,ir_time,generate_time,bert_score
0,William H. Gass.,William Howard Gass,0.0009655952453613281,1.927624225616455,0.8288415670394897
1,"Yes, both Michael Frayn and Grantland Rice are from the United States.",no,0.0010349750518798828,0.9292826652526855,0.11566558480262756
2,Three Days of the Condor.,Three Days of the Condor,0.0009317398071289062,0.5368945598602295,0.9862450957298279
3,1999,1999,0.0009334087371826172,0.42951011657714844,1.0
4,Lootera.,Lootera,0.0009367465972900391,0.4526233673095703,0.9765647649765015
5,Pinellas County.,Pinellas,0.000978708267211914,0.4407956600189209,0.6558158993721008
6,Frederick Sanger (Chemistry) and John Bardeen (Physics) have won the Nobel Prize in the same category twice.,"who twice won the Nobel Prize in Chemistry, one of only two people to have done so in the same category (the other is John Bardeen in physics)",0.0009353160858154297,1.2016112804412842,0.8758081793785095
7,The Mail.,The Sunday Mail,0.0009620189666748047,0.4513998031616211,0.6987792253494263
8,Timon.,Timon,0.0008187294006347656,0.4285266399383545,0.9693350195884705
9,Princess Leia.,Princess Leia,0.0009791851043701172,0.4551200866699219,0.9817354083061218
