idx,generated_response,ground_truth,ir_time,generate_time,bert_score,rouge1_score,rougeL_score,question,gptscore
0,A brewery or brewing company.,a brewing company,0.0014984607696533,2.915066957473755,0.9112646579742432,0.7499999999999999,0.7499999999999999,What is company that makes beer typically known as? ,1
1,Arthur and his queen's bones were discovered at Glastonbury Abbey.,Avalon became associated with Glastonbury Tor when monks at Glastonbury Abbey claimed to have discovered the bones of King Arthur and his queen,0.0014975070953369,1.9555096626281736,0.807288408279419,0.5294117647058824,0.2352941176470588,What does Artharian legend claim about Glastonbury,1
2,Sugars.,sugars,0.0012931823730468,1.2813389301300049,0.9714799523353576,1.0,1.0,"In brewing, what do starches become during the mashing process?",1
3,Solsternus from 1207.,Solsternus,0.0013306140899658,1.594874620437622,0.8248016834259033,0.5,0.5,The Cathedral of Spoleto is signed by who?,1
4,1848.,1848,0.0013046264648437,1.3576736450195312,0.9567419290542604,1.0,1.0,What year were the Cambridge Rules first drawn up?,1
5,0.13 seconds.,0.13 seconds,0.0013227462768554,1.4310436248779297,0.9743090867996216,1.0,1.0,How long does it take a typical 100-watt bulb to achieve 90% of its brightness?,1
6,Tile.,tile,0.0013201236724853,1.263507604598999,0.933769941329956,1.0,1.0,What would later become the main Islamic form of wall decoration?,1
7,RIBA Enterprises.,RIBA Enterprises,0.0013511180877685,1.4147796630859375,0.9868645071983336,1.0,1.0,What is the name of the Royal Institute's business operation?,1
8,Two ways: Radiant luminous efficacy (LER) and Source luminous efficacy (LES).,two ways,0.0012972354888916,2.0649008750915527,0.2054003775119781,0.3076923076923077,0.3076923076923077,How many different ways can a species be added to the endangered list?,0
9,"The zodiac wheel, with Helios in the center.",Helios,0.0013263225555419,1.7964873313903809,0.637382447719574,0.2222222222222222,0.2222222222222222,What figure is dominant in the mosaic at Sepphoris?,1
10,Multan.,Multan,0.001319408416748,1.2700371742248535,0.9794173836708068,1.0,1.0,Where is Zakria's shrine?,1
11,BPS-22.,usually a BPS-22 Civil Servant,0.0013003349304199,1.390110969543457,0.617867648601532,0.5,0.5,What rank is the Chief Secretary?,1
12,The former main lines of the Great Western Railway (GWR) are still in use today.,"The former main lines of the GWR are still in use today, although many of its branch lines were scrapped under the notorious Beeching Axe",0.0013220310211181,2.159528970718384,0.6443676352500916,0.6,0.6,What railways lines are still in use today ,1
13,Emblemata.,emblemata,0.0013332366943359,1.3148844242095947,0.9690627455711364,1.0,1.0,What were small panel mosaics known as?,1
14,Holland.,Holland,0.0013597011566162,1.2235829830169678,0.9607134461402892,1.0,1.0,Where were the vast majority of French language periodicals produced?,1
15,"Yes, Duchamp's work ""Nude Descending a Staircase, No. 2"" was considered scandalous and was even rejected by the hanging committee at the 1912 Salon des Indépendants.",caused a scandal,0.0012550354003906,3.541911602020264,0.2559155821800232,0.1290322580645161,0.1290322580645161, Was Duchamp's work considered controversial when displayed in 1912?,1
16,"A fire damaged the mosque extensively in 1893, resulting in the loss of many mosaics.",a fire,0.0013344287872314,2.319993495941162,0.2741653323173523,0.2352941176470588,0.2352941176470588,What happened in 1893 that destroyed most of the mosaics in the mosque?,1
