idx,generated_response,ground_truth,ir_time,generate_time,bert_score
0,William H. Gass.,William Howard Gass,0.0009806156158447266,2.1243233680725098,0.8288415670394897
1,"Yes, both Michael Frayn and Grantland Rice are from the United States.",no,0.0010647773742675781,0.9261794090270996,0.11566558480262756
2,Three Days of the Condor.,Three Days of the Condor,0.0009753704071044922,0.5358996391296387,0.9862450957298279
3,1999,1999,0.0009589195251464844,0.4305593967437744,1.0
4,Lootera.,Lootera,0.0009570121765136719,0.45114946365356445,0.9765647649765015
5,Pinellas County.,Pinellas,0.0010077953338623047,0.43926024436950684,0.6558158993721008
6,Frederick Sanger (Chemistry) and John Bardeen (Physics) have won the Nobel Prize in the same category twice.,"who twice won the Nobel Prize in Chemistry, one of only two people to have done so in the same category (the other is John Bardeen in physics)",0.0009207725524902344,1.2006900310516357,0.8758081793785095
7,The Mail.,The Sunday Mail,0.0010416507720947266,0.44947338104248047,0.6987792253494263
8,Timon.,Timon,0.0009412765502929688,0.43070054054260254,0.9693350195884705
9,Princess Leia.,Princess Leia,0.0009891986846923828,0.4531855583190918,0.9817354083061218
