idx,generated_response,ground_truth,ir_time,generate_time,bert_score,rouge1_score,rougeL_score,question
0,The Mozilla Foundation.,Mozilla Foundation,0.0009846687316894,1.7455835342407229,0.9259703159332277,0.8,0.8,What did Netscape launch in 1998?
1,January 2009.,January 2009,0.0009546279907226,0.5133166313171387,0.9733129739761353,1.0,1.0,When did the European Commission say they would investigate the bundling?
2,Transistors.,transistors,0.0008537769317626,0.4909155368804931,0.9459264278411864,1.0,1.0,Vacuum tubes in early computers were replaced by what?
3,A byte.,a byte,0.000849962234497,0.4372045993804931,0.9634421467781068,1.0,1.0,A group of 8 bits is called what?
4,Quantum factoring.,quantum factoring,0.0008807182312011,0.4701509475708008,0.9782191514968872,1.0,1.0,By what method do quantum computers solve encryption algorithms quickly?
5,Richard Braithwait.,Richard Braithwait,0.000847578048706,0.5341169834136963,0.9869220852851868,1.0,1.0,"Who was the author of the book, The Yong Mans Gleanings?"
6,The Z3.,the Z3,0.0008633136749267,0.4937596321105957,0.983423113822937,1.0,1.0,"What was the first automatic, digital, programmable computer created by Konrad Zuse?"
7,5,a record five,0.0008742809295654,0.3913884162902832,0.642279863357544,0.0,0.0,How many consecutive losses has the Liberal party faced since the 2002 election?
8,The United States Navy.,the United States Navy,0.0008809566497802,0.529710054397583,0.9767524600028992,1.0,1.0,What part of the US military developed an electromechanical analog computer to use on a submarine?
9,World War II.,"World War II,",0.0008702278137207,0.4944043159484863,0.9625085592269896,1.0,1.0,During what war were computers first used for military applications?
10,Programmer error or an oversight made in the program's design.,programmer error or an oversight made in the program's design,0.0008742809295654,0.7727136611938477,0.9279968738555908,1.0,1.0,Bugs are usually the fault of whom or what?
11,Persia (in 1235) by Abi Bakr of Isfahan.,Persia,0.0008609294891357,0.9827017784118652,0.7122883796691895,0.2222222222222222,0.2222222222222222,What has the West historically referred Iran as?
12,Semiconductors.,photolithographed semiconductors,0.0008409023284912,0.5026485919952393,0.5725104808807373,0.6666666666666666,0.6666666666666666,Transistors are typically made up of what today?
