idx,generated_response,ground_truth,ir_time,generate_time,bert_score
0,Layer III decoders.,layer III,0.0009641647338867188,4.520530462265015,0.6086772680282593
1,1986.,1986,0.0010390281677246094,0.4880683422088623,0.9630259275436401
2,Pre-echo problems.,pre-echo problems,0.0009255409240722656,0.5249459743499756,0.9745525121688843
3,"Karlheinz Brandenburg adjusted the song ""Tom's Diner"" by Suzanne Vega.",Karlheinz Brandenburg,0.0009083747863769531,0.9863529205322266,0.5186872482299805
4,The 1640s.,the 1640s,0.0009105205535888672,0.5409338474273682,0.9826430678367615
5,Alexander.,Alexander,0.0009217262268066406,0.4147663116455078,0.9605340957641602
6,"Watt balance, X-ray crystal density method, and the measurement of the gyromagnetic ratio.",watt-balance measurement,0.0008637905120849609,0.9878077507019043,0.4416157603263855
7,Hellenistic kingdoms.,Hellenistic,0.0008969306945800781,0.508920431137085,0.8478232026100159
8,Mobile.,mobile,0.0008306503295898438,0.39575862884521484,0.9047050476074219
9,The army's main battle tank.,battle tank,0.0007910728454589844,0.5385136604309082,0.8194433450698853
