idx,generated_response,ground_truth,load_knowledge_time,generate_time,bert_score,rouge1_score,rougeL_score,question,gptscore
0, Brewery,a brewing company,0.3467075824737549,29.436367511749268,0.7866114377975464,0.0,0.0,What is company that makes beer typically known as? ,1
1," Glastonbury was an important religious centre by 700 and claims to be ""the oldest above-ground Christian church in the World"" situated ""in the mystical land of Avalon.""",Avalon became associated with Glastonbury Tor when monks at Glastonbury Abbey claimed to have discovered the bones of King Arthur and his queen,0.3450772762298584,38.72060132026672,0.5619105100631714,0.2745098039215686,0.196078431372549,What does Artharian legend claim about Glastonbury,0
2, Sugars.,sugars,0.1554188728332519,30.074382781982425,0.9714799523353576,1.0,1.0,"In brewing, what do starches become during the mashing process?",1
3, Solsternus,Solsternus,0.3458762168884277,30.21814274787903,1.0000001192092896,1.0,1.0,The Cathedral of Spoleto is signed by who?,1
4, 1848,1848,0.3462917804718017,29.95071196556092,1.0,1.0,1.0,What year were the Cambridge Rules first drawn up?,1
5, 0.13 seconds.,0.13 seconds,0.3538846969604492,30.718769550323486,0.9743090867996216,1.0,1.0,How long does it take a typical 100-watt bulb to achieve 90% of its brightness?,1
6, Tile.,tile,0.3504726886749267,29.52736186981201,0.933769941329956,1.0,1.0,What would later become the main Islamic form of wall decoration?,1
7, RIBA Enterprises,RIBA Enterprises,0.3243155479431152,30.033799648284912,1.0000001192092896,1.0,1.0,What is the name of the Royal Institute's business operation?,1
8, Two ways: Radiant luminous efficacy (LER) and Source luminous efficacy (LES).,two ways,0.3194136619567871,34.048486948013306,0.2054003775119781,0.3076923076923077,0.3076923076923077,How many different ways can a species be added to the endangered list?,0
9, Helios,Helios,0.3340568542480469,29.68427348136902,1.0000001192092896,1.0,1.0,What figure is dominant in the mosaic at Sepphoris?,1
10, Multan,Multan,0.340348482131958,29.65251541137696,1.0,1.0,1.0,Where is Zakria's shrine?,1
11, BPS-22,usually a BPS-22 Civil Servant,0.3174214363098144,30.12489461898804,0.6201591491699219,0.5,0.5,What rank is the Chief Secretary?,1
12, The former main lines of the Great Western Railway (GWR) are still in use today.,"The former main lines of the GWR are still in use today, although many of its branch lines were scrapped under the notorious Beeching Axe",0.3489017486572265,34.01542568206787,0.6443676352500916,0.6,0.6,What railways lines are still in use today ,1
13, Emblemata,emblemata,0.3178181648254394,29.799057483673096,1.0,1.0,1.0,What were small panel mosaics known as?,1
14, Holland.,Holland,0.3460128307342529,29.70058012008667,0.9607134461402892,1.0,1.0,Where were the vast majority of French language periodicals produced?,1
15, Yes.,caused a scandal,0.3577022552490234,29.842424392700195,0.1391305178403854,0.0,0.0, Was Duchamp's work considered controversial when displayed in 1912?,1
16," A fire damaged the mosque extensively, and many mosaics were lost.",a fire,0.3354201316833496,33.05007791519165,0.3024334609508514,0.3076923076923077,0.3076923076923077,What happened in 1893 that destroyed most of the mosaics in the mosque?,1
17, Newcastle upon Tyne.,15 Bonhill Street in London,0.33540940284729,30.43430161476136,0.3332533836364746,0.0,0.0,Where does RIBA's business group have its headquarters office?,0
18, 17.1,17.1 lumens per watt,0.3347454071044922,30.18504476547241,0.4559446275234222,0.5714285714285715,0.5714285714285715,"How many lumens per watt does a typical 100-watt, 120-volt lamp produce?",1
19, Iran,Iran,0.3417716026306152,29.45553231239319,1.0,1.0,1.0,"Along with Guatemala, what country's government did Eisenhower order overthrown?",1
20, London,London,0.3548660278320312,29.420562982559204,1.0,1.0,1.0,In what city did the US and Russia conduct nuclear talks in 1955?,1
21, 75%,is higher than the regional and national average,0.342128038406372,29.94893431663513,0.1047779098153114,0.0,0.0,What percentage of the population is economically active ,0
22," The most superb example of Umayyad mosaic floor paneling can be found in the bath house of Hisham's Palace, Palestine.",the bath house of Hisham's Palace,0.3411581516265869,36.48936033248901,0.5283495187759399,0.5,0.5,Where can the most superb example of Umayyad mosaic floor paneling?,1
23, 1000 hours.,1000 hours,0.3540709018707275,30.568212032318115,0.9439005255699158,1.0,1.0,What was the artificially low limit on bulb life placed by the cartel?,1
24, The Hymn to Ninkasi.,The Hymn to Ninkasi,0.3127427101135254,31.32532262802124,0.9915797114372252,1.0,1.0,What prayer did people use in Mesopotamia to remember a beer recipe?,1
25, Less,much less,0.3410906791687011,29.33571696281433,0.8612565398216248,0.6666666666666666,0.6666666666666666,Are tidewater glaciers more or less affected by climate change than other glaciers?,1
26, Ghazals and folk songs.,Ghazals and folk songs,0.349210262298584,30.973621129989624,0.9860418438911438,1.0,1.0,What kind of music does Roshen Ara Begum perform?,1
27, The Ascension of Christ.,Christ,0.3410885334014892,30.738075256347656,0.3659466505050659,0.4,0.4,Who is king of God's kingdom in heaven?,0
28," Inert gas reduces efficiency by conducting heat from the filament, thereby cooling the filament and reducing efficiency.","conducts heat from the filament, thereby cooling the filament",0.3239781856536865,34.30408263206482,0.677611231803894,0.6923076923076924,0.6923076923076924,Why does inert gas reduce efficiency?,1
29, Ravenna.,Ravenna,0.3482222557067871,29.799336194992065,0.9746361374855042,1.0,1.0,In the 5th century what was the capital of the Western Roman Empire?,1
30, 1914-1921,1909 to 1914,0.3382132053375244,30.69342446327209,0.8370224237442017,0.4,0.4,From what years did High Cubism take place? ,0
31," Around 1,000 hours.","1,000 hours",0.3497750759124756,30.814980506896973,0.8593777418136597,0.8571428571428571,0.8571428571428571,How long does a typical incandescent light bulb last?,1
