idx,generated_response,ground_truth,load_knowledge_time,generate_time,bert_score,rouge1_score,rougeL_score,question
0, 28th District,28th,88.55044460296631,93.8292679786682,0.6813010573387146,0.6666666666666666,0.6666666666666666,What day was South Korean professional footballer Son Heung-min awarded the Best Footballer in Asia 2014?
1, James and the Giant Peach.,James and the Giant Peach,88.90733933448792,95.04630160331726,0.9864711761474608,1.0,1.0,Which film came first James and the Giant Peach or Alice Through the Looking Glass?
2, The award is the Gielgud Award for Excellence in the Dramatic Arts.,Golden Quill,88.5682590007782,99.4107768535614,0.1360420137643814,0.0,0.0,What is the name of the award named in honor of the English actor who studied at the Royal Academy and had an eight decade career?
3, Asia,Asia,89.1792151927948,93.13893461227416,1.0,1.0,1.0,What continent can both Fraxinus and Rice be found?
4, 2017,2017,88.69173097610474,93.53053069114684,1.0000001192092896,1.0,1.0,"Jo In-sung, is a South Korean actor, he was in the film The King, released in which year, a South Korean political crime thriller film starring Jo In-sung and Jung Woo-sung?"
5, Jeff Struecker,Jeffrey D. Struecker,89.3225588798523,94.5966329574585,0.8267188668251038,0.4,0.4,"What author, pastor, and former US Army Ranger co-authored three books with Alton Gansky?"
6, Empire,Empire,88.96260619163513,92.9236319065094,0.9999999403953552,1.0,1.0,What tv series contering on a fictional hip hop music and entertainment company does actress V. Bozeman have a recurring role in?
7, Charles Grodin,Charles Grodin,89.27031373977661,94.13381004333496,1.0,1.0,1.0,"Rosemary's Baby is a 1968 American psychological horror film written and directed by Roman Polanski, based on the bestselling 1967 novel, of the same name by Ira Levin, the cast features which American actor, comedian, author, and former television talk show host?"
8," Cairns, Queensland.",north-east,88.74164748191833,94.22917318344116,0.4495734572410583,0.0,0.0,In what directional situation in Australia would one have found the main base of operation for the Aero-Tropics Air Services?
9, Wes Craven,Wes Craven,88.8382248878479,93.68727660179138,1.0,1.0,1.0,The plot of the comic ¡Pesadillaaa...! is a spoof of a series of movies created by who?
10, 1937,14 December 1946,89.00571632385254,93.84099626541138,0.6148210167884827,0.0,0.0,"When was the English-French actress born, that starred in the 1975 film ""Sept morts sur ordonnance"", who had a prolific career as an actress in British and French cinema?"
11," Bodyjar is from Australia, which is closer to Canada than Local H, which is from the United States.",Local H,89.08354187011719,101.81992864608765,0.3813666403293609,0.1999999999999999,0.1999999999999999,"Which band is from a country closer to Canada, Local H or Bodyjar?"
12, Jodie Whittaker,Jodie Whittaker,89.06019568443298,94.7444269657135,1.0,1.0,1.0,Who came to prominence in 2006 and starred in a 2008 British drama?
13, Lupita Nyong'o,Lupita Nyong'o,88.84442186355591,94.52934646606444,1.0000001192092896,1.0,1.0,Which Kenyan-Mexican Academy Award-winning actress is a  star of Star Wars: The Last Jedi?
14," September 13, 1981",9 November 1977,88.57258915901184,95.14311265945436,0.6853606700897217,0.0,0.0,No Shame is the debut studio album by Sarah De Bono who promoted the album by visting a super-regional shopping centre that opened on what date?
15," Mississippi Valley State University, a historically black university.",historically black university,89.08210563659668,96.90985655784608,0.8046015501022339,0.5454545454545454,0.5454545454545454,What type of university was the college that Arena Football League player Johnny Sims attended?
16, The World That They Live In,The World That They Live In,88.85291790962219,95.01193380355836,1.0,1.0,1.0,"What popular Korean drama  or K-drama, centered  on the personal and professional lives of those in the broadcasting industry, offering a realistic look at Korean drama production through the work and romance of two TV directors?"
17, Walter Mischel,Walter Mischel,88.75917410850525,94.04268884658812,1.0000001192092896,1.0,1.0,Which Austrian-born psychologist conducted the Stanford Marshmallow experiment?
18, They are both dancers.,actor and singer,89.41182208061218,94.90681409835815,0.4073868095874786,0.0,0.0,"Derek Hough and Joe Strummer, have which mutual occupations?"
19, To showcase and celebrate popular and trending content on YouTube.,spotlight videos and events,89.03385925292969,97.32189679145812,0.430890828371048,0.1428571428571428,0.1428571428571428,What is the common goal of Youtube spot light and rewind?
20, Westlife,Westlife,88.54254531860352,92.93700528144836,0.9999999403953552,1.0,1.0,Who's Doing the Dishes is a show hosted by the Irish singer-songwriter famous for being part of what group?
21, 1360,1421,88.55246591567993,93.3805606365204,0.3622084259986877,0.0,0.0,In what year was the last monarch under which Robert Waterton was a trusted servant of the House of Lancaster born?
22, Huh Jung,Huh Jung,89.00548911094666,93.84903931617735,1.0,1.0,1.0,Jeon Mi-seon starred in the 2013 directorial debut of which director?
23," ""The Facts of Life Goes to Paris""",Sidewinder 1,88.7249915599823,95.9504337310791,-0.0092243961989879,0.0,0.0,What was the name of the 1977 film Charlotte Rae starred in?
24, 14,fourteen,89.36227798461914,93.784761428833,0.8850047588348389,0.0,0.0,Jackie Gayle acted in the 1998 movie directed by the actor nominated for how many Academy Awards?
25, South Korea,South Korea,88.9720196723938,93.38437962532043,1.0,1.0,1.0,"From which country hails the film director, who co-wrote 'Welcome to Dongmakgol' the 2005 critical and commercial hit?"
26," Macclesfield, Cheshire.","Macclesfield, Cheshire",89.46184849739075,96.47801923751832,0.9878093600273132,1.0,1.0,"Where was the rock band that released ""Miyako Hideaway"" formed? "
27, Kamet,Abi Gamin,89.3283109664917,93.51334476470949,0.1986655443906784,0.0,0.0,"Between Kamet and Abi Gamin, which mountain is located in the Himalayan mountain range?  "
28, Now You See Me (2013),Now You See Me,88.78312826156616,95.78565096855164,0.694491982460022,0.888888888888889,0.888888888888889,What film grossed nearly $700 million worldwide and has a plot that follows an FBI agent and an Interpol detective who track a team of illusionists who pull off bank heists during their performances and reward their audiences with the money?
29, Western civilization.,Western civilization,88.91689920425415,93.74813795089722,0.9429267644882202,1.0,1.0,"Isaia is an Italian menswear brand founded in Naples in 1920, Italy is considered the birthplace of what and a cultural superpower?"
30, Yes.,no,88.7310848236084,93.12293791770936,0.5598188042640686,0.0,0.0,Are Chris Marker and Yvonne Rainer American?
31," Ed Solomon, Boaz Yakin and Edward Ricourt.",Joshua Zetumer,89.23116135597229,97.94930267333984,0.3976172208786011,0.0,0.0,"Charles Joel Nordström Kinnaman (born 25 November 1979) is a Swedish American actor, known for playing Alex Murphy in the 2014 ""RoboCop"" remake, the American cyberpunk superhero action film directed by José Padilha and written by who?"
32, Daniel Sturridge,Daniel Sturridge,89.05288863182068,94.31480193138124,1.0000001192092896,1.0,1.0,Which English professional footballer born in 1989 was coached by Youth Academy Director Jim Cassell?
33, Leoš Friedl,Leoš Friedl,89.10203886032104,94.37208080291748,1.0,1.0,1.0,Who won at Wimbledon first Jean-Julien Rojer or Leoš Friedl?
34," ""BareNaked""","""Kids Incorporated""",89.00126004219055,95.13713598251344,0.1371657848358154,0.0,0.0,"What Disney Channel series did the artist who recorded ""Can I Go Now"" act in?"
35, Ohio,Virginia/Kentucky,88.95638155937195,92.70911145210266,0.5630511045455933,0.0,0.0,Which states does the current US route 23 run through that we’re originally called the pine gap?
36, The American Civil War.,American Civil War,88.94271302223206,94.64516806602478,0.9226150512695312,0.8571428571428571,0.8571428571428571,The Calhoun Depot  was part of the military raid that took place during which event?
37," Yale University was founded first, in 1701.",Yale University,89.02378821372986,97.31499075889587,0.6370964646339417,0.4444444444444445,0.4444444444444445,George Herbert Walker's great-grandson graduated from where in 1968?
