idx,generated_response,ground_truth,reset_cache_time,generate_time,bert_score,rouge1_score,rougeL_score,question
0, Northeastern State University.,Northeastern State University,0.0004973411560058,1.5950078964233398,0.9759487509727478,1.0,1.0,What university has the largest Native American enrollment in the US?
1, Four times.,four times,0.0005378723144531,0.8076891899108887,0.9555034041404724,1.0,1.0,How much more efficient as standard incandescents was the white LED commercially available in 2003?
2," 1,600",around 400,0.0005013942718505,1.0096962451934814,0.4229780435562134,0.0,0.0,How many were killed in the bombing of the Thames Estuary?
3, Incendiary Fields.,Brandbombenfelder (Incendiary Fields),0.0004975795745849,1.212437629699707,0.6490362882614136,0.8,0.8,The Feuerleitung (Blaze Control) tactic led to what creation for marking targets?
4," September 7, 1940",7 September 1940,0.0005040168762207,1.603095769882202,0.9807481169700624,1.0,0.6666666666666666,What was the beginning date of the aerial raids on Great Britain?
5, 168 people died in the Oklahoma City bombing.,168,0.0004897117614746,2.1932976245880127,0.2120770514011383,0.2222222222222222,0.2222222222222222,How many people died in the Oklahoma City Bombing?
6," Tiredness, tension, and the physical demands of flying noisy, cold, and vibrating aircraft.","Bombers were noisy, cold, and vibrated badly",0.0004968643188476,4.157458543777466,0.5098093152046204,0.4,0.4,What contributed to the exhaustion of crews flying extra sorties?
7, Walter Bradford Cannon,Walter Bradford Cannon,0.0004918575286865,0.8160479068756104,1.0,1.0,1.0,Who argued that physiological responses were insufficient to explain emotional experiences?
8," The ""Bible Belt"".","the ""Bible Belt""",0.0004892349243164,1.4059035778045654,0.9758330583572388,1.0,1.0,What is the conservative Evangelical Christian region called?
9," John Cormack, who survived eight days trapped beneath rubble on Clydeside.","Herbert Morrison's famous ""Britain shall not burn"" appeal for more fireguards in December 1940.",0.0005152225494384,3.3723220825195312,0.1309974640607834,0.0,0.0,What is a second recording that is of note?
10, The component processing model of emotion.,components processing model,0.000497817993164,1.6027517318725586,0.5667557716369629,0.6666666666666666,0.6666666666666666,What model of emotion was developed by Scherer?
11, The University of Oklahoma campus and the Duck Pond in Norman.,the south oval of the University of Oklahoma campus,0.0004942417144775,2.587445020675659,0.6909630298614502,0.6,0.5,Where was the Medieval Fair of Norman held for its first 2 years?
12, Anthropology,anthropology,0.0004916191101074,0.6182875633239746,1.0,1.0,1.0,"In addition to linguistics and genetics, what field of study researches Samoan origins?"
13, AD 850-1450,between AD 850 and 1450,0.0004935264587402,1.4055185317993164,0.8553332686424255,0.7499999999999999,0.7499999999999999,When did Spiro Mounds flourish?
14, 4%,4%,0.0004975795745849,0.8174319267272949,0.9999999403953552,1.0,1.0,In 1940 what percentage used the Tube for a sleeping shelter?
15, Energy.,energy,0.0005021095275878,0.623260498046875,0.8861300349235535,1.0,1.0,The first law of thermodynamics asserts that what is always conserved and that heat flow is a form of energy transfer?
16, Dr. R. V. Jones,Dr. R. V. Jones,0.0005097389221191,1.6307287216186523,1.0,1.0,1.0,Which RAF technical advisor was the conversation passed onto?
17, The Pioneer Corps.,Pioneer Corps,0.0004897117614746,1.032283067703247,0.966135025024414,0.8,0.8,The Royal Army Pay Corps and what other group were in charge of salvage and clean-up?
18, The concept of airborne radar eventually became successful.,airborne radar,0.000490665435791,2.029684543609619,0.6554818153381348,0.4,0.4,What concept eventually became successful?
19, 1969,"December, 1969",0.0004985332489013,0.8302037715911865,0.8687996864318848,0.6666666666666666,0.6666666666666666,When was the Endangered Species Conservation Act passed?
20," Tulsa, Oklahoma.",Tulsa,0.0004963874816894,1.035090446472168,0.8989272117614746,0.6666666666666666,0.6666666666666666,Where is the furthest-inland oceangoing port in the US?
21," September 17, 1940",17 September,0.0005006790161132,1.6139488220214844,0.5664805769920349,0.8,0.4,What day did Hitler postponed Operation Sea Lion?
22," Sand Springs, Oklahoma.",Sand Springs,0.0004913806915283,1.2184772491455078,0.7793976068496704,0.8,0.8,Where is 'Discoveryland!'?
23, The Tulsa Shock.,Tulsa Shock,0.0004961490631103,1.0199720859527588,0.9471717476844788,0.8,0.8,What had Oklahoma's WNBA team been?
24, The land owner increased harvesting and shortened the age at which he harvests his trees to ensure that they do not become old enough to become suitable habitat for the red-cockaded woodpecker.,increased harvesting and shortened the age at which he harvests his trees to ensure that they do not become old enough to become suitable habitat,0.0004923343658447,7.967536211013794,0.7407619953155518,0.8620689655172413,0.8620689655172413,How did a land owner impact the protected red-cockaded woodpecker species?
25, The Air Ministry planned to replace Dowding with Sholto Douglas.,attack him and his abilities,0.0005123615264892,3.002596616744995,0.0554357208311557,0.0,0.0,What did the Air Ministry plan to do with his failures?
26," Infrastructure, housing stock, and ports.",commercial and domestic areas,0.0005044937133789,1.8122525215148928,0.489996999502182,0.2222222222222222,0.2222222222222222,What was primarily damaged in the attacks?
27, Dutch,Dutch,0.000490665435791,0.4248816967010498,1.0,1.0,1.0,What nationality was Jan Joosten van Lodensteijn?
28," Over 2,600","more than 2,600",0.0004925727844238,1.2185914516448977,0.8868813514709473,0.5714285714285715,0.5714285714285715,How many performances of Oklahoma! was Ridge Bond in?
29, Over one million people.,over one million,0.0004918575286865,1.2196128368377686,0.8005800247192383,0.8571428571428571,0.8571428571428571,How many people attend the Tulsa State Fair each year?
30, The Luftwaffe failed to achieve air superiority over Britain and ultimately failed to break the British morale.,failed in precision attack,0.0005030632019042,4.190403461456299,0.2129757404327392,0.0952380952380952,0.0952380952380952,What did the Luftwaffe fail?
31, Cotton-top tamarins.,cotton-top tamarin,0.000500202178955,1.4218604564666748,0.934345543384552,1.0,1.0,The Center for Public Integrity found that 151 of what primate were moved from the New England Primate Research Center into exotic pet trade?
32," The RAF might have pulled out to the north, waited for the German invasion, then redeployed southward again.",the north,0.0004985332489013,4.975360631942749,0.3210631012916565,0.1999999999999999,0.1999999999999999,Where do some archaeologists speculate Sumerians originally moved from?
33, The Bristol Blenheim F.1 struggled to reach the speed of the German bombers.,struggled to reach the speed of the German bombers,0.000504732131958,3.5903220176696777,0.8104957938194275,0.782608695652174,0.782608695652174,How did the Bristol Blenheim F.1 compare to German aircraft speed?
34, Earl Baysinger,Dr. Earl Baysinger,0.0004973411560058,1.0192182064056396,0.9056602716445924,0.8,0.8,Who was the core staffer to the legislation that worked for the EPA and continued to work in the Office of Endangered Species?
35, The Spitfire Funds were used to build fighters.,to build fighters,0.0004940032958984,2.1916391849517822,0.6402589082717896,0.5454545454545454,0.5454545454545454,What were Spitfire Funds used for?
36, The Royal Navy.,Royal,0.0005004405975341,1.014890432357788,0.5828114748001099,0.5,0.5,Which Navy was assumed not to be able to operate under German air superiority?
37, The heavy fighting in the Battle of Britain.,the Battle of Britain,0.0005078315734863,1.9952757358551023,0.8887152671813965,0.6666666666666666,0.6666666666666666,What used most of Fighter Command's resources?
38, Interstate 44 in Oklahoma City.,Interstate 44,0.000497817993164,1.6015732288360596,0.8033188581466675,0.5714285714285715,0.5714285714285715,What is the busiest highway in Oklahoma?
39, Jonathan Turner,Jonathan Turner,0.0005059242248535,0.6186447143554688,1.0000001192092896,1.0,1.0,Who developed a comprehensive theory related to human emotional arousal?
40, 6,six,0.0004968643188476,0.6194479465484619,0.9383978843688964,0.0,0.0,How many periods of geology are within the Paleozoic era?
41," The Forest Service, and either the FWS or the NMFS will have consulted on the biological implications of the timber harvest.","the Forest Service, and either the FWS or the NMFS",0.0005006790161132,5.193849802017212,0.6509195566177368,0.6451612903225806,0.6451612903225806,Who reviews exemption considerations before the Endangered Species committee?
42, London,London,0.0004923343658447,0.4264168739318847,1.0,1.0,1.0,In what city did the US and Russia conduct nuclear talks in 1955?
43," Voluntary actions such as land purchases, grant making, restoration, and establishment of reserves.","land purchases, grant making, restoration, and establishment of reserves",0.0004999637603759,3.7839102745056152,0.8314836025238037,0.8181818181818181,0.8181818181818181,What are some non-regulation actions that critical habitats encourage?
44, Vietnamese,Vietnamese,0.0005102157592773,0.4245667457580566,1.0000001192092896,1.0,1.0,What is Oklahoma's fifth most popular language?
45," Spiro Mounds, a prehistoric earthwork mound complex.",Spiro Mounds,0.0005147457122802,2.798288106918335,0.864105761051178,0.4444444444444445,0.4444444444444445,"What was Spiro, Oklahoma named for?"
46, Night missions and their disadvantages.,night missions and their disadvantages,0.0004982948303222,1.4125158786773682,0.9747285842895508,1.0,1.0,What did the Air Force believe they could avoid if they carried out effective day missions?
47," 45,000","18,291 short tons",0.0004947185516357,1.014892578125,0.1737044155597686,0.0,0.0,The Luftwaffe dropped how many short tons of bombs?
48, He woke up to discover the entire crew asleep.,woke up to discover the entire crew asleep.,0.000497817993164,2.198920249938965,0.921101450920105,0.9411764705882352,0.9411764705882352,What happened to Peter Stahl when he fell asleep flying?
49, Attacking land-based aircraft industries.,bombing land-based aircraft industries,0.0005147457122802,1.6083433628082275,0.8619271516799927,0.8000000000000002,0.8000000000000002,What was considered more important than the interdiction of sea communications?
50, The red-cockaded woodpecker.,butterflies,0.00050950050354,2.003422737121582,0.369788259267807,0.0,0.0,What type of animal was being protected in the area that received the first HCP?
51, 1900,1900,0.0004987716674804,0.8167095184326172,1.0000001192092896,1.0,1.0,When did the Boxers begin to kill missionaries and Chinese Christians?
52," Pinyon pines, red cedar (junipers), and ponderosa pines grow near rivers and creek beds in the far western reaches of the panhandle.","pinyon pines, red cedar (junipers), and ponderosa pines",0.000495433807373,6.738450765609741,0.7626925110816956,0.5333333333333333,0.5333333333333333,What types of trees grow near rivers in western Oklahoma?
53," He falsified or misrepresented information to Hitler, and arranged a display of the Luftwaffe's equipment to give the impression that the air force was more prepared for a strategic air war than it actually was.",misrepresent what information,0.0005013942718505,8.321238279342651,0.3704322576522827,0.1025641025641025,0.1025641025641025,What did Goring do because of his fear of Hitler?
54, Oklahoma ranks 5th in the nation for production of wheat.,5th,0.0004985332489013,2.791555404663086,0.2881675362586975,0.1818181818181818,0.1818181818181818,In what arrondissement is the Sorbonne library in Paris located?
55, They were poorly equipped and lacking in numbers.,poorly equipped and lacking in numbers,0.0005035400390625,2.0006179809570312,0.800829291343689,0.8571428571428571,0.8571428571428571,What was wrong with the anti aircraft units?
56, Oklahoma ranks 27th in the nation for agricultural production.,27th,0.000502586364746,2.592764377593994,0.2419983297586441,0.1999999999999999,0.1999999999999999,How does Oklahoma rank among US states for agriculture?
57, The thalamus is a part of the diencephalon.,the diencephalon,0.0005075931549072,2.987378597259521,0.6935532093048096,0.4,0.4,What is the thalamus a part of?
58, 57,57 ships,0.0005116462707519,0.6215555667877197,0.6334662437438965,0.6666666666666666,0.6666666666666666,"How many ships were destroyed on May 8, 1941?"
59," Pioneering work by Broca (1878), Papez (1937), and MacLean (1952) suggested that emotion is related to a group of structures in the center of the brain called the limbic system, which includes the hypothalamus, cingulate cortex, hippocampi, and other structures.",Papez,0.0005056858062744,13.657793045043944,0.2287055402994156,0.048780487804878,0.048780487804878,Who published a work in 1937 on the relationship between emotion and the limbic system?
60, The London Underground stations.,Underground railway system,0.0004980564117431,1.2341408729553225,0.611495316028595,0.2857142857142857,0.2857142857142857,What did Londoners use for bomb-shelters?
61, 1890,1890,0.0004994869232177,0.8208472728729248,1.0,1.0,1.0,When did Robert Louis Stevenson sail on the ship Janet Nicoll?
62, General Frederick Alfred Pile,General Frederick Alfred Pile,0.0004971027374267,1.2170698642730713,1.0000001192092896,1.0,1.0,Who fired anti-defense rounds?
63, The Philbrook Museum of Tulsa is a fine art museum.,fine art,0.0004942417144775,2.606078863143921,0.4333075881004333,0.3333333333333333,0.3333333333333333,What kind of museum is the Philbrook?
64, 1.7 million,1.7 million,0.0005035400390625,1.2192749977111816,1.0,1.0,1.0,How many Georgians speak Russian actively?
65, The Women's Voluntary Services for Civil Defence (WVS).,Women's Voluntary Services for Civil Defence,0.0005013942718505,2.80535101890564,0.8561624884605408,0.8750000000000001,0.8750000000000001,What group did Samuel Hoare set up in 1938?
66," The whooping crane's historical range extended from central Canada South to Mexico, and from Utah to the Atlantic coast.","central Canada South to Mexico, and from Utah to the Atlantic coast",0.0005052089691162,4.785445928573608,0.5794011354446411,0.7499999999999999,0.7499999999999999,What was the historical range of the whooping crane?
67, Fear,fear,0.0005004405975341,0.4298658370971679,1.0,1.0,1.0,What emotion do political campaigns appeal to in regard to terrorism?
68, 7,seven,0.0004875659942626,0.6214611530303955,0.9258614778518676,0.0,0.0,How many Monument Zones are present in the Kathmandu valley?
69, An emotion-evoking stimulus.,stimulus,0.0004966259002685,1.4055349826812744,0.6491297483444214,0.4,0.4,"In this theory, what action evokes an emotion?"
70, The Lorenz beam allowed aircraft to land at night or in bad weather.,land at night or in bad weather,0.0004987716674804,3.175062656402588,0.4571125507354736,0.7000000000000001,0.7000000000000001,What did the Lorenz beam allow aircraft to do?
71, Semi-arid climate.,semi-arid,0.0004990100860595,1.207874774932861,0.9252310991287231,0.8,0.8,What is Oklahoma's western climate type?
72, Almost six years.,almost six years,0.000500202178955,1.011199951171875,0.9606724977493286,1.0,1.0,How long were lights not allowed on after dark?
73, Bombers were flown with airborne search lights out of desperation.,airborne search lights,0.0004961490631103,2.585435390472412,0.6601369976997375,0.4615384615384615,0.4615384615384615,The bombers used what out of desperation?
74," The X-Gerat frequencies were used more because of their wider band of frequencies and greater tactical flexibility, which ensured they remained effective despite British selective jamming.",British selective jamming was degrading the effectiveness of Y-Gerät,0.0005021095275878,6.519336223602295,0.7194169759750366,0.3157894736842105,0.1578947368421052,Why was the X-Gerat frequencies used more?
75, Morale and the British war economy.,suicides and drunkenness,0.0005042552947998,1.7994792461395264,0.1619359999895095,0.2222222222222222,0.2222222222222222,What two things declined during the attacks in Britain?
76," The needs of open space for individual and population growth, food, water, light or other nutritional requirements, breeding sites, seed germination and dispersal needs, and lack of disturbances.",seed germination and dispersal needs,0.0005056858062744,7.609549283981323,0.6747201681137085,0.303030303030303,0.303030303030303,What is an example of a critical habitat consideration that would apply to plant wildlife?
77, One-third of London's streets were impassable after a raid on 11/12 May 1941.,One-third of London's streets were impassable,0.0004999637603759,4.644503116607666,0.7427961826324463,0.6666666666666666,0.6666666666666666,What was the damage done to London's streets?
78," The OKL was forced to improvise due to the diversion of heavier bombers to the Balkans, resulting in a shortage of bombers for the campaign against Britain.",shortage of bombers,0.0005037784576416,6.653959512710571,0.5498660802841187,0.1999999999999999,0.1999999999999999,Why was the OKL forced to improvise?
79, Approximately six years.,approximately six years,0.0005052089691162,1.0360848903656006,0.966960906982422,1.0,1.0,What is the average time of completion of an Endangered Species Recovery Plan?
80, Hitler threatened small nations into accepting German rule by threatening air bombardment.,air bombardment,0.0004956722259521,3.039851427078247,0.5070990324020386,0.2857142857142857,0.2857142857142857,How did Hitler threaten small nations into accepting German rule?
81, Harvard,Harvard,0.0004975795745849,0.4311683177947998,1.0000001192092896,1.0,1.0,What university was Landis Gores associated with?
82, More than 25 Native American languages are spoken in Oklahoma.,more than 25,0.0005004405975341,2.6380515098571777,0.2911199927330017,0.4615384615384615,0.4615384615384615,How many Native American languages are used in Oklahoma?
83, Meacon system,Meacon,0.0005013942718505,0.8334362506866455,0.8249185085296631,0.6666666666666666,0.6666666666666666,What system used a separate locations for a receiver and a directional aerial?
84, 1939,the moment was right,0.000495433807373,0.832728385925293,0.1833115816116333,0.0,0.0,In 1939 Hitler said bombing of Britain would begin when?
85," Hitler hoped the bombing of Allies would cause a collapse of civilian will, leading to a collapse of production and civil life.",policy of moderation,0.0005037784576416,5.047299385070801,0.1552698016166687,0.08,0.08,What policy did Hitler hope the bombing of Allies would cause? 
86, Shyness.,shyness,0.0005023479461669,1.0164189338684082,0.934301495552063,1.0,1.0,"Along with behavioral inhibition, research on what trait resulted in support for the Action Tendency Model?"
87," In Oklahoma, elections can be held by the state's 77 counties, which are headed by a three-member council of elected commissioners, a tax assessor, clerk, court clerk, treasurer, and sheriff.",Both county and municipal governments,0.0005280971527099,8.488240718841553,0.4843056797981262,0.1081081081081081,0.1081081081081081,Who can hold elections in Oklahoma?
88, Planning for daylight fighter defences.,daylight fighter defences,0.0005099773406982,1.6028525829315186,0.908965528011322,0.7499999999999999,0.7499999999999999,What did the RAF put most of their resources into?
89, The lack of provisions for in-state commerce in the Endangered Species Act.,the ESA allows listed species to be shipped across state lines as long as they are not sold,0.0004973411560058,3.1744487285614014,0.5416522026062012,0.1935483870967742,0.1290322580645161,What allows exploitation of interstate commerce regulations?
90, 17 °F (-8 °C),17 °F,0.000495433807373,1.9953842163085935,0.8858330249786377,0.6666666666666666,0.6666666666666666,What is Oklahoma's record low temperature for Nov 11?
91, 120 °F (49 °C),120 °F,0.0005192756652832,1.9944465160369875,0.8915066719055176,0.6666666666666666,0.6666666666666666,What was Oklahoma's record high temperature?
92, 247,247,0.0004961490631103,0.6183886528015137,1.0,1.0,1.0,How many Air Fleet 3 attacked that night?
93, Boiler fire.,boiler,0.0005145072937011,0.8168258666992188,0.8242340087890625,0.6666666666666666,0.6666666666666666,"Two tanks one of oil, one of water fed what kind of fire?"
94, Operation Sea Lion,Operation Sea Lion,0.0004932880401611,0.8167998790740967,1.0,1.0,1.0,What was the name of the Luftwaffe plan to invade Britain?
95, Goffman,Goffman,0.0004901885986328,0.8255748748779297,1.0,1.0,1.0,"In addition to Durkheim, whose work influenced the development of interaction ritual theory?"
96, Habitat destruction.,habitat destruction,0.0005068778991699,0.83294677734375,0.9500181078910828,1.0,1.0,What was concluded to be the biggest threat to the listed species?
