idx,generated_response,ground_truth,ir_time,generate_time,bert_score,rouge1_score,rougeL_score
0,Robin van Persie.,Robin van Persie,0.0015025138854980469,2.612912654876709,0.9897507429122925,1.0,1.0
1,"Jennifer Beals, Matthew Modine, and Joe Morton starred in the cancelled series ""Proof"", while the Netflix series ""Stranger Things"" features a large ensemble cast, including David Harbour, Finn Wolfhard, and Millie Bobby Brown.",Matthew Modine,0.0013294219970703125,3.369891405105591,0.3477359712123871,0.1142857142857143,0.1142857142857143
2,None.,Walt Disney Productions,0.001245260238647461,1.1954445838928223,0.15358276665210724,0.0,0.0
3,Jonathan Rea.,Jonathan Rea,0.0012226104736328125,1.3238153457641602,0.9833773970603943,1.0,1.0
4,Marvel Comics.,Marvel Comics,0.0012819766998291016,1.1749498844146729,0.9408357739448547,1.0,1.0
5,Adele.,Adele,0.0011663436889648438,1.1449341773986816,0.971667468547821,1.0,1.0
6,Owen Jones,Owen Jones,0.001222848892211914,1.1649584770202637,1.0,1.0,1.0
7,2009.,2009,0.0011982917785644531,1.1867921352386475,0.9539592266082764,1.0,1.0
8,Shinya Aoki.,Kazushi Sakuraba,0.0012812614440917969,1.3508601188659668,0.3155048191547394,0.0,0.0
9,Sylvester Stallone.,Sylvester Stallone,0.0012729167938232422,1.3614263534545898,0.9812987446784973,1.0,1.0
10,1962,1962,0.0012428760528564453,1.2581748962402344,1.0,1.0,1.0
11,Oregon.,New York,0.0012667179107666016,1.2103664875030518,0.420688658952713,0.0,0.0
12,Boardwalk Empire.,Terence Winter,0.0012073516845703125,1.3248810768127441,0.23891355097293854,0.0,0.0
13,Ares and Right On! are magazines.,magazine,0.001238107681274414,1.5150628089904785,0.5390641093254089,0.2857142857142857,0.2857142857142857
14,Yes.,yes,0.0011584758758544922,1.057513952255249,0.836855947971344,1.0,1.0
15,The Ole Miss riot of 1962.,The Ole Miss riot of 1962,0.0013952255249023438,1.6270241737365723,0.9877935647964478,1.0,1.0
16,Canada.,Canada,0.001294851303100586,1.2231338024139404,0.9222739934921265,1.0,1.0
17,Billie Joe Armstrong.,Billie Joe Armstrong,0.0012133121490478516,1.3288309574127197,0.9787123203277588,1.0,1.0
18,Isabella of Portugal.,Isabella of Portugal,0.0012216567993164062,1.3874695301055908,0.9871997237205505,1.0,1.0
