idx,generated_response,ground_truth,load_knowledge_time,generate_time,bert_score,rouge1_score,rougeL_score,question,gptscore
0, Northeastern State University.,Northeastern State University,0.0736196041107177,19.87975549697876,0.9759487509727478,1.0,1.0,What university has the largest Native American enrollment in the US?,1
1, Four times.,four times,0.3130886554718017,19.337383270263672,0.9555034041404724,1.0,1.0,How much more efficient as standard incandescents was the white LED commercially available in 2003?,1
2," 1,600",around 400,0.0804369449615478,19.596275568008423,0.4229780435562134,0.0,0.0,How many were killed in the bombing of the Thames Estuary?,0
3, Incendiary Fields.,Brandbombenfelder (Incendiary Fields),0.3073737621307373,19.84763264656067,0.6490362882614136,0.8,0.8,The Feuerleitung (Blaze Control) tactic led to what creation for marking targets?,1
4," September 7, 1940.",7 September 1940,0.0676250457763671,20.3957908153534,0.9640204906463624,1.0,0.6666666666666666,What was the beginning date of the aerial raids on Great Britain?,1
5, 168 people died in the Oklahoma City bombing.,168,0.0706944465637207,20.821049213409424,0.2120770514011383,0.2222222222222222,0.2222222222222222,How many people died in the Oklahoma City Bombing?,1
6," Tiredness, tension, and the physical demands of flying noisy, cold, and vibrating aircraft.","Bombers were noisy, cold, and vibrated badly",0.0739388465881347,22.79855751991272,0.5098093152046204,0.4,0.4,What contributed to the exhaustion of crews flying extra sorties?,1
7, Walter Bradford Cannon.,Walter Bradford Cannon,0.075629711151123,19.512635707855225,0.9863770008087158,1.0,1.0,Who argued that physiological responses were insufficient to explain emotional experiences?,1
8," The ""Bible Belt"".","the ""Bible Belt""",0.0685961246490478,20.04798936843872,0.9758330583572388,1.0,1.0,What is the conservative Evangelical Christian region called?,1
9," John Cormack, who survived eight days trapped beneath rubble on Clydeside.","Herbert Morrison's famous ""Britain shall not burn"" appeal for more fireguards in December 1940.",0.0879271030426025,22.045527696609497,0.1309974640607834,0.0,0.0,What is a second recording that is of note?,0
10, The component processing model of emotion.,components processing model,0.0839557647705078,20.26901054382324,0.5667557716369629,0.6666666666666666,0.6666666666666666,What model of emotion was developed by Scherer?,1
11, The University of Oklahoma campus.,the south oval of the University of Oklahoma campus,0.0750861167907714,19.98814463615417,0.8458245992660522,0.7142857142857143,0.7142857142857143,Where was the Medieval Fair of Norman held for its first 2 years?,0
12, Anthropology,anthropology,0.07879638671875,19.11013603210449,1.0,1.0,1.0,"In addition to linguistics and genetics, what field of study researches Samoan origins?",1
13, AD 850-1450,between AD 850 and 1450,0.0862989425659179,19.94795823097229,0.8553332686424255,0.7499999999999999,0.7499999999999999,When did Spiro Mounds flourish?,1
14, 4%,4%,0.0677077770233154,19.42023515701294,0.9999999403953552,1.0,1.0,In 1940 what percentage used the Tube for a sleeping shelter?,1
