idx,generated_response,ground_truth,ir_time,generate_time,bert_score,rouge1_score,rougeL_score,question
0,There is no mention of liberal groups in the given context.,New Left,0.0007810592651367,1.8125407695770264,0.2117685377597808,0.0,0.0,What was the term for the liberal groups appearing at this time?
1,Cotton yarn can be used for crochet and knitting.,crochet and knitting,0.0008187294006347,0.5047512054443359,0.7759372591972351,0.5,0.5,For what can cotton yarn be used?
2,"""Superheroes in the real world"" approach.","""superheroes in the real world""",0.0007274150848388,0.4999635219573974,0.9100666046142578,0.9090909090909092,0.9090909090909092,The emphasis on relatable settings and character motivations in Marvel's 1960s comics is called what?
3,18th and 19th centuries.,late 18th and early 19th,0.0006229877471923,0.465897798538208,0.7712532877922058,0.6666666666666665,0.6666666666666665,During what centuries did British rule effect Indian cotton production?
4,The FBI and the CIA.,"FBI, CIA",0.0006153583526611,0.3550789356231689,0.8688422441482544,0.5714285714285715,0.5714285714285715,What two agencies had a lack of co-operation?
5,"42,094","42,094",0.0006392002105712,0.2840170860290527,1.0000001192092896,1.0,1.0,Between August 24th and October 26th how many German's left the Oblast to the Soviet Occupation zone?
6,The Glock pistol.,real-life cities,0.0006401538848876,0.2820439338684082,0.0545421503484249,0.0,0.0,Fictional placements within this setting are modeled off what?
7,Egypt.,Egyptian,0.0005991458892822,0.2113049030303955,0.8043161630630493,0.0,0.0,What religious life was the Ptolemaic Kingdom?
8,6000-5000 BCE.,Neolithic,0.000565767288208,0.4287331104278564,0.4285635948181152,0.0,0.0,What geologic period came after the Mesolithic period in India?
9,The U.S Supreme Court.,Supreme Court,0.0006427764892578,0.3536505699157715,0.8750542402267456,0.5714285714285715,0.5714285714285715,What is Liberia's highest judicial authority? 
10,"Ladybirds, lacewings, and spiders.","ladybirds, lacewings and spiders",0.0006263256072998,0.5028076171875,0.9756391048431396,1.0,1.0,What did the 2012 study say was doubled by the use of GM cotton?
11,Some of Marvel's genre titles were published in larger-format black and white magazines under its Curtis Magazines imprint.,"larger-format black and white magazines, under its Curtis Magazines imprint",0.0005695819854736,0.9472112655639648,0.8177821636199951,0.7096774193548387,0.7096774193548387,How were some of Marvel's genre titles published in the 1970s?
12,The Fantastic Four #1 (Nov. 1961) was the first issue of Marvel's first superhero team.,drug abuse,0.0007152557373046,0.968496322631836,0.0176260322332382,0.0,0.0,What issue was Marvel asked to tackle for this agency?
13,The FBI is a law enforcement agency.,FBI is primarily a domestic agency,0.000683307647705,0.4160346984863281,0.8399896621704102,0.6153846153846153,0.6153846153846153,What kind of agency is the FBI?
14,"""Seekers of the Weird""","""Seekers of the Weird""",0.0006582736968994,0.3962500095367431,0.9999998807907104,1.0,1.0,What was the first title published in that joint line of comics?
15,Guardians of the Galaxy.,Guardians of the Galaxy,0.000586986541748,0.2868111133575439,0.972819209098816,1.0,1.0,What Marvel movie featured Star-Lord and Gamora?
16,4 men were allowed to be convicted.,four,0.0006353855133056,0.469404935836792,0.4189002513885498,0.0,0.0,In how many directions does the Buddha of Swayambhu look?
17,The US government and the public were not directly mentioned as reacting to these discoveries in the given text.,"The country was ""jolted""",0.0006206035614013,0.8707432746887207,0.206639289855957,0.0869565217391304,0.0869565217391304,How did the US react to these discoveries?
18,Pocket Books.,Pocket Books,0.0006601810455322,0.2478895187377929,0.9722139835357666,1.0,1.0,"In 2005, Marvel dropped it's own publishing rights for novelization and instead partnered with what publisher?"
