idx,generated_response,ground_truth,ir_time,generate_time,bert_score,rouge1_score,rougeL_score
0,The Glastonbury Festival 2015.,Glastonbury Festival 2015,0.0010056495666503906,5.320676803588867,0.9750235080718994,0.8571428571428571,0.8571428571428571
1,Jon Brion.,Jon Brion,0.0008416175842285156,0.2967660427093506,0.9778507947921753,1.0,1.0
2,"Yes, English is the de facto official language, but not de jure.",", the continual influx of Spanish-speaking immigrants increased the import of Spanish in Texas.",0.0007052421569824219,0.753657341003418,0.17630314826965332,0.07692307692307691,0.07692307692307691
3,Music streaming.,lossless audio and high definition music videos,0.0006420612335205078,0.2555365562438965,0.36533480882644653,0.22222222222222224,0.22222222222222224
4,"The text does not mention the ""Concert for the People of Kampuchea"". It mentions a ""Concert for Hurricane Relief"" but no organization is credited with organizing it.",Paul McCartney,0.0006639957427978516,1.5245726108551025,0.11376728117465973,0.0,0.0
5,Jimmy Kimmel.,Jimmy Kimmel,0.0007221698760986328,0.29265809059143066,0.9740058779716492,1.0,1.0
6,Capitol Records.,Capitol Records,0.0006253719329833984,0.25550198554992676,0.9684208631515503,1.0,1.0
7,808s & Heartbreak.,Graduation,0.0006196498870849609,0.4097881317138672,0.12869606912136078,0.0,0.0
8,Homophobia in hip hop.,homophobia in hip hop,0.0006690025329589844,0.3684256076812744,0.9861371517181396,1.0,1.0
9,A Multipoint Control Unit (MCU).,Multipoint Control Unit (MCU),0.0005915164947509766,0.48584437370300293,0.9303098917007446,0.888888888888889,0.888888888888889
10,"""We Are the Champions""",We Are the Champions,0.0006568431854248047,0.35749363899230957,0.8640385866165161,1.0,1.0
11,Virgo.,Virgo,0.0005970001220703125,0.2556424140930176,0.96601402759552,1.0,1.0
12,Nanjing University.,English,0.0005643367767333984,0.29422736167907715,0.24366945028305054,0.0,0.0
13,"Mixed-to-negative reviews for the debut show, but improved reception for the sophomore effort.",mixed-to-negative reviews,0.000560760498046875,0.7923970222473145,0.6883981823921204,0.4210526315789474,0.4210526315789474
14,There is no mention of Kanye West touring with Queen in the given context.,U2,0.0005939006805419922,0.716773271560669,0.26335999369621277,0.0,0.0
15,Iran.,Iran,0.0006117820739746094,0.21823501586914062,0.92861407995224,1.0,1.0
16,Norman Sheffield under Neptune Productions.,Norman Sheffield,0.0006055831909179688,0.37129664421081543,0.7077380418777466,0.5714285714285715,0.5714285714285715
17,"Yes, until the 1940s.",The area of the former Gadsden Purchase contained a majority of Spanish-speakers until the 1940s,0.0005669593811035156,0.4848053455352783,0.30477291345596313,0.3,0.3
18,Rolling Stone's 500 Greatest Albums of All Time.,Album of the Year,0.0007290840148925781,0.5457220077514648,0.4539288282394409,0.30769230769230765,0.30769230769230765
19,3,3,0.0006277561187744141,0.2179555892944336,1.0,1.0,1.0
20,Plain Old Telephone System.,Plain Old Telephone System,0.0005872249603271484,0.33249354362487793,0.9740750789642334,1.0,1.0
21,1977.,1977,0.0006539821624755859,0.29332804679870605,0.9569631814956665,1.0,1.0
22,Elton John and the Béjart Ballet.,Elton John and the Béjart Ballet,0.0006089210510253906,0.5632236003875732,0.9769803285598755,1.0,1.0
23,"""This Can't Be Life""","""This Can't Be Life""",0.0006351470947265625,0.4094116687774658,1.0000001192092896,1.0,1.0
24,"""Decentralized multipoint""",decentralized multipoint,0.0005581378936767578,0.39063501358032227,0.960098385810852,1.0,1.0
25,Videoconferencing can help a person learn by participating in two-way communication forums.,money savings,0.0006339550018310547,0.795001745223999,0.013353172689676285,0.0,0.0
26,BBC Radio 1.,BBC Radio 1,0.0006437301635742188,0.3328893184661865,0.9759782552719116,1.0,1.0
27,20 million.,20 million,0.0005934238433837891,0.2957954406738281,0.972656786441803,1.0,1.0
28,Yeezus.,Yeezus,0.0006229877471923828,0.3355228900909424,0.9499840140342712,1.0,1.0
