idx,generated_response,ground_truth,reset_cache_time,generate_time,bert_score,rouge1_score,rougeL_score,question
0, Brewery,a brewing company,0.0008642673492431,0.6516396999359131,0.7866114377975464,0.0,0.0,What is company that makes beer typically known as? 
1, Avalon became associated with Glastonbury Tor.,Avalon became associated with Glastonbury Tor when monks at Glastonbury Abbey claimed to have discovered the bones of King Arthur and his queen,0.0005319118499755,2.990661144256592,0.715582013130188,0.4137931034482758,0.4137931034482758,What does Artharian legend claim about Glastonbury
2, Sugars.,sugars,0.0004987716674804,1.0280897617340088,0.9714799523353576,1.0,1.0,"In brewing, what do starches become during the mashing process?"
3, Solsternus,Solsternus,0.000483751296997,1.2737805843353271,1.0000001192092896,1.0,1.0,The Cathedral of Spoleto is signed by who?
4, 1848,1848,0.0004897117614746,1.0293891429901123,1.0,1.0,1.0,What year were the Cambridge Rules first drawn up?
5, 0.13 seconds.,0.13 seconds,0.0004892349243164,1.772475004196167,0.9743090867996216,1.0,1.0,How long does it take a typical 100-watt bulb to achieve 90% of its brightness?
6, Tile.,tile,0.0004856586456298,0.7784421443939209,0.933769941329956,1.0,1.0,What would later become the main Islamic form of wall decoration?
7, RIBA Enterprises,RIBA Enterprises,0.0004892349243164,1.2746543884277344,1.0000001192092896,1.0,1.0,What is the name of the Royal Institute's business operation?
8, Two ways: Radiant luminous efficacy (LER) and Source luminous efficacy (LES).,two ways,0.0004961490631103,4.998422622680664,0.2054003775119781,0.3076923076923077,0.3076923076923077,How many different ways can a species be added to the endangered list?
9, Helios,Helios,0.0004897117614746,0.7844302654266357,1.0000001192092896,1.0,1.0,What figure is dominant in the mosaic at Sepphoris?
10, Multan,Multan,0.0004897117614746,0.7828481197357178,1.0,1.0,1.0,Where is Zakria's shrine?
11, BPS-22,usually a BPS-22 Civil Servant,0.0004947185516357,1.280381441116333,0.6201591491699219,0.5,0.5,What rank is the Chief Secretary?
12, The former main lines of the Great Western Railway (GWR) are still in use today.,"The former main lines of the GWR are still in use today, although many of its branch lines were scrapped under the notorious Beeching Axe",0.0004889965057373,5.057196378707886,0.6443676352500916,0.6,0.6,What railways lines are still in use today 
13, Emblemata,emblemata,0.0004990100860595,0.7920224666595459,1.0,1.0,1.0,What were small panel mosaics known as?
14, Holland,Holland,0.0004904270172119,0.5488286018371582,1.0,1.0,1.0,Where were the vast majority of French language periodicals produced?
15, Yes.,caused a scandal,0.0004873275756835,0.8019180297851562,0.1391305178403854,0.0,0.0, Was Duchamp's work considered controversial when displayed in 1912?
16," A fire damaged the mosque extensively, and many mosaics were lost.",a fire,0.0004942417144775,4.134902715682983,0.3024334609508514,0.3076923076923077,0.3076923076923077,What happened in 1893 that destroyed most of the mosaics in the mosque?
17, Newcastle upon Tyne,15 Bonhill Street in London,0.0004990100860595,1.3203980922698977,0.316063642501831,0.0,0.0,Where does RIBA's business group have its headquarters office?
18, 17.1,17.1 lumens per watt,0.0004820823669433,1.3238153457641602,0.4559446275234222,0.5714285714285715,0.5714285714285715,"How many lumens per watt does a typical 100-watt, 120-volt lamp produce?"
19, Iran,Iran,0.0004975795745849,0.5516936779022217,1.0,1.0,1.0,"Along with Guatemala, what country's government did Eisenhower order overthrown?"
20, London,London,0.0004887580871582,0.5507442951202393,1.0,1.0,1.0,In what city did the US and Russia conduct nuclear talks in 1955?
21, 75%,is higher than the regional and national average,0.0004909038543701,1.066636562347412,0.1047779098153114,0.0,0.0,What percentage of the population is economically active 
22, The Umayyad Mosque in Damascus.,the bath house of Hisham's Palace,0.0004920959472656,2.6241135597229004,0.2979296445846557,0.1666666666666666,0.1666666666666666,Where can the most superb example of Umayyad mosaic floor paneling?
23, 1000 hours.,1000 hours,0.0004894733428955,1.590141773223877,0.9439005255699158,1.0,1.0,What was the artificially low limit on bulb life placed by the cartel?
24, The Hymn to Ninkasi.,The Hymn to Ninkasi,0.0004856586456298,2.646204710006714,0.9915797114372252,1.0,1.0,What prayer did people use in Mesopotamia to remember a beer recipe?
25, Less,much less,0.0004997253417968,0.5647306442260742,0.8612565398216248,0.6666666666666666,0.6666666666666666,Are tidewater glaciers more or less affected by climate change than other glaciers?
26, Ghazals and folk songs.,Ghazals and folk songs,0.0004873275756835,2.1227405071258545,0.9860418438911438,1.0,1.0,What kind of music does Roshen Ara Begum perform?
27, The Ascension of Christ.,Christ,0.0004878044128417,1.8652946949005127,0.3659466505050659,0.4,0.4,Who is king of God's kingdom in heaven?
28," Inert gas reduces efficiency by conducting heat from the filament, thereby cooling it and reducing its efficiency.","conducts heat from the filament, thereby cooling the filament",0.0004868507385253,5.504998445510864,0.6592308282852173,0.5384615384615384,0.5384615384615384,Why does inert gas reduce efficiency?
29, Ravenna,Ravenna,0.0005006790161132,0.8232357501983643,1.0,1.0,1.0,In the 5th century what was the capital of the Western Roman Empire?
30, 1914-1921,1909 to 1914,0.0005016326904296,1.8620047569274905,0.8370224237442017,0.4,0.4,From what years did High Cubism take place? 
31," Around 1,000 hours.","1,000 hours",0.0004973411560058,2.1240391731262207,0.8593777418136597,0.8571428571428571,0.8571428571428571,How long does a typical incandescent light bulb last?
32," Fairs held at the shrines of Sufi saints in Punjab, Pakistan.",fairs held at the shrines of Sufi saints,0.0008459091186523,4.7399961948394775,0.9093348979949952,0.8421052631578948,0.8421052631578948,What are urs?
33," King David IV's son, Demetrius I of Georgia.",Demetrius I of Georgia,0.0008494853973388,3.687208414077759,0.7725205421447754,0.6153846153846153,0.6153846153846153,Who eventually oversaw completion of the Gelati Monastery?
34," Besides Seurat, the beginnings of Cubism can be found in the works of Paul Cézanne, particularly in his later works, and in the influence of African, Polynesian, Micronesian, and Native American art on artists such as Pablo Picasso and Henri Matisse.",in the two distinct tendencies of Cézanne's later work,0.0008416175842285,15.695895910263062,0.4040469527244568,0.2641509433962264,0.2641509433962264,Besides Seurat where else are the beginnigs of Cubism found?
