idx,generated_response,ground_truth,reset_cache_time,generate_time,bert_score,rouge1_score,rougeL_score,question,gptscore
0," The enlisted forces of the US Air Force have been seen as a rear echelon support force, primarily responsible for non-combat roles, with officers often taking on more combat-oriented roles.",primarily a rear echelon support force,0.000514268875122,7.322025775909424,0.6415848731994629,0.3157894736842105,0.2631578947368421,How have the enlisted forces of the US Air Force been seen?,1
1, E-1,E-1 (entry level),0.0005393028259277,0.7964539527893066,0.8352411985397339,0.6666666666666666,0.6666666666666666,What is the lowest pay grade in the USAF?,1
2," The imperial family and Manchu nobility controlled the ""Inner Court"".",imperial family and Manchu nobility,0.000525951385498,2.9024674892425537,0.8103435039520264,0.6666666666666666,0.6666666666666666,"Who controlled the ""Inner Court""?",1
3," The population explosion during the 18th century was due to several reasons, including a long period of peace and stability, the import of new crops from the Americas, and the introduction of new species of rice from Southeast Asia.",peace and stability in the 18th century and the import of new crops,0.0004975795745849,8.816446304321289,0.6045504808425903,0.4615384615384615,0.3461538461538461,What were the reasons for the population explosion during the 18th century?,0
4, Wu Sangui and Dorgon.,Wu and Dorgon,0.0004997253417968,1.7544569969177246,0.8483923077583313,0.8571428571428571,0.8571428571428571,Who beat Li Zicheng's army?,1
5, 2007,2007,0.0005044937133789,0.8041722774505615,1.0000001192092896,1.0,1.0,When was 'The Grand Concourse' published?,1
6, Michael Wynne,Michael Wynne,0.0004971027374267,0.795696496963501,1.0,1.0,1.0,What US Secretary of the Air Force resigned following a nuclear weapons problem ?,1
7," Active defense is ""the employment of limited offensive action and counterattacks to deny a contested area or position to the enemy"" (JP 1-02).",employment of limited offensive action and counterattacks,0.0004947185516357,6.163059711456299,0.5136146545410156,0.4516129032258064,0.4516129032258064,"What is active defense, according to the functions of the DCA? ",1
8," The 8 banners were recognized by their colors, with the yellow, bordered yellow, and white banners being the ""Upper Three Banners"" and the remaining 5 being the ""Lower Five Banners"".",color,0.0004832744598388,8.078479766845703,0.2222051471471786,0.064516129032258,0.064516129032258,How were the 8 banners recognized?,1
9, The Uxbridge Blue dress uniform was developed at the former Bachman-Uxbridge Worsted Company.,former Bachman-Uxbridge Worsted Company,0.0004918575286865,4.247388601303101,0.6662857532501221,0.5263157894736842,0.5263157894736842,Where was the Uxbridge Blue dress uniform developed?,1
10, 1971,1971,0.0004980564117431,0.7972509860992432,1.0,1.0,1.0,In what year was the Taragaon Museum built?,1
11, Silver.,silver,0.0004949569702148,0.6037294864654541,0.9406763315200806,1.0,1.0,What did the Chinese get paid for their goods?,1
12, The front of the battle line.,front of the battle,0.0005035400390625,1.565354824066162,0.8778273463249207,0.8,0.8,What part of a battle line are the precision strike aircraft of the USAF deployed?,1
13, World War I,Second World War,0.0004830360412597,0.7954802513122559,0.7455542087554932,0.6666666666666666,0.6666666666666666,France has become a more ethnically diverse country since the end of which war?,0
14, 1947,1947,0.000481367111206,0.7955870628356934,1.0,1.0,1.0,"When was the centrality of the ""separation"" concept to the Religion Clauses of the Constitution made explicit?",1
15, 1643,September 1643,0.0004987716674804,0.7936069965362549,0.8477815389633179,0.6666666666666666,0.6666666666666666,When did Hong Taiji die?,1
16, 8 years old.,eight,0.00048828125,1.1780970096588137,0.6039744019508362,0.0,0.0,How many rivers travel through Kathmandu?,0
17, The Yongying corps were financed through provincial coffers.,provincial coffers,0.0005033016204833,2.328047275543213,0.4876062870025635,0.4,0.4,Who paid for the Yongying?,1
18, 1643,1520,0.0004942417144775,0.7964656352996826,0.3662040829658508,0.0,0.0,In what year did the Stockholm Bloodbath take place?,0
19, October 26.,October 26,0.0005013942718505,0.9901080131530762,0.97698712348938,1.0,1.0,"In 2008, what month and day did Western Australia change their clocks?",1
20, Peiwen Yunfu,Peiwen Yunfu,0.0004830360412597,1.1791810989379885,1.0000001192092896,1.0,1.0,What was the rhyme dictionary called that was published by Kangxi?,1
21, 2,two,0.0004918575286865,0.6020753383636475,0.8183472156524658,0.0,0.0,How many types are Nepali works of art typically divided into?,1
22, Rural areas.,rural,0.0004880428314208,0.7971780300140381,0.846994161605835,0.6666666666666666,0.6666666666666666,Where does a majority of Namibia's people live?,1
23, 16%,one-sixth,0.0004880428314208,0.7967603206634521,0.3221174478530884,0.0,0.0,What proportion of bannerman were Manchu by 1648?,1
24, Officer positions.,commissioned officers,0.0004916191101074,0.7961361408233643,0.721104621887207,0.5,0.5,What are these enlisted positions in the USAF complimented by?,1
25, 1995,1995,0.0005147457122802,0.7984461784362793,1.0,1.0,1.0,When did Sheptycki write about global policing?,1
26, Puyi,Fulin,0.0004844665527343,0.7996606826782227,0.4029949903488159,0.0,0.0,Who became the emperor?,0
27," ""Daylight Slaving Time""",Daylight Slaving Time,0.0005049705505371,1.5632555484771729,0.9195666909217834,1.0,1.0,What nickname have people in opposition to DST given it?,1
28, Manchuria,Manchuria,0.0004832744598388,0.7946100234985352,1.0,1.0,1.0,Where did Hans go to to find land?,1
29," OCA (Offensive Counterair) is the preferred method of countering air and missile threats, as it attempts to defeat the enemy closer to its source and typically enjoys the initiative.",suppression/destruction of enemy air defense,0.0005016326904296,7.35133695602417,0.4572179913520813,0.1714285714285714,0.1142857142857143,What is one of the important functions of the OCA in dealing with attacks? ,0
30, Trust-based relationships for mutual benefit and security.,cross-cultural,0.0004808902740478,1.949092388153076,0.2002938985824585,0.0,0.0,What sort of inter-personal relationships does Building Partnerships encourage? ,0
31, Winter.,winter,0.0004956722259521,0.6071486473083496,0.9490090608596802,1.0,1.0,Which season is the most dry in Oklahoma?,1
